Player,Team,Bye,Rec,Yard,TD,Att,Yard,TD,FPts
Kevin White,CHI,9,55,735,5,0,0,0,103.5
Cole Beasley,DAL,6,71,776,4,0,0,0,101.6
Eric Decker,TEN,8,55,714,5,0,0,0,101.4
Donte Moncrief,IND,11,60,705,5,0,0,0,100.5
John Brown,ARI,8,50,682,5,0,0,0,98.2
Ted Ginn Jr.,NO,5,44,675,5,0,0,0,97.5
Tyler Lockett,SEA,6,46,633,4,6,43,0,91.6
Corey Coleman,CLE,9,53,675,4,0,0,0,91.5
Allen Hurns,JAC,8,51,675,4,0,0,0,91.5
Zay Jones,BUF,6,46,589,4,0,0,0,82.9
Corey Davis,TEN,8,44,588,4,0,0,0,82.8
Mohamed Sanu,ATL,5,50,585,4,0,0,0,82.5
Sterling Shepard,NYG,8,46,582,4,0,0,0,82.2
J.J. Nelson,ARI,8,31,494,5,0,0,0,79.4
Chris Conley,KC,10,44,545,4,0,0,0,78.5
Marquise Goodwin,SF,11,38,535,4,0,0,0,77.5
Taylor Gabriel,ATL,5,35,489,4,4,26,0,75.5
Devin Funchess,CAR,11,37,506,4,0,0,0,74.6
Breshad Perriman,BAL,10,37,545,3,0,0,0,72.5
Robert Woods,LAR,8,36,482,4,0,0,0,72.2
Torrey Smith,PHI,10,38,525,3,0,0,0,70.5
Kendall Wright,CHI,9,40,516,3,0,0,0,69.6
Tavon Austin,LAR,8,41,376,2,19,137,1,69.3
Eli Rogers,PIT,9,38,482,3,0,0,0,66.2
Kenny Golladay,DET,7,32,417,4,0,0,0,65.7
Cooper Kupp,LAR,8,47,526,2,0,0,0,64.6
Brandon LaFell,CIN,6,38,514,2,0,0,0,63.4
Danny Amendola,NE,9,40,445,3,0,0,0,62.5
ArDarius Stewart,NYJ,11,32,422,3,0,0,0,60.2
Seth Roberts,OAK,10,33,414,3,0,0,0,59.4
Marqise Lee,JAC,8,39,474,2,0,0,0,59.4
Chester Rogers,IND,11,32,406,3,0,0,0,58.6
Travis Benjamin,LAC,9,34,463,2,0,0,0,58.3
Nelson Agholor,PHI,10,35,445,2,0,0,0,56.5
Paul Richardson,SEA,6,28,376,3,0,0,0,55.6
Tyler Boyd,CIN,6,25,411,2,0,0,0,53.1
John Ross,CIN,6,22,341,3,0,0,0,52.1
Jaelen Strong,HOU,7,29,389,2,0,0,0,50.9
Terrance Williams,DAL,6,29,382,2,0,0,0,50.2
Braxton Miller,HOU,7,33,375,2,0,0,0,49.5
Aldrick Robinson,SF,11,23,313,3,0,0,0,49.3
Deonte Thompson,CHI,9,28,363,2,0,0,0,48.3
Jermaine Kearse,NYJ,11,27,356,2,0,0,0,47.6
Will Fuller,HOU,7,25,345,2,0,0,0,46.5
Chris Godwin,TB,1,28,345,2,0,0,0,46.5
Josh Doctson,WAS,5,26,344,2,0,0,0,46.4
Laquon Treadwell,MIN,9,25,321,2,0,0,0,44.1
Kamar Aiken,IND,11,22,296,2,0,0,0,41.6
Brice Butler,DAL,6,22,289,2,0,0,0,40.9
Brandon Coleman,NO,5,23,289,2,0,0,0,40.9
Curtis Samuel,CAR,11,19,200,2,16,86,0,40.6
Geronimo Allison,GB,8,18,245,2,0,0,0,36.5
Taywan Taylor,TEN,8,17,233,2,0,0,0,35.3
Bennie Fowler,DEN,5,22,288,1,0,0,0,34.8
Demarcus Robinson,KC,10,20,285,1,0,0,0,34.5
Andre Holmes,BUF,6,19,284,1,0,0,0,34.4
Adam Humphries,TB,1,19,215,2,0,0,0,33.5
Cody Latimer,DEN,5,27,265,1,0,0,0,32.5
Sammie Coates,CLE,9,19,255,1,0,0,0,31.5
Jordan Taylor,DEN,5,17,245,1,0,0,0,30.5
Charone Peake,NYJ,11,22,245,1,0,0,0,30.5
JuJu Smith-Schuster,PIT,9,19,244,1,0,0,0,30.4
Kenny Bell,BAL,10,18,242,1,0,0,0,30.2
Albert Wilson,KC,10,22,285,0,0,0,0,28.5
Markus Wheaton,CHI,9,17,215,1,0,0,0,27.5
Dontrelle Inman,LAC,9,15,205,1,0,0,0,26.5
Jaron Brown,ARI,8,14,195,1,0,0,0,25.5
Jarius Wright,MIN,9,15,246,0,0,0,0,24.6
Mike Williams,LAC,9,13,185,1,0,0,0,24.5
Michael Campanaro,BAL,10,15,185,1,0,0,0,24.5
Russell Shepard,CAR,11,14,182,1,0,0,0,24.2
Andre Roberts,ATL,5,12,166,1,0,0,0,22.6
Dede Westbrook,JAC,8,11,156,1,0,0,0,21.6
Trent Taylor,SF,11,12,156,1,0,0,0,21.6
Michael Floyd,MIN,9,11,145,1,0,0,0,20.5
T.J. Jones,DET,7,11,133,1,0,0,0,19.3
Phillip Dorsett,NE,9,9,130,1,0,0,0,19.0
Brian Quick,WAS,5,15,187,0,0,0,0,18.7
Darrius Heyward-Bey,PIT,9,12,185,0,0,0,0,18.5
Justin Hardy,ATL,5,10,121,1,0,0,0,18.1
Corey Fuller,NO,5,9,118,1,0,0,0,17.8
Malcolm Mitchell,NE,9,14,177,0,0,0,0,17.7
Chad Williams,ARI,8,9,114,1,0,0,0,17.4
Leonte Carroo,MIA,1,14,172,0,0,0,0,17.2
Cordarrelle Patterson,OAK,10,8,111,1,0,0,0,17.1
Pharoh Cooper,LAR,8,11,135,0,0,0,0,13.5
Jalin Marshall,NYJ,11,11,135,0,0,0,0,13.5
Ricardo Louis,CLE,9,8,95,0,0,0,0,9.5
Carlos Henderson,DEN,5,7,89,0,0,0,0,8.9
Jeff Janis,GB,8,6,85,0,0,0,0,8.5
Dwayne Harris,NYG,8,6,82,0,0,0,0,8.2
Jehu Chesson,KC,10,6,77,0,0,0,0,7.7
Justin Hunter,PIT,9,7,77,0,0,0,0,7.7
Ryan Switzer,DAL,6,7,67,0,0,0,0,6.7
Josh Reynolds,LAR,8,4,54,0,0,0,0,5.4
Josh Bellamy,CHI,9,3,45,0,0,0,0,4.5
Amara Darboh,SEA,6,2,26,0,0,0,0,2.6
Josh Gordon,CLE,9,1,10,0,0,0,0,1.0
