Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Ameer Abdullah, Det RB",0/0,0,0,0,203.2,858.8,4.7,35.4,291.4,1.7,182.1,RB
"Theo Riddick, Det RB",0/0,0,0,0,62.3,240.7,1.6,69.2,551,3.7,180.7,RB
"Joe Mixon, Cin RB",0/0,0,0,0,192.1,808.4,7.2,27.9,222.6,0.8,176.4,RB
"C.J. Anderson, Den RB",0/0,0,0,0,184.6,824.2,5.3,30.7,248.5,0.8,174.9,RB
"Adrian Peterson, Ari RB",0/0,0,0,0,160.9,716.7,6.2,34.1,260.4,1.6,174.2,RB
"Mike Gillislee, NE RB",0/0,0,0,0,202.9,970.1,7.8,13.2,109,0.4,170.7,RB
"Duke Johnson Jr., Cle RB",0/0,0,0,0,101.2,417.2,2.3,56.8,465,1.3,165,RB
"James White, NE RB",0/0,0,0,0,87.7,361.1,3.8,48,419.1,2.7,164.8,RB
"Matt Forte, NYJ RB",0/0,0,0,0,144.1,589.6,3.6,42.2,349.6,1,162.7,RB
"Tevin Coleman, Atl RB",0/0,0,0,0,125,536.8,5.2,33,313.4,2.3,161.9,RB
"Paul Perkins, NYG RB",0/0,0,0,0,214.9,877.5,3.4,26.3,227.3,0.9,160.7,RB
"Giovani Bernard, Cin RB",0/0,0,0,0,124.7,515.1,3.6,44,364.5,1.2,159.7,RB
"Darren Sproles, Phi RB",0/0,0,0,0,89,391.5,2.9,49.6,388.9,1.1,155.7,RB
"Rob Kelley, Wsh RB",0/0,0,0,0,209.7,864.5,6.7,15,119.1,0.5,153.9,RB
"Chris Thompson, Wsh RB",0/0,0,0,0,67.1,302.8,2.1,51.8,419.1,1.8,145.8,RB
"Eddie Lacy, Sea RB",0/0,0,0,0,182.5,803.4,5.3,14.7,122.7,0.7,143,RB
"Doug Martin, Oak RB",0/0,0,0,0,193.3,780.5,5.1,17.1,133,0.7,142.2,RB
"Jonathan Stewart, NYG RB",0/0,0,0,0,177.9,766.8,6.5,11.9,93.1,0.4,136.8,RB
"Shane Vereen, NYG RB",0/0,0,0,0,71.6,303.2,1.5,47.1,385.9,2.2,135.7,RB
"Jamaal Charles, Den RB",0/0,0,0,0,104.8,543.2,2.4,29.3,247,1.6,128.6,RB
"Charles Sims, TB RB",0/0,0,0,0,87.5,351.7,2,39.1,334.4,1.5,127.3,RB
"C.J. Prosise, Sea RB",0/0,0,0,0,64.1,272.8,2,41.5,379.1,1.3,125.5,RB
"LeGarrette Blount, Det RB",0/0,0,0,0,161.8,666.5,6.2,9.1,67.3,0.3,120.4,RB
"Robert Turbin, Ind RB",0/0,0,0,0,79.2,309.7,1.9,35.5,289.1,1.8,117.8,RB
"Alvin Kamara, NO RB",0/0,0,0,0,40.2,174.4,1.3,44.1,374.3,1.6,116.1,RB
"Derrick Henry, Ten RB",0/0,0,0,0,155.3,656,4.5,10.9,89.1,0.3,112.3,RB
"Branden Oliver, LAC RB",0/0,0,0,0,94.5,372.3,2.3,25.7,202.4,1.1,102.8,RB
"T.J. Yeldon, Jax RB",0/0,0,0,0,47,185.3,0.8,41.5,292.8,1.1,100.1,RB
"Kyle Juszczyk, SF RB",0/0,0,0,0,7.5,23.8,0.4,46.7,377.2,2.1,100,RB
"Rex Burkhead, NE RB",0/0,0,0,0,65.9,283.2,2.6,24.6,207.8,1.3,96.4,RB
"Wendell Smallwood, Phi RB",0/0,0,0,0,101.1,414.6,3.1,18,142,0.4,94.1,RB
"Jerick McKinnon, SF RB",0/0,0,0,0,44.4,186.2,0.9,34.6,239.5,1,88.7,RB
"Jalen Richard, Oak RB",0/0,0,0,0,52.8,236.8,1.5,26.5,209.4,1.1,86.9,RB
"Latavius Murray, Min RB",0/0,0,0,0,96.4,400.6,3.5,13.6,98.6,0.4,85.4,RB
"DeAndre Washington, Oak RB",0/0,0,0,0,81,357.4,2.4,17.6,136.7,0.7,84.8,RB
"Jamaal Williams, GB RB",0/0,0,0,0,111.2,433.2,3.6,10.5,85.9,0.4,84.6,RB
"Matt Breida, SF RB",0/0,0,0,0,93.4,370.8,2.5,16.4,136,0.3,82.5,RB
"Charcandrick West, KC RB",0/0,0,0,0,88.7,345,3.9,11.8,92.1,0.5,81.5,RB
"D'Onta Foreman, Hou RB",0/0,0,0,0,98.3,389.7,3,8.4,73.2,0.2,72.4,RB
"Jacquizz Rodgers, TB RB",0/0,0,0,0,94.4,383.5,2.1,11.7,77,0.3,72.1,RB
"Tarik Cohen, Chi RB",0/0,0,0,0,71.3,287.9,1.9,14.8,118.4,0.4,67.9,RB
"Thomas Rawls, NYJ RB",0/0,0,0,0,96.1,428.1,2.6,4.3,34.1,0.2,67.3,RB
"Damien Williams, KC RB",0/0,0,0,0,28.7,115.4,1,21.6,181.8,1.4,65.4,RB
"Darren McFadden, Dal RB",0/0,0,0,0,69.8,296.1,2.4,11.3,85.7,0.4,64.6,RB
"Kenyan Drake, Mia RB",0/0,0,0,0,65.6,281.2,1.9,10.8,88.2,0.3,62.8,RB
"Mike Tolbert, Buf RB",0/0,0,0,0,68.7,268.3,3.5,7.1,58.7,0.3,60.8,RB
"Jeremy Hill, NE RB",0/0,0,0,0,79.8,325.3,2.9,4.4,32.8,0.2,58.2,RB
"Devontae Booker, Den RB",0/0,0,0,0,60.9,240.8,1.5,10.4,86.4,0.4,52.5,RB
"Samaje Perine, Wsh RB",0/0,0,0,0,61.2,233.8,2.4,6.3,54.5,0.1,49.8,RB
"James Conner, Pit RB",0/0,0,0,0,59.9,235,2.7,4.3,35.8,0.1,47.6,RB
"Kerwynn Williams, Ari RB",0/0,0,0,0,48.5,212.4,1.5,9,77.9,0.2,46.9,RB
"Marlon Mack, Ind RB",0/0,0,0,0,37.7,144,1,13.1,108.2,0.4,46.1,RB
"Andre Ellington, Hou RB",0/0,0,0,0,28.3,113.3,0.9,13.1,116.8,0.5,44.7,RB
"Joe Banyard, Buf RB",0/0,0,0,0,51.8,218.7,1.9,3.6,30.4,0.1,39.6,RB
"Chris Ivory, Buf RB",0/0,0,0,0,61.4,260.5,1.6,2,15.9,0,37.6,RB
"Aaron Jones, GB RB",0/0,0,0,0,44.5,191.1,1,6.3,51.5,0.2,37.3,RB
"Dion Lewis, Ten RB",0/0,0,0,0,27.7,120.2,1,8.8,74.5,0.4,36.8,RB
"Donnel Pumphrey, Phi RB",0/0,0,0,0,20.2,84.3,0.5,13.5,106.5,0.3,36.7,RB
"Orleans Darkwa, NYG RB",0/0,0,0,0,59.7,243.2,1.3,2.2,18.2,0.1,35.9,RB
"Alfred Blue, Hou RB",0/0,0,0,0,37.1,150.7,0.9,7.9,63,0.3,35.6,RB
"Javorius Allen, Bal RB",0/0,0,0,0,28.3,114.7,0.7,9.6,71.2,0.3,33.3,RB
"Aaron Ripkowski, GB RB",0/0,0,0,0,20.4,84.9,0.5,8.5,68.7,0.7,31,RB
"Malcolm Brown, LAR RB",0/0,0,0,0,35.4,142.7,1,5.7,45.6,0.1,31,RB
"Lance Dunbar, LAR RB",0/0,0,0,0,21.6,89.3,0.6,9.2,75.4,0.2,29.8,RB
"Benny Cunningham, Chi RB",0/0,0,0,0,19.8,84.8,0.6,7.7,59.8,0.3,27.1,RB
"Jamize Olawale, Dal RB",0/0,0,0,0,11.4,46.9,0.4,8.2,79.4,0.6,26.8,RB
"Elijah McGuire, NYJ RB",0/0,0,0,0,35.2,139.9,0.8,4.1,33.6,0.1,26.1,RB
"Zach Zenner, Det RB",0/0,0,0,0,29.5,118.5,0.9,4.4,37.5,0.1,25.9,RB
"Brian Hill, Cin RB",0/0,0,0,0,25.5,102,1.1,3.9,32.7,0.1,24.6,RB
"Tyler Ervin, Hou RB, WR",0/0,0,0,0,9.7,37.3,0.2,8.4,73.2,0.2,22.7,RB
"Wayne Gallman, NYG RB",0/0,0,0,0,35.8,132,0.8,2.2,18.2,0.1,22.1,RB
"De'Angelo Henderson, Den RB",0/0,0,0,0,24.4,97.1,0.6,2.9,24.4,0.1,18.6,RB
"Fozzy Whittaker, Car RB",0/0,0,0,0,22.2,94.5,0.6,1.9,16.8,0.1,17.9,RB
"C.J. Spiller, KC RB",0/0,0,0,0,18,80,0.5,3.6,26.7,0.1,17.6,RB
"John Kuhn, NO RB",0/0,0,0,0,8,26.8,0.6,4.9,41.6,0.4,17.5,RB
"Andy Janovich, Den RB",0/0,0,0,0,3.9,13.3,0.2,6.4,52.8,0.3,15.9,RB
"Anthony Sherman, KC RB",0/0,0,0,0,0,0,0,7.9,59.4,0.4,15.9,RB
"Danny Vitale, Cle RB",0/0,0,0,0,0,0,0,7.9,60.6,0.3,15.8,RB
"Dwayne Washington, Det RB",0/0,0,0,0,9.8,38.4,0.3,4.4,37.5,0.1,15,RB
"Tion Green, Det RB",0/0,0,0,0,10.2,41.6,0.3,4.3,34.3,0.2,14.3,RB
"Taiwan Jones, Buf RB",0/0,0,0,0,22.2,93.9,0.8,0,0,0,13.9,RB
"Raheem Mostert, SF RB",0/0,0,0,0,11.3,42.5,0.3,4.1,34,0.1,13.7,RB
"Austin Ekeler, LAC RB",0/0,0,0,0,8.2,32.4,0.2,4.1,34.3,0.1,13,RB
"C.J. Ham, Min RB",0/0,0,0,0,6.3,20.9,0.3,4,33.4,0.3,12.9,RB
"Chris Carson, Sea RB",0/0,0,0,0,14.3,58.4,0.5,1.8,15.4,0.1,12.3,RB
"Trey Edmunds, NO RB",0/0,0,0,0,12.1,42.3,0.5,2.1,17.4,0.1,11.8,RB
"Patrick DiMarco, Buf RB",0/0,0,0,0,4.2,14.2,0.3,3.6,30.4,0.2,10.7,RB
"Terron Ward, Atl RB",0/0,0,0,0,8.3,34.4,0.4,2.2,18.5,0.1,10.1,RB
"Alfred Morris, Dal RB",0/0,0,0,0,8.7,35.9,0.3,1.9,14.8,0.1,9.1,RB
"David Fluellen, Ten RB",0/0,0,0,0,8.9,34.5,0.2,1.8,14.9,0.1,8.6,RB
"Daniel Lasco, NO RB",0/0,0,0,0,4,15.8,0.2,2.4,20.8,0.1,7.5,RB
"Corey Grant, Jax RB",0/0,0,0,0,4.3,17.7,0.1,2,15.9,0,6.4,RB
"Rod Smith, Dal RB",0/0,0,0,0,3.9,12.9,0.3,1.5,12.6,0.1,6.2,RB
"Matthew Dayes, Cle RB",0/0,0,0,0,11.2,43.5,0.3,0,0,0,5.8,RB
"Derek Watt, LAC RB",0/0,0,0,0,2.1,6.9,0.1,2.1,17.1,0.1,5.8,RB
"James Develin, NE RB",0/0,0,0,0,0,0,0,2.2,18.2,0.2,5,RB
"Peyton Barber, TB RB",0/0,0,0,0,6.4,26.6,0.2,0.8,6,0,5,RB
"Roosevelt Nix, Pit RB",0/0,0,0,0,0,0,0,2.2,17.9,0.1,4.8,RB
"Terrell Watson, NYG RB",0/0,0,0,0,8,31.3,0.2,0,0,0,4.4,RB
"Tre Madden, Sea RB",0/0,0,0,0,0,0,0,1.9,15.8,0.1,4.3,RB
"Ryan Hewitt, Cin RB",0/0,0,0,0,0,0,0,2,15.5,0.1,4.2,RB
"Devante Mays, GB RB",0/0,0,0,0,7.4,28.9,0.2,0,0,0,3.8,RB
"Taquan Mizzell, Chi RB",0/0,0,0,0,5.9,23.4,0.2,0,0,0,3.3,RB
"Cameron Artis-Payne, Car RB",0/0,0,0,0,4.4,18.7,0.1,0,0,0,2.7,RB
"Jay Prosch, Hou RB",0/0,0,0,0,4.4,14.4,0.2,0,0,0,2.6,RB
"Michael Burton, Chi RB",0/0,0,0,0,2,6.6,0.1,0,0,0,1.3,RB
"Jordan Todman, Hou RB",0/0,0,0,0,0,0,0,0,0,0,1.2,RB
"Steven Jackson, NE RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Reggie Bush, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"DeAngelo Williams, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Fred Jackson, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ahmad Bradshaw, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Pierre Thomas, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Chris Johnson, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jerome Felton, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tim Hightower, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Justin Forsett, Den RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Marcel Reece, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Donald Brown, NE RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Arian Foster, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Rashad Jennings, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jorvorskie Lane, TB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Cedric Peerman, Cin RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Marcus Thigpen, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Darrel Young, Car RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Antone Smith, TB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ryan Mathews, Phi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Dexter McCluster, LAC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ben Tate, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Toby Gerhart, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Boobie Dixon, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"James Starks, GB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Joique Bell, Det RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tyler Clutts, Dal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Stevan Ridley, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ryan Williams, Dal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Daniel Thomas, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kendall Hunter, NO RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Roy Helu Jr., Oak RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"DuJuan Harris, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Matt Asiata, Det RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Shaun Draughn, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Chase Reynolds, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Will Johnson, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Trent Richardson, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Isaiah Pead*, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Chris Polk, Hou RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"LaMike James, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Bernard Pierce, Den RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ronnie Hillman, Dal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Cyrus Gray, Atl RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Vick Ballard, NO RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Daniel Herron, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Bryce Brown, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Daryl Richardson, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Cory Harkey, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Derrick Coleman, Atl RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jonas Gray, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Travaris Cadet, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Brandon Bolden, NE RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Bobby Rainey Jr., Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jonathan Grimes, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Montee Ball, FA RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Knile Davis, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Christine Michael, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kenjon Barner, Phi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Denard Robinson, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Mike James, Det RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tommy Bohanon, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Stepfan Taylor, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Zac Stacy, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Joseph Randle, FA RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Spencer Ware, KC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kendall Gaskins, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Steven Miller, Det RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Zach Line, NO RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"George Winn, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Khiry Robinson, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Dri Archer, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tre Mason, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Bishop Sankey, Min RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tyler Gaffney, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Storm Johnson, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Lache Seastrunk, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Andre Williams, LAC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Ka'Deem Carey, Chi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Lorenzo Taliaferro, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Marion Grice, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Juwan Thompson, Den RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kapri Bibbs, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Antonio Andrews, Ten RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Darrin Reaves, KC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Silas Redd, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Trey Watts, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Austin Johnson, TB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Senorise Perry, Mia RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Glenn Winston, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Fitzgerald Toussaint, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Marcus Murphy, Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jeremy Langford, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jalston Fowler, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Malcolm Johnson, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Joey Iosefa, NE RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"David Cobb, Chi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Karlos Williams, Pit RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kenny Hilliard, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Josh Robinson, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Tyler Varga, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Matt Jones, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Mike Davis, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Michael Dyer, Oak RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"John Crockett, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Terrence Magee, Atl RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Gus Johnson, LAC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jarryd Hayne, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Brandon Wegher, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Alonzo Harris, GB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Nikita Whitlock, NYG RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Trey Williams, Dal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Akeem Hunt, KC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kenneth Dixon, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jonathan Williams, NO RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Alex Collins, Bal RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kelvin Taylor, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Darius Jackson, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Keith Marshall, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Zac Brooks, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Josh Ferguson, Ind RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Brandon Wilds, Jax RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jhurell Pressley, Atl RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Byron Marshall, Wsh RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"George Atkinson III, KC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"James Wilder Jr., Buf RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"D.J. Foster, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Dreamius Smith, LAC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Devon Johnson, Car RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Troymaine Pope, Hou RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Glenn Gronkowski, NE RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Julian Howsare, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Kenneth Farrow, LAC RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Paul Lasike, Chi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Don Jackson, GB RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"George Farmer, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Mack Brown, Min RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Elijah Hood, Oak RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Marquez Williams, Cle RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"T.J. Logan, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Sam Rogers, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Joe Williams, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Khalfani Muhammad, Ten RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jeremy McNichols, SF RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Freddie Stevenson, Chi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Corey Clement, Phi RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Algernon Brown, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Jahad Thomas, NYJ RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Elijhaa Penny, Ari RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"J.D. McKissic, Sea RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Justin Davis, LAR RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Cethan Carter, Cin TE, RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"Shane Smith, NYG TE, RB",0/0,0,0,0,0,0,0,0,0,0,0,RB
"LeShun Daniels Jr., Wsh RB",--/--,--,--,--,--,--,--,--,--,--,--,RB
