Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blaine Gabbert,TEN,1.0,29.0,18.0,11.0,165.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,QB
Garrett Gilbert,CAR,1.0,3.0,2.0,1.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LAR,1.0,26.0,15.0,11.0,199.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0,QB
Chad Henne,KC,1.0,3.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Taysom Hill,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,24.0,14.0,10.0,179.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,90.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-6.0,QB
Josh Johnson,WAS,1.0,27.0,12.0,15.0,91.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,48.0,31.0,17.0,292.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,-13.0,QB
DeShone Kizer,GB,1.0,35.0,16.0,19.0,132.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,35.0,24.0,11.0,285.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,24.0,14.0,10.0,281.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,41.0,24.0,17.0,301.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,QB
Sean Mannion,LAR,1.0,3.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Baker Mayfield,CLE,1.0,42.0,23.0,19.0,376.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Mullens,SF,1.0,33.0,23.0,10.0,282.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,44.0,27.0,17.0,387.0,4.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,24.0,14.0,10.0,176.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Aaron Rodgers,GB,1.0,5.0,3.0,2.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,45.0,31.0,14.0,287.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh Rosen,ARI,1.0,34.0,18.0,16.0,149.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,44.0,31.0,13.0,378.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,7.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Geno Smith,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,32.0,20.0,12.0,266.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nate Sudfeld,PHI,1.0,1.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,31.0,18.0,13.0,147.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,26.0,18.0,8.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,35.0,25.0,10.0,234.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,21.0,12.0,9.0,152.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,35.0,22.0,13.0,345.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
