Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Tack,Ast,Fum Rec,POS
Tyler Kroft,CIN,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Morgan,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Troy Niklas,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Saubert,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Dion Sims,CHI,1.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,0.0,0.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,7.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
