Player,Team,GP,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Carlos Hyde,JAX,1.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Ingram,NO,1.0,11.0,50.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Chris Ivory,BUF,1.0,9.0,31.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB
Andy Janovich,DEN,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Johnson,ARI,1.0,19.0,55.0,1.0,0.0,5.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Duke Johnson,CLE,1.0,2.0,6.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kyle Juszczyk,SF,1.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Rob Kelley,WAS,1.0,22.0,97.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Line,NO,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,1.0,16.0,33.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jerick McKinnon,SF,1.0,6.0,16.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christine Michael,,1.0,5.0,22.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
