Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,Team Def 2pt Ret,POS
Miami Dolphins,MIA,1.0,2.0,1.0,0.0,0.0,1.0,0.0,53.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,418.0,0.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,2.0,1.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,407.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,7.0,2.0,1.0,1.0,1.0,0.0,17.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,253.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,301.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,0.0,1.0,1.0,0.0,109.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,245.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,6.0,0.0,0.0,0.0,0.0,0.0,93.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,286.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,332.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,1.0,1.0,1.0,0.0,0.0,27.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,1.0,0.0,1.0,DST
New England Patriots,NE,1.0,2.0,2.0,0.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,376.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,93.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,381.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,92.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,6.0,1.0,1.0,1.0,0.0,0.0,42.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,192.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,1.0,1.0,1.0,0.0,0.0,63.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,247.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,3.0,0.0,1.0,1.0,0.0,0.0,29.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,351.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,0.0,1.0,1.0,0.0,0.0,45.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,318.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,9.0,0.0,0.0,0.0,0.0,0.0,140.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,193.0,1.0,0.0,0.0,0.0,0.0,DST
