Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,Tack,Ast,POS
Phillip Supernaw,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TE
Erik Swoope,IND,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Randall Telfer,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hakeem Valles,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Clive Walford,NYJ,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
