Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Jawill Davis,NYG,1.0,0.19,0.0,0.81,9.32,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,3.82,0.03,5.57,71.99,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.24,0.0,2.62,34.45,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.05,0.0,1.85,25.69,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,2.44,0.01,6.38,75.63,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,1.0,0.53,0.0,4.35,54.91,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,1.04,0.01,0.87,10.77,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.06,0.0,5.8,82.74,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.09,0.0,4.9,54.32,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.12,0.0,0.72,9.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,1.0,0.47,0.0,3.48,51.77,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Devin Funchess,CAR,1.0,0.06,0.0,3.84,55.78,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,3.8,0.02,3.63,42.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.18,0.0,0.37,6.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.11,0.0,1.14,19.68,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,1.0,0.14,0.0,4.32,54.35,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.1,0.0,0.26,3.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.04,0.0,3.17,42.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
C.J. Goodwin,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.08,0.02,0.01,0.01,0.06,WR,0.0
Marquise Goodwin,SF,1.0,5.96,0.08,3.95,55.78,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,1.0,0.26,0.0,1.48,24.71,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,0.87,0.0,1.91,23.81,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Grant,IND,1.0,0.06,0.0,4.09,53.91,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,1.0,0.16,0.0,5.54,82.33,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.04,0.0,0.82,10.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.22,0.0,0.64,8.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Justin Hardy,ATL,1.0,0.06,0.0,0.09,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dwayne Harris,OAK,1.0,0.3,0.0,0.24,6.38,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Maurice Harris,WAS,1.0,0.02,0.0,0.44,7.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,3.58,0.01,5.77,82.31,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.06
KhaDarel Hodge,LAR,1.0,0.18,0.0,0.4,5.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Hogan,NE,1.0,0.78,0.0,3.01,44.45,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.03,0.0,1.31,16.88,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.76,0.0,6.48,98.42,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.86,0.01,3.42,34.76,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hunter,PIT,1.0,0.04,0.0,0.49,6.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.06,0.0,2.29,32.58,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,1.0,1.59,0.01,4.06,65.96,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Richie James,SF,1.0,0.45,0.01,0.82,8.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alshon Jeffery,PHI,1.0,0.15,0.0,4.25,59.81,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.04,0.0,0.76,9.68,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Johnson,IND,1.0,0.83,0.01,1.34,14.78,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,0.97,0.01,7.46,101.35,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.06,0.0,2.71,33.34,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,1.0,0.07,0.0,2.9,34.5,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Kemp,KC,1.0,0.07,0.0,0.19,4.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Christian Kirk,ARI,1.0,1.67,0.01,3.62,46.37,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Cooper Kupp,LAR,1.0,2.22,0.01,6.21,81.33,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jarvis Landry,CLE,1.0,0.14,0.0,6.2,72.67,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Latimer,NYG,1.0,0.2,0.0,2.58,34.67,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Lockett,SEA,1.0,2.98,0.01,4.21,69.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Josh Malone,CIN,1.0,0.32,0.0,0.25,4.55,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Marshall,FA,1.0,0.08,0.0,0.82,12.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordan Matthews,PHI,1.0,0.03,0.0,1.71,20.94,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ray-Ray McCloud,BUF,1.0,1.25,0.01,0.87,9.71,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jaydon Mickens,JAX,1.0,0.16,0.0,0.26,4.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Anthony Miller,CHI,1.0,0.24,0.0,1.91,22.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Donte Moncrief,JAX,1.0,0.25,0.0,3.3,46.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,1.31,0.0,1.06,13.36,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,3.85,0.01,1.65,19.48,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
David Moore,SEA,1.0,0.13,0.0,1.98,22.23,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Nelson,ARI,1.0,0.24,0.0,0.14,3.41,0.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordy Nelson,OAK,1.0,0.03,0.0,3.81,49.26,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
George Odum,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.1,0.01,0.01,0.01,0.06,WR,0.0
Zach Pascal,IND,1.0,0.22,0.0,3.36,41.1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.17,0.0,0.65,8.94,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,1.78,0.01,1.5,11.72,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Terrelle Pryor,FA,1.0,0.04,0.0,1.24,15.77,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brian Quick,FA,1.0,0.05,0.0,0.31,5.6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.3,0.0,0.37,6.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.57,0.0,0.55,6.98,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Paul Richardson,WAS,1.0,0.06,0.0,1.89,28.65,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,4.23,0.06,3.79,52.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.54,0.0,0.23,4.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Seth Roberts,OAK,1.0,0.03,0.0,1.41,16.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.02,0.0,0.9,11.24,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.07,0.0,4.5,56.67,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.03,0.0,0.43,6.87,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,0.17,0.0,4.55,49.07,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,1.6,0.0,1.15,15.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Emmanuel Sanders,DEN,1.0,1.25,0.01,5.05,60.13,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,0.74,0.01,4.41,56.43,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.62,0.01,2.22,29.73,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.78,0.0,5.26,65.1,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.08,0.0,0.13,3.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Torrey Smith,CAR,1.0,0.34,0.0,2.45,31.28,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,0.14,0.0,5.68,73.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.09,0.0,3.76,39.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Equanimeous St. Brown,GB,1.0,0.21,0.0,0.7,10.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Stills,MIA,1.0,0.16,0.0,3.0,46.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rod Streater,CLE,1.0,1.11,0.01,1.3,16.33,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.45,0.0,2.5,33.36,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,0.98,0.01,0.3,5.54,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Taywan Taylor,TEN,1.0,0.72,0.01,3.35,38.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.14,0.0,6.65,87.04,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.12,0.0,4.71,54.92,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.66,0.0,2.07,27.9,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.03,0.0,0.19,3.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.02,0.0,2.34,26.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.44,0.0,0.91,13.31,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.25,0.0,1.93,21.35,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,0.92,0.01,4.0,55.7,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.18,0.0,0.32,5.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,2.25,0.02,4.07,54.72,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Kevin White,CHI,1.0,0.36,0.0,0.47,6.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,0.52,0.0,1.85,24.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,1.19,0.01,3.18,45.47,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.11,0.0,3.08,45.85,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,2.53,0.01,3.18,35.34,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,3.04,0.01,5.72,81.69,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.56,0.0,1.92,25.71,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.08,0.0,0.19,4.4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
