Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,200+ Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk,Fum Yds,POS
Kyle Juszczyk,SF,16.0,0.0,0.0,5.0,22.0,1.0,0.0,0.0,0.0,0.0,37.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,RB
Rob Kelley,WAS,14.0,0.0,0.0,168.0,704.0,6.0,0.0,0.0,1.0,0.0,12.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Kerridge,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Daniel Lasco,NO,5.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,RB
Dion Lewis,TEN,7.0,0.0,0.0,64.0,283.0,0.0,0.0,0.0,0.0,0.0,17.0,94.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Zach Line,NO,7.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Terrence Magee,,1.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,8.0,0.0,0.0,144.0,421.0,3.0,0.0,0.0,0.0,0.0,14.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,RB
LeSean McCoy,BUF,15.0,0.0,0.0,234.0,1267.0,13.0,1.0,1.0,7.0,0.0,50.0,356.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-5.0,RB
Jerick McKinnon,SF,15.0,1.0,1.0,159.0,539.0,2.0,0.0,0.0,0.0,0.0,43.0,255.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
J.D. McKissic,SEA,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christine Michael,,15.0,0.0,0.0,148.0,583.0,7.0,2.0,0.0,1.0,0.0,22.0,107.0,1.0,0.0,0.0,0.0,64.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Lamar Miller,HOU,14.0,0.0,0.0,268.0,1073.0,5.0,0.0,0.0,4.0,0.0,31.0,188.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,RB
Ty Montgomery,BAL,15.0,0.0,0.0,77.0,457.0,3.0,0.0,0.0,1.0,0.0,44.0,348.0,0.0,0.0,0.0,0.0,366.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Raheem Mostert,SF,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marcus Murphy,BUF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,14.0,0.0,0.0,195.0,788.0,12.0,0.0,0.0,2.0,0.0,33.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roosevelt Nix,PIT,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,13.0,0.0,0.0,17.0,47.0,2.0,0.0,0.0,0.0,0.0,12.0,227.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,RB
Paul Perkins,NYG,13.0,0.0,0.0,112.0,456.0,0.0,0.0,0.0,1.0,0.0,15.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,RB
Troymaine Pope,LAC,4.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Bilal Powell,NYJ,16.0,0.0,0.0,131.0,722.0,3.0,0.0,0.0,2.0,0.0,58.0,388.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Jay Prosch,,7.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,RB
C.J. Prosise,SEA,6.0,0.0,0.0,30.0,172.0,1.0,1.0,1.0,0.0,0.0,17.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Thomas Rawls,,9.0,0.0,0.0,109.0,349.0,3.0,1.0,0.0,1.0,0.0,13.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Jalen Richard,OAK,16.0,0.0,0.0,83.0,491.0,1.0,1.0,1.0,0.0,0.0,29.0,194.0,2.0,0.0,0.0,0.0,708.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0,RB
Theo Riddick,DET,10.0,0.0,0.0,92.0,357.0,1.0,0.0,0.0,0.0,0.0,53.0,371.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Stevan Ridley,PIT,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Aaron Ripkowski,,10.0,0.0,0.0,34.0,150.0,2.0,0.0,0.0,0.0,0.0,9.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,RB
Jacquizz Rodgers,TB,10.0,0.0,0.0,129.0,560.0,2.0,0.0,0.0,2.0,0.0,13.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Anthony Sherman,KC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,RB
Charles Sims,,7.0,0.0,0.0,51.0,149.0,1.0,0.0,0.0,0.0,0.0,24.0,190.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,RB
Wendell Smallwood,PHI,12.0,0.0,0.0,77.0,312.0,1.0,0.0,0.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,261.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Keith Smith,OAK,6.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,RB
Rod Smith,DAL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Darren Sproles,PHI,15.0,0.0,0.0,94.0,438.0,2.0,0.0,0.0,0.0,0.0,52.0,427.0,2.0,1.0,1.0,1.0,243.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,RB
Jonathan Stewart,NYG,13.0,0.0,0.0,218.0,824.0,9.0,0.0,0.0,1.0,0.0,8.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
De'Anthony Thomas,KC,10.0,0.0,0.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Chris Thompson,WAS,16.0,0.0,0.0,68.0,356.0,3.0,0.0,0.0,0.0,0.0,49.0,349.0,2.0,0.0,0.0,0.0,360.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,RB
Fitzgerald Toussaint,,12.0,0.0,0.0,14.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Robert Turbin,,15.0,0.0,0.0,47.0,164.0,7.0,0.0,0.0,0.0,0.0,26.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,RB
Danny Vitale,GB,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Terron Ward,,5.0,0.0,0.0,31.0,151.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Spencer Ware,KC,14.0,0.0,0.0,214.0,921.0,3.0,0.0,0.0,1.0,0.0,33.0,447.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,RB
DeAndre Washington,OAK,13.0,0.0,0.0,87.0,467.0,2.0,0.0,0.0,0.0,0.0,17.0,115.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
Dwayne Washington,NO,11.0,0.0,0.0,90.0,265.0,1.0,0.0,0.0,0.0,0.0,10.0,62.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derek Watt,LAC,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,RB
Charcandrick West,KC,15.0,0.0,0.0,88.0,293.0,1.0,0.0,0.0,0.0,0.0,28.0,188.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,16.0,0.0,0.0,39.0,166.0,0.0,0.0,0.0,0.0,0.0,60.0,551.0,5.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Fozzy Whittaker,CAR,16.0,0.0,0.0,57.0,265.0,0.0,0.0,0.0,1.0,0.0,25.0,226.0,0.0,0.0,0.0,0.0,275.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Wilds,ARI,3.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Andre Williams,,1.0,0.0,0.0,18.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,15.0,0.0,0.0,35.0,115.0,3.0,0.0,0.0,0.0,0.0,23.0,249.0,3.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,RB
Jonathan Williams,IND,8.0,1.0,1.0,27.0,94.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Kerwynn Williams,,5.0,0.0,0.0,18.0,157.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,RB
T.J. Yeldon,JAX,15.0,0.0,0.0,130.0,465.0,1.0,0.0,0.0,0.0,0.0,50.0,312.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Zenner,DET,11.0,0.0,0.0,88.0,334.0,4.0,0.0,0.0,0.0,0.0,18.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,RB
