Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Taylor Gabriel,WR,CHI,0.0,0.0,0.0,4.7,0.0,3.7,43.7,0.3, 
Calvin Ridley,WR,ATL,0.0,0.0,0.0,2.4,0.0,3.7,47.0,0.3, 
DeSean Jackson,WR,TB,0.0,0.0,0.0,3.5,0.0,3.2,52.6,0.2,Q
Chris Hogan,WR,NE,0.0,0.0,0.0,3.4,0.0,3.3,48.3,0.3, 
Demaryius Thomas,WR,HOU,0.0,0.0,0.0,0.0,0.0,3.7,45.9,0.3,IR
Kenny Stills,WR,MIA,0.0,0.0,0.0,0.0,0.0,3.0,45.3,0.4, 
Adam Humphries,WR,TB,0.0,0.0,0.0,1.2,0.0,4.2,45.4,0.2, 
Jamison Crowder,WR,WAS,0.0,0.0,0.0,2.5,0.0,3.9,49.3,0.1, 
Courtland Sutton,WR,DEN,0.0,0.0,0.0,1.6,0.0,3.0,46.2,0.3, 
Zay Jones,WR,BUF,0.0,0.0,0.0,0.0,0.0,3.6,43.8,0.3, 
Robert Foster,WR,BUF,0.0,0.0,0.0,0.0,0.0,2.9,52.7,0.2, 
Curtis Samuel,WR,CAR,0.0,0.0,0.0,6.4,0.0,3.0,41.2,0.2, 
John Ross,WR,CIN,0.0,0.0,0.0,1.4,0.0,3.2,42.3,0.3, 
Danny Amendola,WR,MIA,0.0,0.0,0.0,0.0,0.0,3.7,38.5,0.2, 
Chris Conley,WR,KC,0.0,0.0,0.0,0.0,0.0,3.2,37.0,0.3, 
Antonio Callaway,WR,CLE,0.0,0.0,0.0,0.9,0.0,2.8,38.6,0.4, 
Mike Williams,WR,LAC,0.0,0.0,0.0,4.2,0.0,2.5,37.2,0.3, 
Marquez Valdes-Scantling,WR,GB,0.0,0.0,0.0,1.3,0.0,2.9,42.8,0.2, 
Golden Tate,WR,PHI,0.0,0.0,0.0,0.6,0.0,3.5,40.2,0.2, 
David Moore,WR,SEA,0.0,0.0,0.0,0.0,0.0,2.3,37.0,0.4, 
Tyrell Williams,WR,LAC,0.0,0.0,0.0,1.4,0.0,2.6,40.2,0.3, 
Equanimeous St. Brown,WR,GB,0.0,0.0,0.0,0.0,0.0,2.9,40.3,0.2,Q
Donte Moncrief,WR,JAX,0.0,0.0,0.0,0.0,0.0,3.1,42.7,0.2, 
Michael Gallup,WR,DAL,0.0,0.0,0.0,0.0,0.0,2.6,39.1,0.3, 
Seth Roberts,WR,OAK,0.0,0.0,0.0,1.6,0.0,3.3,38.1,0.2, 
Taywan Taylor,WR,TEN,0.0,0.0,0.0,0.0,0.0,2.9,40.1,0.2, 
Josh Doctson,WR,WAS,0.0,0.0,0.0,0.0,0.0,3.1,39.9,0.1, 
Cody Core,WR,CIN,0.0,0.0,0.0,0.0,0.0,3.0,38.2,0.2,Q
Jarius Wright,WR,CAR,0.0,0.0,0.0,1.6,0.0,3.1,34.1,0.2, 
