Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Kendrick Bourne,SF,1.0,0.24,0.0,2.45,34.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Brown,PIT,1.0,0.2,0.0,6.18,79.62,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jaron Brown,SEA,1.0,0.03,0.0,0.5,9.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Brown,BAL,1.0,0.99,0.0,2.08,35.43,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Noah Brown,DAL,1.0,0.03,0.0,0.44,6.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deontay Burnett,NYJ,1.0,0.12,0.0,0.83,10.31,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brice Butler,MIA,1.0,0.02,0.0,1.04,17.07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Antonio Callaway,CLE,1.0,0.41,0.0,3.44,44.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Leonte Carroo,MIA,1.0,0.14,0.0,0.2,4.53,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Carter,HOU,1.0,0.6,0.01,2.2,27.41,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Jehu Chesson,WAS,1.0,0.16,0.0,0.18,4.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.03,0.0,1.37,23.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Coleman,NYG,1.0,0.08,0.0,0.98,15.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Conley,KC,1.0,0.4,0.0,2.48,31.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,3.35,0.03,4.86,75.14,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,3.15,0.01,4.56,74.45,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cody Core,CIN,1.0,0.32,0.0,2.23,29.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.11,0.0,2.66,36.02,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
River Cracraft,DEN,1.0,0.11,0.0,0.3,4.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jamison Crowder,WAS,1.0,2.12,0.02,3.83,49.3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Corey Davis,TEN,1.0,1.85,0.01,3.37,49.72,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.1,0.0,0.13,2.74,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jawill Davis,NYG,1.0,0.38,0.0,1.61,16.84,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Gehrig Dieter,KC,1.0,0.4,0.0,0.7,8.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stefon Diggs,MIN,1.0,2.68,0.01,5.07,63.18,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.08,0.0,3.11,44.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.05,0.0,0.6,7.49,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,3.49,0.02,5.7,69.05,0.42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,1.44,0.01,1.63,17.27,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.09,0.0,4.52,74.29,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.11,0.0,4.23,51.37,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Floyd,WAS,1.0,0.02,0.0,1.58,18.39,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.43,0.0,2.85,55.46,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bennie Fowler,NYG,1.0,0.06,0.0,2.18,28.29,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Devin Funchess,CAR,1.0,0.03,0.0,0.76,12.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,0.87,0.0,3.57,43.95,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.06,0.0,0.95,10.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.06,0.0,2.47,38.43,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.09,0.0,0.0,1.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.02,0.0,2.07,31.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.4,0.0,3.98,59.5,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,1.0,0.33,0.0,1.03,15.69,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Grant,IND,1.0,0.03,0.0,1.51,17.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashad Greene,JAX,1.0,0.06,0.0,0.34,5.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.78,0.01,0.85,9.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.11,0.0,3.79,44.81,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardy,ATL,1.0,0.06,0.0,1.37,11.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dwayne Harris,OAK,1.0,0.5,0.0,0.51,8.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.27,0.0,0.18,2.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.03,0.0,2.16,32.5,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,2.92,0.02,5.02,80.62,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.05
T.Y. Hilton,IND,1.0,0.18,0.0,5.18,77.07,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
KhaDarel Hodge,LAR,1.0,0.24,0.0,0.63,6.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Hogan,NE,1.0,1.18,0.0,2.29,36.41,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.03,0.0,0.51,6.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.07,0.0,5.56,86.31,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.52,0.0,4.47,51.57,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.03,0.0,0.69,9.39,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dontrelle Inman,IND,1.0,0.06,0.0,1.89,26.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,1.0,2.1,0.01,3.13,44.79,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Richie James,SF,1.0,0.08,0.0,0.35,4.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alshon Jeffery,PHI,1.0,0.15,0.0,4.45,59.32,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.04,0.0,0.17,4.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andy Jones,DET,1.0,0.39,0.0,1.63,18.99,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,1.02,0.01,6.36,90.24,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.16,0.0,1.12,13.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.45,0.0,3.08,39.7,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,1.0,0.05,0.0,2.87,32.37,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Kemp,KC,1.0,0.14,0.0,0.26,3.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keith Kirkwood,NO,1.0,0.46,0.0,2.05,28.62,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jake Kumerow,GB,1.0,0.31,0.0,1.02,11.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarvis Landry,CLE,1.0,1.61,0.0,4.87,59.39,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Lance Lenoir,DAL,1.0,0.14,0.0,0.24,5.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tommylee Lewis,NO,1.0,0.91,0.0,0.85,9.13,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tony Lippett,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.19,0.03,0.0,0.01,0.08,WR,0.0
Tyler Lockett,SEA,1.0,3.91,0.02,3.55,65.55,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Josh Malone,CIN,1.0,0.36,0.0,0.35,3.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Byron Marshall,WAS,1.0,6.86,0.03,0.72,5.34,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordan Matthews,PHI,1.0,0.03,0.0,0.73,8.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Isaiah McKenzie,BUF,1.0,5.06,0.0,3.36,32.9,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Anthony Miller,CHI,1.0,1.03,0.0,2.06,26.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Donte Moncrief,JAX,1.0,0.23,0.0,2.99,40.52,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,1.48,0.01,0.89,8.28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,9.74,0.05,3.8,53.64,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
David Moore,SEA,1.0,0.5,0.0,1.7,32.64,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J'Mon Moore,GB,1.0,0.1,0.0,0.19,2.79,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JoJo Natson,LAR,1.0,0.19,0.0,0.19,2.26,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordy Nelson,OAK,1.0,0.45,0.0,3.57,46.79,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
George Odum,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.27,0.04,0.01,0.02,0.17,WR,0.0
DeVante Parker,MIA,1.0,0.02,0.0,2.11,29.77,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zach Pascal,IND,1.0,0.87,0.0,1.06,13.53,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.72,0.0,2.35,34.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,15.56,0.03,2.06,22.62,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.11
Charone Peake,NYJ,1.0,0.05,0.0,0.32,4.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Breshad Perriman,CLE,1.0,1.79,0.0,1.49,21.5,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dante Pettis,SF,1.0,0.87,0.0,3.49,59.99,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Brandon Powell,DET,1.0,1.33,0.01,1.15,12.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.06,0.0,0.39,5.32,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.71,0.01,3.66,43.41,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,1.57,0.02,4.13,46.23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.79,0.01,1.73,17.61,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Seth Roberts,OAK,1.0,1.26,0.01,3.28,42.32,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.03,0.0,1.32,14.74,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.81,0.0,3.86,53.06,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.62,0.0,2.04,29.79,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,1.06,0.0,1.8,21.76,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Eli Rogers,PIT,1.0,0.03,0.0,1.63,16.43,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Ross,CIN,1.0,1.54,0.01,2.32,30.52,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,5.32,0.03,3.09,44.01,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Mohamed Sanu,ATL,1.0,2.57,0.03,3.83,47.77,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.31,0.0,2.16,28.22,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.35,0.0,4.01,52.11,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Sherfield,ARI,1.0,0.37,0.0,1.94,26.73,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.1,0.0,0.17,3.42,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Torrey Smith,CAR,1.0,0.06,0.0,0.39,5.99,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.7,0.0,2.08,35.89,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Vyncint Smith,HOU,1.0,0.06,0.0,0.14,1.74,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,2.09,0.0,5.08,68.15,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.68,0.0,2.96,33.47,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Equanimeous St. Brown,GB,1.0,0.69,0.01,2.22,27.39,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Stills,MIA,1.0,0.16,0.0,2.4,46.06,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.68,0.0,3.31,52.54,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,1.87,0.0,1.62,17.49,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Auden Tate,CIN,1.0,0.13,0.0,0.96,11.87,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Golden Tate,PHI,1.0,1.28,0.0,3.8,41.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taywan Taylor,TEN,1.0,0.94,0.0,2.98,43.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.05,0.0,1.46,17.65,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,1.25,0.0,4.96,65.24,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.05,0.0,3.62,45.69,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.71,0.0,6.58,84.42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.11,0.0,1.36,18.65,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jalen Tolliver,ARI,1.0,0.27,0.0,1.23,13.19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.04,0.0,0.26,2.37,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Malik Turner,SEA,1.0,0.08,0.0,0.13,3.68,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,5.35,0.05,2.77,35.12,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darren Waller,OAK,1.0,0.84,0.01,0.47,5.95,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.06,0.0,1.04,13.64,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,4.58,0.05,4.01,51.62,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Chad Williams,ARI,1.0,0.3,0.0,0.91,10.57,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,1.48,0.0,3.39,54.49,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.54,0.0,3.14,51.92,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bobo Wilson,TB,1.0,0.97,0.0,0.42,4.88,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,2.43,0.02,5.02,70.02,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.97,0.0,2.39,29.63,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.3,0.0,0.15,3.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
