Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Andrew Luck,IND,1.0,40.0,21.0,19.0,197.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,41.0,32.0,9.0,368.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,-4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
EJ Manuel,,1.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Marcus Mariota,TEN,1.0,33.0,25.0,8.0,238.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,33.0,20.0,13.0,260.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.0,QB
Cam Newton,CAR,1.0,40.0,24.0,16.0,353.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,33.0,19.0,14.0,268.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,30.0,22.0,8.0,292.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,24.0,17.0,7.0,220.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,36.0,20.0,16.0,213.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,37.0,19.0,18.0,259.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,34.0,26.0,8.0,396.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,33.0,22.0,11.0,266.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,37.0,20.0,17.0,186.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,-17.0,QB
Matthew Stafford,DET,1.0,40.0,22.0,18.0,260.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Stanton,CLE,1.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,45.0,32.0,13.0,387.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,-19.0,QB
Tyrod Taylor,CLE,1.0,30.0,18.0,12.0,297.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,34.0,21.0,13.0,190.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,35.0,22.0,13.0,254.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,52.0,27.0,25.0,243.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
