Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Ben Roethlisberger,PIT,1.0,302.07,1.73,1.07,5.48,0.07,0.04,0.19,QB
Josh Rosen,ARI,1.0,176.45,1.07,1.04,7.61,0.08,0.05,0.09,QB
Cooper Rush,DAL,1.0,10.74,0.03,0.04,0.03,0.01,0.01,0.03,QB
Matt Ryan,ATL,1.0,291.03,1.87,0.81,7.21,0.11,0.06,0.09,QB
Mark Sanchez,WAS,1.0,12.73,0.04,0.07,0.0,0.0,0.01,0.03,QB
Tom Savage,CIN,1.0,27.89,0.07,0.11,0.0,0.0,0.0,0.03,QB
Matt Schaub,ATL,1.0,5.65,0.01,0.05,0.02,0.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,9.89,0.03,0.05,0.03,0.01,0.0,0.03,QB
Geno Smith,LAC,1.0,28.12,0.14,0.1,0.7,0.02,0.02,0.03,QB
Matthew Stafford,DET,1.0,209.78,1.3,0.68,5.06,0.07,0.04,0.06,QB
Nate Sudfeld,PHI,1.0,16.99,0.05,0.1,0.1,0.02,0.01,0.03,QB
Ryan Tannehill,MIA,1.0,191.66,1.15,0.82,13.64,0.1,0.08,0.06,QB
Alex Tanney,NYG,1.0,18.08,0.09,0.12,0.16,0.0,0.01,0.03,QB
Tyrod Taylor,CLE,1.0,10.26,0.07,0.04,0.0,0.01,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,215.84,1.41,0.64,22.07,0.16,0.06,0.15,QB
Deshaun Watson,HOU,1.0,250.01,1.66,0.71,28.16,0.15,0.07,0.13,QB
Joe Webb,HOU,1.0,3.26,0.01,0.02,0.0,0.01,0.0,0.0,QB
Brandon Weeden,HOU,1.0,3.98,0.02,0.02,0.0,0.0,0.0,0.06,QB
Russell Wilson,SEA,1.0,229.1,1.6,0.68,24.85,0.19,0.03,0.09,QB
Jameis Winston,TB,1.0,257.18,1.61,0.94,24.27,0.17,0.09,0.13,QB
