Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
Dallas Cowboys,DAL,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,88.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,280.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,113.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,310.0,0.0,0.0,1.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,42.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,401.0,0.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,290.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,474.0,0.0,0.0,0.0,0.0,1.0,DST
Detroit Lions,DET,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,370.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,123.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,395.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,62.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,DST
New England Patriots,NE,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,69.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,265.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,7.0,2.0,0.0,0.0,0.0,1.0,2.0,109.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,108.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,372.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,275.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,279.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,49.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,353.0,0.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,71.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,DST
