Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Mike Gesicki,MIA,1.0,0.02,1.53,16.3,0.13,TE
Dallas Goedert,PHI,1.0,0.08,2.3,23.99,0.16,TE
Jimmy Graham,GB,1.0,0.09,4.54,53.49,0.34,TE
Jermaine Gresham,ARI,1.0,0.05,0.71,8.75,0.06,TE
Xavier Grimble,PIT,1.0,0.03,0.54,5.67,0.05,TE
David Grinnage,,1.0,0.1,1.85,20.82,0.15,TE
Rob Gronkowski,NE,1.0,0.1,4.55,63.0,0.4,TE
Clark Harris,CIN,1.0,0.03,0.06,1.5,0.02,TE
Demetrius Harris,KC,1.0,0.02,1.16,13.11,0.09,TE
Chris Herndon,NYJ,1.0,0.07,1.78,19.98,0.14,TE
Jeff Heuerman,DEN,1.0,0.07,2.32,22.94,0.17,TE
Ryan Hewitt,IND,1.0,0.02,0.04,0.0,0.01,TE
Tyler Higbee,LA,1.0,0.07,1.26,14.57,0.08,TE
Josh Hill,NO,1.0,0.23,1.22,14.88,0.1,TE
Gabe Holmes,ARI,1.0,0.02,0.15,1.77,0.03,TE
O.J. Howard,TB,1.0,0.11,3.36,50.23,0.36,TE
Hayden Hurst,BAL,1.0,0.8,0.84,9.85,0.06,TE
Jesse James,PIT,1.0,0.07,2.89,31.47,0.18,TE
Travis Kelce,KC,1.0,0.09,5.36,71.76,0.48,TE
Lance Kendricks,GB,1.0,0.03,1.12,10.18,0.08,TE
George Kittle,SF,1.0,0.18,5.08,63.34,0.41,TE
Matt LaCosse,DEN,1.0,0.03,1.09,10.75,0.07,TE
Jordan Leggett,NYJ,1.0,0.02,0.49,5.86,0.04,TE
Matt Lengel,CIN,1.0,0.03,0.19,2.82,0.03,TE
Marcedes Lewis,GB,1.0,0.06,0.29,2.84,0.03,TE
Chris Manhertz,CAR,1.0,0.03,0.3,2.45,0.02,TE
Vance McDonald,PIT,1.0,0.23,4.47,47.46,0.26,TE
David Morgan,MIN,1.0,0.05,0.27,3.95,0.04,TE
David Njoku,CLE,1.0,0.05,3.87,41.13,0.26,TE
Nick O'Leary,MIA,1.0,0.04,2.33,29.62,0.22,TE
Greg Olsen,CAR,1.0,0.07,4.07,47.63,0.35,TE
Brian Parker,DEN,1.0,0.03,0.26,2.68,0.02,TE
Josh Perkins,PHI,1.0,0.03,0.34,3.95,0.03,TE
Jordan Reed,WAS,1.0,0.07,4.37,48.17,0.32,TE
Michael Roberts,DET,1.0,0.03,0.62,4.8,0.06,TE
Kyle Rudolph,MIN,1.0,0.06,3.68,38.59,0.25,TE
Ricky Seals-Jones,ARI,1.0,0.05,2.65,33.93,0.25,TE
Scott Simonson,NYG,1.0,0.03,0.31,3.45,0.03,TE
Dion Sims,CHI,1.0,0.04,0.58,6.29,0.03,TE
Lee Smith,OAK,1.0,0.05,0.35,3.34,0.02,TE
Durham Smythe,MIA,1.0,0.02,0.08,1.69,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.12,1.09,0.02,TE
Neal Sterling,NYJ,1.0,0.07,1.29,13.82,0.04,TE
Ian Thomas,CAR,1.0,0.03,0.27,3.96,0.03,TE
Jordan Thomas,HOU,1.0,0.13,1.2,13.78,0.05,TE
Logan Thomas,BUF,1.0,0.02,0.59,7.08,0.05,TE
Levine Toilolo,DET,1.0,0.02,0.58,5.68,0.05,TE
Eric Tomlinson,NYJ,1.0,0.02,0.64,6.63,0.05,TE
C.J. Uzomah,CIN,1.0,0.06,2.6,26.69,0.2,TE
Nick Vannett,SEA,1.0,0.06,1.79,21.97,0.11,TE
Benjamin Watson,NO,1.0,0.07,3.55,34.61,0.27,TE
Luke Willson,DET,1.0,0.06,1.52,14.38,0.1,TE
Deon Yelder,KC,1.0,0.02,0.12,1.76,0.02,TE
