Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,Team Def 2pt Ret,POS
Philadelphia Eagles,PHI,1.0,1.0,2.0,3.0,3.0,1.0,0.0,18.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,274.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,315.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,2.0,2.0,0.0,1.0,0.0,0.0,62.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,1.0,0.0,0.0,0.0,1.0,64.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.0,0.0,0.0,1.0,0.0,0.0,1.0,DST
New York Jets,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,1.0,0.0,0.0,114.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,364.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,236.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,6.0,0.0,3.0,2.0,0.0,0.0,181.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,392.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,6.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,1.0,1.0,1.0,0.0,0.0,89.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,90.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,296.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,1.0,2.0,2.0,0.0,0.0,32.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,5.0,1.0,1.0,1.0,0.0,0.0,115.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,4.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,7.0,1.0,1.0,3.0,0.0,0.0,82.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,0.0,1.0,1.0,1.0,0.0,121.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
