Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
Indianapolis Colts,IND,16.0,33.0,8.0,9.0,15.0,0.0,1.0,2.0,986.0,1.0,372.0,0.0,1.0,1.0,3.0,6.0,4.0,1.0,6126.0,0.0,2.0,6.0,5.0,2.0,1.0,0.0,DST
Dallas Cowboys,DAL,16.0,36.0,9.0,11.0,18.0,0.0,0.0,0.0,690.0,0.0,306.0,0.0,0.0,2.0,8.0,5.0,1.0,0.0,5503.0,0.0,5.0,8.0,2.0,0.0,1.0,0.0,DST
Miami Dolphins,MIA,16.0,33.0,16.0,9.0,16.0,0.0,2.0,4.0,1207.0,2.0,374.0,0.0,0.0,3.0,2.0,6.0,3.0,2.0,6122.0,0.0,3.0,8.0,1.0,3.0,1.0,1.0,DST
Philadelphia Eagles,PHI,16.0,34.0,16.0,10.0,15.0,1.0,3.0,3.0,1202.0,2.0,331.0,0.0,1.0,3.0,3.0,6.0,3.0,0.0,5484.0,1.0,5.0,5.0,2.0,3.0,0.0,0.0,DST
Atlanta Falcons,ATL,16.0,34.0,12.0,10.0,17.0,0.0,5.0,2.0,757.0,0.0,392.0,0.0,0.0,1.0,4.0,4.0,7.0,0.0,5939.0,0.0,2.0,9.0,2.0,3.0,0.0,0.0,DST
New York Giants,NYG,16.0,35.0,17.0,8.0,15.0,0.0,4.0,2.0,1014.0,0.0,276.0,0.0,1.0,5.0,4.0,5.0,1.0,0.0,5435.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,16.0,33.0,7.0,6.0,10.0,0.0,1.0,2.0,1101.0,1.0,380.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,5147.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,16.0,27.0,8.0,6.0,14.0,0.0,1.0,0.0,1090.0,0.0,385.0,0.0,0.0,4.0,1.0,5.0,4.0,2.0,5479.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,DST
Detroit Lions,DET,16.0,26.0,10.0,4.0,8.0,2.0,1.0,1.0,1039.0,2.0,352.0,0.0,0.0,3.0,7.0,1.0,3.0,2.0,5676.0,0.0,3.0,9.0,3.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,16.0,40.0,17.0,8.0,9.0,0.0,0.0,0.0,866.0,0.0,382.0,0.0,1.0,3.0,2.0,5.0,3.0,2.0,5823.0,1.0,3.0,5.0,6.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,16.0,47.0,17.0,10.0,18.0,1.0,3.0,3.0,1030.0,0.0,376.0,0.0,0.0,2.0,7.0,2.0,2.0,3.0,5756.0,0.0,3.0,9.0,1.0,0.0,3.0,0.0,DST
New England Patriots,NE,16.0,34.0,13.0,10.0,16.0,3.0,0.0,3.0,851.0,0.0,250.0,1.0,2.0,2.0,6.0,4.0,1.0,0.0,5223.0,1.0,5.0,8.0,1.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,16.0,25.0,16.0,14.0,20.0,0.0,1.0,2.0,914.0,0.0,385.0,0.0,0.0,1.0,4.0,7.0,3.0,1.0,6001.0,0.0,3.0,8.0,3.0,0.0,2.0,0.0,DST
Los Angeles Rams,LA,16.0,31.0,10.0,8.0,12.0,0.0,1.0,2.0,1491.0,0.0,358.0,0.0,2.0,3.0,1.0,5.0,3.0,2.0,5392.0,0.0,6.0,6.0,2.0,1.0,1.0,0.0,DST
Baltimore Ravens,BAL,16.0,31.0,18.0,10.0,14.0,0.0,2.0,4.0,882.0,0.0,317.0,0.0,1.0,3.0,4.0,5.0,3.0,0.0,5154.0,2.0,4.0,6.0,3.0,1.0,0.0,1.0,DST
Washington Redskins,WAS,16.0,38.0,13.0,8.0,17.0,0.0,0.0,1.0,914.0,1.0,365.0,0.0,0.0,2.0,5.0,6.0,2.0,1.0,6046.0,0.0,1.0,9.0,4.0,2.0,0.0,0.0,DST
New Orleans Saints,NO,16.0,30.0,9.0,12.0,11.0,1.0,0.0,0.0,683.0,0.0,428.0,0.0,0.0,0.0,3.0,6.0,2.0,5.0,6006.0,0.0,3.0,5.0,5.0,3.0,0.0,0.0,DST
Seattle Seahawks,SEA,16.0,42.0,11.0,8.0,16.0,1.0,1.0,3.0,1057.0,0.0,290.0,0.0,2.0,3.0,4.0,5.0,1.0,1.0,5099.0,1.0,5.0,8.0,2.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,16.0,38.0,13.0,10.0,16.0,1.0,1.0,1.0,788.0,0.0,327.0,0.0,0.0,3.0,6.0,4.0,2.0,1.0,5482.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,DST
Houston Texans,HOU,16.0,31.0,11.0,6.0,7.0,1.0,1.0,0.0,984.0,1.0,322.0,0.0,0.0,3.0,5.0,7.0,1.0,0.0,4821.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,16.0,40.0,12.0,6.0,4.0,0.0,1.0,0.0,865.0,0.0,340.0,0.0,0.0,3.0,4.0,6.0,3.0,0.0,5720.0,0.0,2.0,9.0,4.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,16.0,41.0,14.0,13.0,13.0,1.0,4.0,1.0,1256.0,3.0,307.0,0.0,0.0,4.0,6.0,4.0,1.0,1.0,5038.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,DST
