Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Chris Conley,WR,KC,0.0,0.0,0.0,0.0,0.0,2.8,35.4,0.1
Anthony Miller,WR,CHI,0.0,0.0,0.0,0.7,0.0,2.6,36.8,0.1
T.J. Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,2.5,32.6,0.1
Seth Roberts,WR,OAK,0.0,0.0,0.0,0.0,0.0,3.5,34.7,0.1
Chris Moore,WR,BAL,0.0,0.0,0.0,-0.2,0.0,2.2,21.3,0.2
Cole Beasley,WR,DAL,0.0,0.0,0.0,0.1,0.0,2.8,28.7,0.2
Josh Reynolds,WR,LAR,0.0,0.0,0.0,0.0,0.0,1.6,22.0,0.2
Justin Hunter,WR,PIT,0.0,0.0,0.0,0.0,0.0,1.7,20.6,0.2
Tre'Quan Smith,WR,NO,0.0,0.0,0.0,1.1,0.0,2.1,28.3,0.2
Trent Taylor,WR,SF,0.0,0.0,0.0,0.0,0.0,3.0,28.3,0.2
Jakeem Grant,WR,MIA,0.0,0.0,0.0,1.0,0.0,1.8,20.8,0.2
Mike Williams,WR,LAC,0.0,0.0,0.0,0.0,0.0,1.7,26.3,0.1
Dante Pettis,WR,SF,0.0,0.0,0.0,0.9,0.0,1.8,22.5,0.1
Tyler Boyd,WR,CIN,0.0,0.0,0.0,1.0,0.0,2.3,28.5,0.1
Tyler Lockett,WR,SEA,0.0,0.0,0.0,4.0,0.0,2.6,29.7,0.1
Kevin White,WR,CHI,0.0,0.0,0.0,1.0,0.0,2.2,25.4,0.1
Terrance Williams,WR,DAL,0.0,0.0,0.0,0.7,0.0,2.5,28.6,0.1
James Washington,WR,PIT,0.0,0.0,0.0,0.7,0.0,2.0,26.5,0.1
Cordarrelle Patterson,WR,NE,0.0,0.0,0.0,7.3,0.0,2.5,27.1,0.1
Zay Jones,WR,BUF,0.0,0.0,0.0,0.0,0.0,1.8,20.7,0.1
Cody Latimer,WR,NYG,0.0,0.0,0.0,0.0,0.0,1.9,21.8,0.1
