Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Blk,Pass Def,POS,TD
Antonio Callaway,CLE,1.0,0.66,0.0,2.7,33.36,0.21,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Austin Carr,NO,1.0,0.0,0.01,0.39,4.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Carter,HOU,1.0,0.0,0.0,0.64,7.15,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Chark,JAX,1.0,0.57,0.0,1.41,18.31,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Kaelin Clay,FA,1.0,0.0,0.0,0.32,4.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Sammie Coates,FA,1.0,0.0,0.0,0.02,0.69,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Randall Cobb,GB,1.0,2.66,0.02,4.18,43.37,0.28,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keelan Cole,JAX,1.0,0.0,0.0,2.76,46.31,0.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Stacy Coley,FA,1.0,0.0,0.0,0.24,2.71,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Chris Conley,KC,1.0,0.0,0.0,1.98,26.25,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandin Cooks,LAR,1.0,1.74,0.01,3.41,54.16,0.34,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Amari Cooper,DAL,1.0,0.53,0.01,3.71,56.91,0.4,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pharoh Cooper,ARI,1.0,0.25,0.0,0.47,4.96,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.05
Keke Coutee,HOU,1.0,0.38,0.0,0.25,2.84,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Crabtree,BAL,1.0,0.0,0.0,4.46,53.57,0.33,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jamison Crowder,WAS,1.0,1.79,0.01,4.5,54.84,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Corey Davis,TEN,1.0,0.0,0.0,3.75,48.33,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Geremy Davis,LAC,1.0,0.0,0.0,0.11,1.44,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trevor Davis,GB,1.0,0.07,0.0,0.67,7.86,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Stefon Diggs,MIN,1.0,1.27,0.01,5.07,63.83,0.44,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Doctson,WAS,1.0,0.15,0.0,2.99,41.02,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.03,0.0,2.0,27.23,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bruce Ellington,DET,1.0,0.68,0.0,2.77,30.74,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,1.0,0.37,0.0,3.63,47.16,0.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,0.43,0.0,0.34,3.52,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.06
Mike Evans,TB,1.0,0.0,0.0,4.7,67.37,0.38,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,0.0,0.0,6.12,69.21,0.38,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.28,0.0,0.48,5.48,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,1.0,0.26,0.0,2.75,35.9,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Devin Funchess,CAR,1.0,0.0,0.0,3.71,53.26,0.38,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,1.23,0.01,2.33,25.74,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.07,0.0,0.42,4.68,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Michael Gallup,DAL,1.0,0.34,0.0,1.32,15.8,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,1.0,0.0,0.0,4.0,48.74,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.0,0.0,1.0,11.5,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ted Ginn,NO,1.0,2.6,0.02,3.95,54.61,0.32,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Chris Godwin,TB,1.0,0.02,0.0,2.84,38.69,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Kenny Golladay,DET,1.0,0.62,0.01,3.53,48.59,0.28,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,1.0,2.1,0.02,4.05,61.68,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,1.0,0.04,0.0,2.26,34.31,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,1.35,0.01,3.11,37.93,0.26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Janarion Grant,BAL,1.0,0.06,0.0,0.06,1.29,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Ryan Grant,IND,1.0,0.0,0.0,3.02,40.13,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,1.0,0.0,0.0,4.97,72.19,0.39,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashad Greene,JAX,1.0,0.0,0.0,0.05,0.92,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.04
DaeSean Hamilton,DEN,1.0,0.24,0.0,1.18,13.64,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.04
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.01,0.01,0.0,0.01,0.01,0.11,WR,0.0
Justin Hardy,ATL,1.0,0.0,0.0,0.81,9.14,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Dwayne Harris,OAK,1.0,0.0,0.0,0.03,0.74,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.08
Darrius Heyward-Bey,PIT,1.0,0.04,0.0,0.09,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.14,0.0,1.41,16.75,0.12,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,3.97,0.03,4.97,68.61,0.4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.04
T.Y. Hilton,IND,1.0,0.0,0.0,4.06,55.98,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Chris Hogan,NE,1.0,0.63,0.01,4.55,64.51,0.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.0,0.0,0.28,3.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.0,0.0,5.61,82.66,0.56,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.25,0.0,3.28,34.72,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Justin Hunter,PIT,1.0,0.0,0.0,0.2,2.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Allen Hurns,DAL,1.0,0.0,0.0,3.44,41.48,0.21,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,1.0,1.72,0.01,3.49,44.44,0.24,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.0,0.0,0.29,2.59,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Johnson,IND,1.0,0.01,0.0,0.54,5.82,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,0.28,0.0,6.33,87.82,0.53,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Jones,DET,1.0,0.0,0.0,3.51,61.82,0.47,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.0,0.0,1.18,14.21,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.13,0.0,1.93,26.16,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jeremy Kerley,FA,1.0,0.0,0.0,1.57,18.95,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.05
Christian Kirk,ARI,1.0,0.42,0.01,1.88,23.45,0.15,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Cooper Kupp,LAR,1.0,0.0,0.0,4.51,57.39,0.39,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Brandon LaFell,OAK,1.0,0.0,0.0,1.95,23.91,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarvis Landry,CLE,1.0,0.0,0.0,6.02,61.05,0.4,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordan Lasley,BAL,1.0,0.33,0.0,0.24,3.19,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Cody Latimer,NYG,1.0,0.0,0.0,1.71,23.72,0.17,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tommylee Lewis,NO,1.0,0.68,0.01,0.2,2.2,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Tyler Lockett,SEA,1.0,1.42,0.01,2.91,34.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Josh Malone,CIN,1.0,1.76,0.01,1.07,12.11,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bradley Marquez,FA,1.0,0.0,0.0,0.11,1.59,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Marshall,FA,1.0,0.0,0.0,1.51,16.93,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Freddie Martino,FA,1.0,0.0,0.0,0.46,4.58,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rishard Matthews,NYJ,1.0,0.0,0.0,3.14,40.45,0.22,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Riley McCarron,NE,1.0,0.14,0.0,1.01,11.82,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Cameron Meredith,NO,1.0,0.0,0.0,2.65,34.82,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Anthony Miller,CHI,1.0,0.57,0.0,1.74,21.96,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Donte Moncrief,JAX,1.0,0.0,0.0,2.73,34.48,0.22,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,0.37,0.0,1.27,16.45,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,0.96,0.01,1.77,22.69,0.14,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
David Moore,SEA,1.0,0.07,0.0,0.64,7.2,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Nelson,ARI,1.0,0.41,0.01,1.34,20.77,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordy Nelson,OAK,1.0,0.0,0.0,3.24,34.85,0.2,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.0,0.0,0.47,5.25,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,1.0,0.01,2.07,20.79,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.03
Dante Pettis,SF,1.0,0.41,0.0,1.3,15.91,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.03
Terrelle Pryor,FA,1.0,0.0,0.0,3.37,43.46,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trey Quinn,WAS,1.0,0.11,0.0,1.06,12.01,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.22,0.0,0.38,4.49,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.09,0.0,0.67,7.49,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Paul Richardson,WAS,1.0,0.0,0.0,2.12,31.55,0.18,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,0.84,0.0,2.04,25.65,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Andre Roberts,NYJ,1.0,0.0,0.0,0.07,0.79,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.1
Seth Roberts,OAK,1.0,0.0,0.0,2.41,27.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.0,0.0,3.6,50.55,0.3,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.0,0.0,1.19,13.4,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,1.4,0.01,1.76,23.23,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
John Ross,CIN,1.0,3.03,0.02,2.93,37.07,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Emmanuel Sanders,DEN,1.0,0.0,0.0,3.7,47.43,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,0.4,0.0,4.48,49.45,0.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.1,0.0,1.43,20.35,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Shepard,NYG,1.0,0.34,0.0,0.65,7.65,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.92,0.01,3.96,49.1,0.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Trent Sherfield,ARI,1.0,0.2,0.01,1.05,12.1,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Cam Sims,WAS,1.0,0.03,0.0,0.77,8.52,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.0,0.0,0.03,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Torrey Smith,CAR,1.0,0.0,0.0,2.89,34.54,0.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.37,0.01,1.42,16.8,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,0.33,0.0,4.71,62.99,0.47,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Willie Snead,BAL,1.0,0.0,0.0,1.46,17.44,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Equanimeous St. Brown,GB,1.0,0.36,0.01,0.93,11.41,0.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Stills,MIA,1.0,0.0,0.0,2.87,42.98,0.26,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.39,0.0,1.81,22.92,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,0.43,0.0,0.63,6.88,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Golden Tate,PHI,1.0,0.52,0.01,5.53,58.56,0.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taywan Taylor,TEN,1.0,0.86,0.01,0.79,8.84,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.0,0.0,2.07,22.74,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Adam Thielen,MIN,1.0,0.0,0.0,4.7,60.47,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.0,0.0,5.26,61.27,0.4,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.0,0.0,6.29,81.43,0.56,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.06,0.01,1.0,11.78,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.21,0.0,0.81,9.69,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.02
Mike Wallace,PHI,1.0,0.0,0.0,3.85,52.14,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.91,0.0,3.68,47.61,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,0.0,0.0,2.58,39.32,0.29,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.15,0.0,0.77,8.45,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,0.18,0.0,2.63,34.25,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Markus Wheaton,FA,1.0,0.0,0.0,1.15,14.3,0.09,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kevin White,CHI,1.0,0.41,0.0,1.35,14.48,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,2.54,0.02,2.2,26.61,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,0.0,0.0,1.29,15.14,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Terrance Williams,DAL,1.0,0.63,0.0,3.22,35.71,0.19,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.0,0.0,3.1,47.21,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,0.0,0.0,3.84,43.58,0.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,0.2,0.0,4.82,62.94,0.39,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.23,0.0,1.66,20.77,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.05,0.01,0.89,10.29,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
