Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Marcedes Lewis,GB,1.0,0.03,0.39,3.78,0.04,TE
Chris Manhertz,CAR,1.0,0.03,0.31,2.05,0.02,TE
Vance McDonald,PIT,1.0,0.12,3.71,40.71,0.19,TE
David Njoku,CLE,1.0,0.09,3.26,38.2,0.23,TE
Nick O'Leary,MIA,1.0,0.05,1.56,20.11,0.15,TE
James O'Shaughnessy,JAX,1.0,0.04,2.17,20.85,0.12,TE
Greg Olsen,CAR,1.0,0.07,4.33,48.96,0.36,TE
Logan Paulsen,ATL,1.0,0.06,0.11,1.12,0.02,TE
Josh Perkins,PHI,1.0,0.03,0.29,4.18,0.03,TE
John Phillips,ARI,1.0,0.03,0.08,1.14,0.02,TE
MyCole Pruitt,TEN,1.0,0.01,0.08,1.26,0.02,TE
Jordan Reed,WAS,1.0,0.06,4.71,48.6,0.31,TE
Michael Roberts,DET,1.0,0.04,1.11,14.77,0.1,TE
Richard Rodgers,PHI,1.0,0.03,0.74,7.39,0.05,TE
Eric Saubert,ATL,1.0,0.03,0.25,2.07,0.02,TE
Dalton Schultz,DAL,1.0,0.03,0.48,6.05,0.04,TE
Ricky Seals-Jones,ARI,1.0,0.06,2.92,32.86,0.2,TE
Scott Simonson,NYG,1.0,0.02,0.16,1.39,0.01,TE
Jonnu Smith,TEN,1.0,0.04,1.6,17.81,0.14,TE
Lee Smith,OAK,1.0,0.03,0.13,1.85,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.02,0.1,0.66,0.02,TE
Luke Stocker,TEN,1.0,0.03,1.0,10.92,0.07,TE
Geoff Swaim,DAL,1.0,0.05,2.02,22.68,0.19,TE
Ian Thomas,CAR,1.0,0.03,0.25,2.32,0.03,TE
Logan Thomas,BUF,1.0,0.13,1.29,12.22,0.07,TE
Levine Toilolo,DET,1.0,0.03,0.27,2.79,0.03,TE
Eric Tomlinson,NYJ,1.0,0.07,0.75,6.64,0.04,TE
C.J. Uzomah,CIN,1.0,0.05,2.65,28.29,0.26,TE
Nick Vannett,SEA,1.0,0.07,2.35,23.34,0.2,TE
Benjamin Watson,NO,1.0,0.03,2.76,30.06,0.24,TE
Deon Yelder,KC,1.0,0.03,0.09,1.68,0.02,TE
