Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Jordy Nelson,OAK,1.0,0.06,0.0,3.41,39.73,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
George Odum,IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.01,0.01,0.01,0.05,WR,0.0
DeVante Parker,MIA,1.0,0.03,0.0,2.33,32.9,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zach Pascal,IND,1.0,0.24,0.0,0.8,9.52,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,0.31,0.0,0.72,9.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,3.0,0.0,2.14,21.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Charone Peake,NYJ,1.0,0.03,0.0,0.31,4.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dante Pettis,SF,1.0,0.71,0.0,1.78,24.96,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Terrelle Pryor,FA,1.0,0.05,0.0,2.13,30.47,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brian Quick,FA,1.0,0.04,0.0,0.27,5.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.23,0.0,0.32,5.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.02,0.0,0.43,6.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Reynolds,SEA,1.0,0.19,0.0,0.35,5.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Paul Richardson,WAS,1.0,0.22,0.0,2.99,45.81,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,2.61,0.02,2.8,31.44,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.65,0.0,0.02,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.03,0.0,0.87,13.42,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Robinson,CHI,1.0,0.07,0.0,4.53,59.49,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.03,0.0,0.5,9.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chester Rogers,IND,1.0,1.13,0.0,2.31,25.41,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
John Ross,CIN,1.0,2.78,0.01,2.36,28.1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
