Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Taylor Heinicke,CAR,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Taysom Hill,NO,1.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,QB
Lamar Jackson,BAL,1.0,19.0,13.0,6.0,150.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,26.0,119.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-3.0,QB
Case Keenum,DEN,1.0,32.0,19.0,13.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andrew Luck,IND,1.0,29.0,23.0,6.0,297.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,KC,1.0,46.0,33.0,13.0,478.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,6.0,28.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,18.0,17.0,1.0,231.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Marcus Mariota,TEN,1.0,13.0,10.0,3.0,85.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Colt McCoy,WAS,1.0,12.0,6.0,6.0,54.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,37.0,25.0,12.0,357.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Dak Prescott,DAL,1.0,32.0,22.0,10.0,208.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,43.0,28.0,15.0,401.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,30.0,21.0,9.0,332.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,47.0,27.0,20.0,314.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh Rosen,ARI,1.0,20.0,9.0,11.0,136.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-5.0,QB
Matt Ryan,ATL,1.0,34.0,24.0,10.0,291.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,27.0,12.0,15.0,135.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,37.0,23.0,14.0,220.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,31.0,20.0,11.0,165.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,24.0,16.0,8.0,208.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,33.0,19.0,14.0,156.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,31.0,21.0,10.0,225.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,1.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,16.0,12.0,4.0,199.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
