Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jeremy Maclin, Bal WR",0/0,0,0,0,2.3,14.4,0,75.1,914.3,3.9,190.6,WR
"Randall Cobb, GB WR",0/0,0,0,0,7.4,47.4,0.2,68.2,781,6,189.3,WR
"DeSean Jackson, TB WR",0/0,0,0,0,0,0,0,58,951.4,4.5,180.4,WR
"Adam Thielen, Min WR",0/0,0,0,0,3.7,23.5,0.1,68,872.4,3.6,179.5,WR
"Jordan Matthews, NE WR",0/0,0,0,0,0,0,0,69.1,834.6,4,176.2,WR
"Mike Wallace, Phi WR",0/0,0,0,0,3.8,24.6,0.1,65.6,821.3,4.2,175.6,WR
"Kenny Britt, NE WR",0/0,0,0,0,0,0,0,61.5,876.4,4.5,175.3,WR
"Chris Hogan, NE WR",0/0,0,0,0,10.3,65.3,0.4,53.8,787.1,5.7,175.3,WR
"Marvin Jones Jr., Det WR",0/0,0,0,0,0,0,0,55.8,824.8,5.7,172.3,WR
"Corey Davis, Ten WR",0/0,0,0,0,0,0,0,59.9,755,5.8,170,WR
"Eric Decker, Ten WR",0/0,0,0,0,0,0,0,55.8,752.3,6.4,168.9,WR
"Tyrell Williams, LAC WR",0/0,0,0,0,0,0,0,53.7,787.5,5.3,163.9,WR
"Willie Snead, NO WR",0/0,0,0,0,0,0,0,60.2,765.3,4.4,161.9,WR
"Torrey Smith, Car WR",0/0,0,0,0,0,0,0,52.2,829.8,4.5,161.9,WR
"Rishard Matthews, Ten WR",0/0,0,0,0,0,0,0,53.5,758.5,5,159.1,WR
"Kevin White, Chi WR",0/0,0,0,0,2.4,15.1,0.1,60,701.9,4.4,158.2,WR
"Tyler Lockett, Sea WR",0/0,0,0,0,4.1,25.7,0.1,53,739,4,157.1,WR
"Ted Ginn Jr., NO WR",0/0,0,0,0,4,28.5,0.1,50.2,742,4.5,157,WR
"Zay Jones, Buf WR",0/0,0,0,0,0,0,0,60.8,736,3.7,156.2,WR
"Sterling Shepard, NYG WR",0/0,0,0,0,4,25,0.1,58.1,669.2,4.6,155.3,WR
"Cole Beasley, Dal WR",0/0,0,0,0,0,0,0,65.9,698.1,3.1,154.7,WR
"Marqise Lee, Jax WR",0/0,0,0,0,8.5,53.5,0.2,57.1,686.9,3.2,154.7,WR
"Mohamed Sanu, Atl WR",0/0,0,0,0,3.9,24.2,0.2,54.7,630.2,5.5,154.1,WR
"John Brown, Bal WR",0/0,0,0,0,3.6,22.7,0.1,51.9,748.7,3.8,152.7,WR
"Corey Coleman, Cle WR",0/0,0,0,0,5.6,35.2,0.1,57.7,715.6,3.1,152,WR
"Danny Amendola, Mia WR",0/0,0,0,0,2.1,13.6,0.1,61.6,612.1,4.2,149.5,WR
"Robby Anderson, NYJ WR",0/0,0,0,0,3.5,22.4,0.1,55.2,760.5,2.7,149.5,WR
"Devin Funchess, Car WR",0/0,0,0,0,0,0,0,47.1,694.4,5.1,147.6,WR
"Taylor Gabriel, Chi WR",0/0,0,0,0,3.9,24.5,0.2,49.6,683.5,4.3,147,WR
"Kenny Golladay, Det WR",0/0,0,0,0,0,0,0,51.3,627,5,144,WR
"Breshad Perriman, Bal WR",0/0,0,0,0,0,0,0,52.8,685.8,3.2,140.1,WR
"Marquise Goodwin, SF WR",0/0,0,0,0,1.9,11.6,0,47.5,697.6,2.9,135.9,WR
"Kenny Stills, Mia WR",0/0,0,0,0,0,0,0,43.1,670.1,4.3,135.6,WR
"Josh Doctson, Wsh WR",0/0,0,0,0,0,0,0,47.5,650.8,3.9,135.6,WR
"Kendall Wright, Min WR",0/0,0,0,0,1.6,10,0,54.9,629.8,2.8,135,WR
"Allen Hurns, Dal WR",0/0,0,0,0,0,0,0,47.2,635.8,3.3,129.7,WR
"Paul Richardson, Wsh WR",0/0,0,0,0,0,0,0,45.5,601.1,3.7,128.2,WR
"J.J. Nelson, Ari WR",0/0,0,0,0,4.4,27.7,0.1,37.2,628.5,3.6,125.1,WR
"Terrance Williams, Dal WR",0/0,0,0,0,0,0,0,40.6,615.9,3.6,123.4,WR
"Robert Woods, LAR WR",0/0,0,0,0,0,0,0,49.6,572.8,2.5,121.7,WR
"Markus Wheaton, Chi WR",0/0,0,0,0,0,0,0,42.9,587.9,2.9,118.3,WR
"Jermaine Kearse, NYJ WR",0/0,0,0,0,0,0,0,42.9,581.6,2.7,116.6,WR
"Curtis Samuel, Car WR",0/0,0,0,0,31.1,158.5,1.1,36.5,438.2,2.4,116.6,WR
"Andre Holmes, Buf WR",0/0,0,0,0,0,0,0,37.6,529.2,4,114.5,WR
"Braxton Miller, Hou WR",0/0,0,0,0,8.8,55.3,0.2,41.6,461.3,3.1,113,WR
"Chester Rogers, Ind WR",0/0,0,0,0,0,0,0,38.7,519.9,3.6,112.1,WR
"Cooper Kupp, LAR WR",0/0,0,0,0,0,0,0,45.9,520,2.3,111.3,WR
"Albert Wilson, Mia WR",0/0,0,0,0,1.9,12,0.1,42.8,499.8,2.7,109.9,WR
"Trent Taylor, SF WR",0/0,0,0,0,1.9,11.6,0,40,505.6,2.2,106.3,WR
"Laquon Treadwell, Min WR",0/0,0,0,0,0,0,0,41.4,471.1,2.8,105.1,WR
"Tyler Boyd, Cin WR",0/0,0,0,0,2.3,14.4,0.1,40.8,462,2.4,103.2,WR
"Tavon Austin, LAR WR",0/0,0,0,0,24.6,170.1,0.8,31,371.5,1.5,100.4,WR
"Nelson Agholor, Phi WR",0/0,0,0,0,4,25.4,0.1,37.9,427.6,2.4,98.4,WR
"Will Fuller V, Hou WR",0/0,0,0,0,0,0,0,35,466,2.4,96.6,WR
"Chris Conley, KC WR",0/0,0,0,0,0,0,0,37.6,435.1,2.4,95.5,WR
"Seth Roberts, Oak WR",0/0,0,0,0,0,0,0,32.7,412.3,3.4,94.3,WR
"John Ross, Cin WR",0/0,0,0,0,2,12.8,0.1,32.4,459.8,2.2,92.9,WR
"Jaron Brown, Sea WR",0/0,0,0,0,0,0,0,32.1,428.8,2.5,90,WR
"Eli Rogers, Pit WR",0/0,0,0,0,0,0,0,33.6,411.7,2.1,88,WR
"Jeremy Kerley, NYJ WR",0/0,0,0,0,0,0,0,37.2,418.1,1.5,87.4,WR
"Brandon LaFell, Cin WR",0/0,0,0,0,0,0,0,32,395.1,2.3,85.5,WR
"Travis Benjamin, LAC WR",0/0,0,0,0,2.1,13,0,27.4,379.2,2,79.7,WR
"Brandon Coleman, NO WR",0/0,0,0,0,0,0,0,25.7,344.3,2.7,76.2,WR
"Adam Humphries, TB WR",0/0,0,0,0,4.1,25.8,0.1,29.5,310.5,1.6,74.8,WR
"Aldrick Robinson, SF WR",0/0,0,0,0,3.8,23.2,0.1,22.9,372.7,1.5,73,WR
"Bennie Fowler III, Den WR",0/0,0,0,0,0,0,0,27.5,352.1,1.7,72.7,WR
"ArDarius Stewart, NYJ WR",0/0,0,0,0,0,0,0,27.4,342.5,1.4,70.1,WR
"Chris Godwin, TB WR",0/0,0,0,0,0,0,0,20.8,246.7,1.7,55.4,WR
"Ricardo Louis, Cle WR",0/0,0,0,0,0,0,0,21.5,246.9,1,52.3,WR
"Joshua Bellamy, Chi WR",0/0,0,0,0,0,0,0,18.2,233.9,1.3,49.6,WR
"Chad Williams, Ari WR",0/0,0,0,0,0,0,0,17.6,231.2,1.4,48.8,WR
"Michael Campanaro, Ten WR",0/0,0,0,0,5.7,35.9,0.1,17.1,185.2,0.9,47.7,WR
"Mike Williams, LAC WR",0/0,0,0,0,0,0,0,16,210.1,1.7,46.9,WR
"Cordarrelle Patterson, NE WR",0/0,0,0,0,12.1,98.8,0.3,13.2,133.3,0.9,46.6,WR
"Michael Floyd, Min WR",0/0,0,0,0,0,0,0,15.9,231,1.3,46.5,WR
"Michael Clark, GB WR",0/0,0,0,0,0,0,0,15.7,200.8,1.6,45.3,WR
"Brice Butler, Ari WR",0/0,0,0,0,0,0,0,14.1,194.6,1.8,44.6,WR
"Jaelen Strong, Jax WR",0/0,0,0,0,0,0,0,16.9,218.2,1,44.4,WR
"Kamar Aiken, Ind WR",0/0,0,0,0,0,0,0,15.8,193.5,1.4,43.1,WR
"Marvin Hall, Atl WR",0/0,0,0,0,0,0,0,15.3,191.9,1.2,42,WR
"Taywan Taylor, Ten WR",0/0,0,0,0,0,0,0,14.7,184,1.3,40.9,WR
"JuJu Smith-Schuster, Pit WR",0/0,0,0,0,0,0,0,14.2,172.9,1.3,40.1,WR
"Justin Hardy, Atl WR",0/0,0,0,0,0,0,0,14.3,160.6,1.5,39.5,WR
"Isaiah McKenzie, Den WR",0/0,0,0,0,0,0,0,13.5,171.4,0.9,38.1,WR
"Mack Hollins, Phi WR",0/0,0,0,0,0,0,0,14.6,176.2,0.9,37.4,WR
"Dontrelle Inman, Chi WR",0/0,0,0,0,0,0,0,13.4,180,1,37.3,WR
"Ryan Grant, Ind WR",0/0,0,0,0,0,0,0,13.8,174.1,0.9,36.7,WR
"Deonte Thompson, Dal WR",0/0,0,0,0,0,0,0,12.4,154.6,0.9,34.1,WR
"Jalin Marshall, NYJ WR",0/0,0,0,0,0,0,0,12.7,150,0.7,33.4,WR
"Keelan Cole, Jax WR",0/0,0,0,0,0,0,0,13,157.2,0.7,33.1,WR
"Phillip Dorsett, NE WR",0/0,0,0,0,2.3,14.4,0.1,10.4,130.6,1,32.8,WR
"Sammie Coates, Hou WR",0/0,0,0,0,0,0,0,10.9,165.6,0.7,32,WR
"Chris Moore, Bal WR",0/0,0,0,0,1.5,9.6,0,11.4,135,0.7,31,WR
"TJ Jones, Det WR",0/0,0,0,0,0,0,0,10.6,145.7,0.8,30.3,WR
"Ryan Switzer, Dal WR",0/0,0,0,0,4.4,27.4,0.2,8.4,93.4,0.5,27.2,WR
"Cody Latimer, NYG WR",0/0,0,0,0,0,0,0,10.2,122.2,0.6,26.6,WR
"Charone Peake, NYJ WR",0/0,0,0,0,0,0,0,10.5,124.2,0.5,25.7,WR
"Russell Shepard, Car WR",0/0,0,0,0,0,0,0,8.7,122.3,0.8,25.4,WR
"Amara Darboh, Sea WR",0/0,0,0,0,0,0,0,8.9,114.2,0.9,25.4,WR
"Brandon Tate, Buf WR",0/0,0,0,0,0,0,0,8.2,121.7,0.5,25.1,WR
"Bruce Ellington, Hou WR",0/0,0,0,0,0,0,0,8.8,112.7,0.6,23.5,WR
"Tyler Ervin, Hou RB, WR",0/0,0,0,0,9.7,37.3,0.2,8.4,73.2,0.2,22.7,WR
"Andre Roberts, NYJ WR",0/0,0,0,0,0,0,0,6.2,74,0.6,22.6,WR
"Demarcus Robinson, KC WR",0/0,0,0,0,0,0,0,7.7,93.6,0.5,20,WR
"Kasen Williams, Cle WR",0/0,0,0,0,0,0,0,7.9,93.9,0.4,19.8,WR
"Krishawn Hogan, Ind WR",0/0,0,0,0,0,0,0,6.6,86.1,0.6,18.9,WR
"Geronimo Allison, GB WR",0/0,0,0,0,0,0,0,6.2,85.3,0.7,18.7,WR
"Jared Abbrederis, Det WR",0/0,0,0,0,0,0,0,6.6,84.7,0.5,17.9,WR
"Darrius Heyward-Bey, Pit WR",0/0,0,0,0,0,0,0,5.8,82.9,0.6,17.9,WR
"De'Anthony Thomas, KC WR",0/0,0,0,0,1.9,12,0.1,6.9,64.4,0.3,17.8,WR
"Jarius Wright, Car WR",0/0,0,0,0,0,0,0,6.7,82.8,0.3,16.8,WR
"Arrelious Benn, Jax WR",0/0,0,0,0,0,0,0,6.5,78.6,0.4,16.5,WR
"Justin Hunter, Pit WR",0/0,0,0,0,0,0,0,5.2,66.6,0.4,14.6,WR
"Quan Bray, Buf WR",0/0,0,0,0,0,0,0,4.4,55.2,0.4,13.9,WR
"Damiere Byrd, Car WR",0/0,0,0,0,0,0,0,4.7,62.1,0.4,13.5,WR
"Leonte Carroo, Mia WR",0/0,0,0,0,0,0,0,4.4,54.5,0.4,12.2,WR
"Jehu Chesson, KC WR",0/0,0,0,0,0,0,0,4.6,56.2,0.3,12,WR
"Jaydon Mickens, Jax WR",0/0,0,0,0,0,0,0,3,38.1,0.2,11,WR
"Tommylee Lewis, NO WR",0/0,0,0,0,4,25.5,0.2,2.4,30.6,0.2,10.4,WR
"Tavarres King, Min WR",0/0,0,0,0,0,0,0,3.6,45.1,0.3,9.8,WR
"Kendrick Bourne, SF WR",0/0,0,0,0,0,0,0,3.3,42.1,0.2,8.6,WR
"Victor Bolden Jr., SF WR",0/0,0,0,0,0,0,0,3.3,42.1,0.2,8.6,WR
"Tanner McEvoy, Sea WR",0/0,0,0,0,0,0,0,3,38.1,0.3,8.5,WR
"Eric Weems, Ten WR",0/0,0,0,0,0,0,0,2.9,36.8,0.3,8.4,WR
"Dwayne Harris, Oak WR",0/0,0,0,0,0,0,0,1.8,22.6,0.1,8.2,WR
"Josh Reynolds, LAR WR",0/0,0,0,0,0,0,0,3.2,39.1,0.2,8.2,WR
"Jakeem Grant, Mia WR",0/0,0,0,0,0,0,0,1.5,18.2,0.1,7.5,WR
"Trevor Davis, GB WR",0/0,0,0,0,0,0,0,2,25.2,0.2,6.5,WR
"Austin Carr, NO WR",0/0,0,0,0,0,0,0,2.2,28.5,0.2,6.2,WR
"Shelton Gibson, Phi WR",0/0,0,0,0,0,0,0,2.2,26.4,0.1,5.6,WR
"Rodney Adams, Min WR",0/0,0,0,0,0,0,0,1.7,21.6,0.1,5.1,WR
"Brian Quick, Wsh WR",0/0,0,0,0,0,0,0,1.9,24.7,0.1,5.1,WR
"Johnny Holton, Oak WR",0/0,0,0,0,0,0,0,1.8,22.7,0.1,4.9,WR
"Josh Malone, Cin WR",0/0,0,0,0,0,0,0,1.8,21.6,0.1,4.7,WR
"Bernard Reedy, NE WR",0/0,0,0,0,0,0,0,1.7,20.6,0.1,4.6,WR
"Noah Brown, Dal WR",0/0,0,0,0,0,0,0,1.5,19.4,0.1,4.3,WR
"Marcus Johnson, Sea WR",0/0,0,0,0,0,0,0,1.5,17.6,0.1,3.7,WR
"Dede Westbrook, Jax WR",0/0,0,0,0,0,0,0,0,0,0,2.3,WR
"Jeff Janis, Cle WR",0/0,0,0,0,1.9,11.7,0,0.1,1.3,0,1.9,WR
"Tre McBride III, NYJ WR",0/0,0,0,0,0,0,0,0.6,7.4,0,1.6,WR
"Alex Erickson, Cin WR",0/0,0,0,0,0,0,0,0,0,0,1.6,WR
"Kalif Raymond, NYG WR",0/0,0,0,0,0,0,0,0,0,0,1.5,WR
"Pharoh Cooper, LAR WR",0/0,0,0,0,0,0,0,0,0,0,1.2,WR
"Andy Jones, Det WR",0/0,0,0,0,0,0,0,0.2,2.8,0,0.5,WR
"JoJo Natson, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0.3,WR
"Michael Thomas, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0.2,WR
"Chris Thompson, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0.1,WR
"Steve Smith Sr., Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Andre Johnson, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Anquan Boldin, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jerricho Cotchery, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Wes Welker, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Roddy White, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Vincent Jackson, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Joshua Cribbs, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nate Washington, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Lance Moore, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Greg Jennings, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Hester, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Derek Hagan, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jason Avant, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marques Colston, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Miles Austin, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Calvin Johnson, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dwayne Bowe, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jacoby Jones, Pit WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"James Jones, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Eddie Royal, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jerome Simpson, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Harry Douglas, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Andre Jerome Caldwell, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Matthew Slater, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Stevie Johnson, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brandon Gibson, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brian Hartline, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Percy Harvin*, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Louis Murphy, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Hakeem Nicks, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Norwood, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kevin Ogletree, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Julian Edelman, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marcus Easley, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Riley Cooper, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marc Mariani, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kyle Williams, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Mike Williams, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Seyi Ajirotutu, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Victor Cruz, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marlon Moore*, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Bryan Walters, Jax WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Preston Parker, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Danario Alexander, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Andrew Hawkins, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Leonard Hankerson, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Greg Little, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Vincent Brown, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Greg Salas, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Denarius Moore, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cecil Shorts III, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Ricardo Lockette, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Joe Morgan, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Ross, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Justin Blackmon, Jax WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Stephen Hill, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rueben Randle*, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Keshawn Martin, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Trevor Graham, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nick Toon, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeVier Posey, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"LaVon Brazill, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Givens, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kashif Moore, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nathan Palmer, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Owusu, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brian Tyms, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeff Fuller, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jarrett Boykin, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Griff Whalen, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rod Streater, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"LaRon Byrd, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brittan Golden, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Damaris Johnson, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Josh Gordon, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Stedman Bailey, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Aaron Dobson, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Charles Johnson, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"B.J. Daniels, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cobi Hamilton, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Josh Boyce, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Harper, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Corey Fuller, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marquess Wilson, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Quinton Patton, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Da'Rick Rogers, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Ryan Spadola, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nick Williams, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rodney Smith, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenbrell Thompkins, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Myles White, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marlon Brown, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Josh Huff, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Shaq Evans, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Gallon, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kevin Norwood, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jalen Saunders, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Street, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Corey Washington, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Robert Herron, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brenton Bersin, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Corey Brown, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Frankie Hammond, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"James Wright, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Isaiah Burse, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Butler, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Damian Copeland, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jonathan Krause, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Walter Powell, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rashad Ross, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
