Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Indianapolis Colts,IND,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,392.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,2.0,1.0,1.0,0.0,33.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,383.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,6.0,0.0,1.0,1.0,0.0,0.0,68.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,244.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,0.0,1.0,1.0,0.0,0.0,107.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,3.0,1.0,1.0,0.0,0.0,19.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,1.0,1.0,1.0,1.0,0.0,46.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,183.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,4.0,0.0,1.0,1.0,0.0,0.0,248.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,540.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,340.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,2.0,1.0,0.0,0.0,125.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,427.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,2.0,1.0,1.0,0.0,0.0,78.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,289.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,2.0,0.0,1.0,0.0,0.0,152.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,4.0,2.0,1.0,2.0,1.0,0.0,72.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,198.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,291.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,2.0,3.0,0.0,0.0,45.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,419.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,0.0,1.0,0.0,1.0,20.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,1.0,2.0,3.0,0.0,0.0,130.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Tennessee Titans,TEN,1.0,2.0,2.0,0.0,0.0,1.0,0.0,47.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,292.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,223.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
