Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Niles Paul,FA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jordan Reed,WAS,1.0,4.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Saubert,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Ricky Seals-Jones,ARI,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Geoff Swaim,DAL,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Erik Swoope,IND,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jordan Thomas,HOU,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
