Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,450-499 Yds Allow,POS
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,29.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0,1.0,DST
Los Angeles Rams,LA,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,461.0,0.0,0.0,0.0,1.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,239.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,359.0,0.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,63.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,381.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,455.0,0.0,0.0,0.0,1.0,DST
Seattle Seahawks,SEA,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,221.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,259.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,168.0,1.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,0.0,1.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,0.0,DST
