Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Josh McCown,NYJ,1.0,34.0,17.0,17.0,135.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Nick Mullens,SF,1.0,39.0,27.0,12.0,250.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,29.0,23.0,6.0,193.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,37.0,23.0,14.0,213.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-16.0,QB
Dak Prescott,DAL,1.0,36.0,26.0,10.0,270.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Philip Rivers,LAC,1.0,26.0,18.0,8.0,223.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,28.0,19.0,9.0,199.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,25.0,22.0,3.0,328.0,5.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Josh Rosen,ARI,1.0,39.0,22.0,17.0,208.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,52.0,38.0,14.0,330.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,QB
Alex Smith,WAS,1.0,27.0,19.0,8.0,178.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,42.0,25.0,17.0,274.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Mitchell Trubisky,CHI,1.0,30.0,23.0,7.0,355.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,44.0,32.0,12.0,360.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,26.0,17.0,9.0,176.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,92.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
