Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Bye
Sterling Shepard,WR,NYG,0,0,49,618,4,9
John Ross,WR,CIN,0,0,41,553,5,9
Mike Williams,WR,LAC,0,0,39,533,5,8
Cameron Meredith,WR,NO,0,0,38,515,4,6
Jermaine Kearse,WR,NYJ,0,0,44,555,3,11
Geronimo Allison,WR,GB,0,0,37,485,4,7
Chris Godwin,WR,TB,0,0,42,577,2,5
John Brown,WR,BAL,0,0,36,513,3,10
Donte Moncrief,WR,JAX,0,0,39,495,3,9
Calvin Ridley,WR,ATL,0,0,33,425,4,8
Terrance Williams,WR,DAL,0,0,37,475,3,8
Courtland Sutton,WR,DEN,0,0,34,456,3,10
Quincy Enunwa,WR,NYJ,0,0,33,456,3,11
Travis Benjamin,WR,LAC,0,0,28,446,3,8
Mike Wallace,WR,PHI,0,0,31,445,3,9
Anthony Miller,WR,CHI,0,0,34,441,3,5
Zay Jones,WR,BUF,0,0,35,435,3,11
Michael Gallup,WR,DAL,0,0,33,434,3,8
Ryan Grant,WR,IND,0,0,33,433,3,9
James Washington,WR,PIT,0,0,32,422,3,7
J.J. Nelson,WR,ARI,0,0,31,437,2,9
Willie Snead,WR,BAL,0,0,35,435,2,10
Christian Kirk,WR,ARI,0,0,32,435,2,9
Torrey Smith,WR,CAR,0,0,25,373,3,4
Seth Roberts,WR,OAK,0,0,39,429,2,7
Trent Taylor,WR,SF,0,0,39,419,2,11
Taywan Taylor,WR,TEN,0,0,27,419,2,8
Laquon Treadwell,WR,MIN,0,0,34,415,2,10
Paul Richardson,WR,WAS,0,0,30,405,2,4
Cole Beasley,WR,DAL,0,0,43,389,2,8
Chester Rogers,WR,IND,0,0,31,385,2,9
Chad Williams,WR,ARI,0,0,32,385,2,9
Albert Wilson,WR,MIA,0,0,31,356,2,11
Adam Humphries,WR,TB,0,0,33,355,2,5
Taylor Gabriel,WR,CHI,0,0,27,346,2,5
Tavon Austin,WR,DAL,178,1,26,221,0,8
D.J. Moore,WR,CAR,0,0,26,325,2,4
Jaron Brown,WR,SEA,0,0,24,304,2,7
Tre'Quan Smith,WR,NO,0,0,22,299,2,6
Cody Latimer,WR,NYG,0,0,24,289,2,9
Tyler Boyd,WR,CIN,0,0,24,285,2,9
Phillip Dorsett,WR,NE,0,0,20,285,2,11
Antonio Callaway,WR,CLE,0,0,23,285,2,11
Cordarrelle Patterson,WR,NE,75,1,14,185,1,11
T.J. Jones,WR,DET,0,0,19,256,2,6
Dante Pettis,WR,SF,0,0,21,285,1,11
Demarcus Robinson,WR,KC,0,0,18,225,1,12
D.J. Chark,WR,JAX,0,0,15,204,1,9
Josh Bellamy,WR,CHI,0,0,16,187,1,5
Jakeem Grant,WR,MIA,0,0,11,185,1,11
Tajae Sharpe,WR,TEN,0,0,14,182,1,8
Keke Coutee,WR,HOU,0,0,14,182,1,10
Chris Moore,WR,BAL,0,0,16,182,1,10
DaeSean Hamilton,WR,DEN,0,0,11,167,1,10
Rashard Higgins,WR,CLE,0,0,12,155,1,11
J'Mon Moore,WR,GB,0,0,10,136,1,7
Justin Hardy,WR,ATL,0,0,14,185,0,8
Josh Reynolds,WR,LAR,0,0,9,113,1,12
Jarius Wright,WR,CAR,0,0,7,100,1,4
Damiere Byrd,WR,CAR,0,0,9,121,0,4
Darrius Heyward-Bey,WR,PIT,0,0,9,119,0,7
Alex Erickson,WR,CIN,0,0,9,114,0,9
Kevin White,WR,CHI,0,0,9,114,0,5
Chris Conley,WR,KC,0,0,8,103,0,12
