Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Adam Thielen,MIN,Minnesota State-Mankato,5,2013,0,0,0,0,0,0,0,0,0,89,1168,6,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.6,0,WR
A.J. Green,CIN,Georgia,8,2011,1,4,0,0,0,0,0,0,0,85,1193,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.3,0,WR
T Y Hilton,IND,Florida International,7,2012,3,29,0,0,0,0,0,0,0,76,1106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.6,0,WR
Amari Cooper,DAL,Alabama,4,2015,1,4,0,0,0,0,0,0,0,82,1083,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.6,0,WR
Stefon Diggs,MIN,Maryland,4,2015,5,10,0,0,0,0,0,0,0,81,1011,7,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.7,0,WR
Brandin Cooks,LAR,Oregon State,5,2014,1,20,0,0,0,0,0,0,0,72,1107,8,0,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.4,0,WR
Doug Baldwin,SEA,Stanford,8,2011,0,0,0,0,0,0,0,0,0,81,1021,8,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.0,0,WR
Marvin Jones,DET,California,7,2012,5,31,0,0,0,0,0,0,0,69,1031,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.1,0,WR
Allen Robinson,CHI,Penn State,5,2014,2,29,0,0,0,0,0,0,0,84,1086,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.6,0,WR
Kenny Golladay,DET,Northern Illinois,2,2017,3,32,0,0,0,0,0,0,0,48,710,5,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.6,0,WR
Corey Davis,TEN,Western Michigan,2,2017,1,5,0,0,0,0,0,0,0,78,1011,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.1,0,WR
Emmanuel Sanders,DEN,Southern Methodist,9,2010,3,18,0,0,0,0,0,0,0,73,1021,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.6,0,WR
Robert Woods,LAR,USC,6,2013,2,9,0,0,0,0,0,0,0,66,991,7,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.6,0,WR
