Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Taylor Gabriel, Chi WR",0/0,0,0,0,3.6,21.9,0.1,34.1,445.1,1.9,92.7,WR
"Brandon LaFell*, Oak WR IR",0/0,0,0,0,0,0,0,35.4,420.2,2.5,92.1,WR
"Geronimo Allison*, GB WR IR",0/0,0,0,0,0,0,0,31.4,405,3.1,90.3,WR
"Zay Jones, Buf WR",0/0,0,0,0,0,0,0,33.2,443.9,2,89.7,WR
"Laquon Treadwell, Min WR",0/0,0,0,0,0,0,0,32,426,2.5,89.2,WR
"Terrelle Pryor, Buf WR",0/0,0,0,0,2.5,15.2,0.1,30.8,418.7,2.3,88.2,WR
"J.J. Nelson, Ari WR",0/0,0,0,0,3.8,23.6,0.1,26.4,436.1,2.3,86.4,WR
"Jeremy Kerley, Buf WR",0/0,0,0,0,0,0,0,34.1,378.3,1.3,80.3,WR
"DJ Chark, Jax WR",0/0,0,0,0,0,0,0,27.9,395.4,2.1,80,WR
"Cody Latimer, NYG WR",0/0,0,0,0,0,0,0,29.1,361.5,2,77.8,WR
"Curtis Samuel, Car WR",0/0,0,0,0,12.4,77.1,0.3,26,306.7,1.7,76.6,WR
"Chad Williams, Ari WR",0/0,0,0,0,3.8,23.6,0.1,27.9,341.2,1.8,75.6,WR
"Phillip Dorsett, NE WR",0/0,0,0,0,0,0,0,25.1,366.5,2.1,74.9,WR
"Antonio Callaway, Cle WR",0/0,0,0,0,0,0,0,26.8,329.9,2.2,73.8,WR
"Seth Roberts, Oak WR",0/0,0,0,0,0,0,0,27.9,318.2,2.3,73.5,WR
"Cordarrelle Patterson, NE WR, RB",0/0,0,0,0,17.7,137,0.5,19,199,1.5,66.8,WR
"Keke Coutee, Hou WR",0/0,0,0,0,0,0,0,24.5,297.3,1.6,65.9,WR
"Tavon Austin, Dal RB, WR",0/0,0,0,0,23.4,147.5,0.8,18.5,168.6,1,63.8,WR
"Andre Holmes*, Den WR IR",0/0,0,0,0,0,0,0,21.7,287.7,1.9,61.6,WR
"Tre'Quan Smith, NO WR",0/0,0,0,0,0,0,0,19.7,280.4,2,59.8,WR
"Jaron Brown, Sea WR",0/0,0,0,0,0,0,0,18.6,259.4,2.1,57.1,WR
"Chris Conley, KC WR",0/0,0,0,0,0,0,0,19.3,236.4,1.5,51.7,WR
"Chris Moore, Bal WR",0/0,0,0,0,4.3,26.6,0.1,16.2,203.5,1.1,47.2,WR
"Dante Pettis*, SF WR IR",0/0,0,0,0,0,0,0,16.9,216.1,1.2,46.1,WR
"DaeSean Hamilton, Den WR",0/0,0,0,0,0,0,0,17.1,212.1,1.1,45.8,WR
"Torrey Smith, Car WR",0/0,0,0,0,0,0,0,13.9,211.3,1.3,42.8,WR
"Jakeem Grant*, Mia WR IR",0/0,0,0,0,1.8,11.4,0,14.5,187.4,0.9,42.2,WR
"Mack Hollins*, Phi WR IR",0/0,0,0,0,0,0,0,14.3,195.1,1,39.8,WR
"David Moore, Sea WR",0/0,0,0,0,0,0,0,13.9,175.9,1.3,39.4,WR
"Zach Pascal, Ind WR",0/0,0,0,0,0,0,0,13.4,171.1,1.2,37.8,WR
"TJ Jones, Det WR",0/0,0,0,0,0,0,0,13.4,178.8,1,37.4,WR
"J'Mon Moore, GB WR",0/0,0,0,0,0,0,0,12.6,159.1,1.3,36,WR
"Bruce Ellington*, Det WR IR",0/0,0,0,0,2.3,13.4,0.1,12.6,152.6,1.1,35.8,WR
"Charone Peake, NYJ WR",0/0,0,0,0,0,0,0,14.4,168.5,0.8,35.6,WR
"Josh Reynolds, LAR WR",0/0,0,0,0,6.2,38.2,0.2,9.4,106.6,1.1,31.7,WR
"Stacy Coley, NYG WR",0/0,0,0,0,0,0,0,11.2,144.5,0.9,31.1,WR
"Kendrick Bourne, SF WR",0/0,0,0,0,0,0,0,10.2,141.5,0.9,29.7,WR
"Rashard Higgins, Cle WR",0/0,0,0,0,0,0,0,10.9,132.6,0.9,29.6,WR
"Russell Shepard, NYG WR Q",0/0,0,0,0,0,0,0,10.2,131.2,0.8,27.9,WR
"Marquez Valdes-Scantling, GB WR",0/0,0,0,0,0,0,0,9.4,119.3,0.9,27,WR
"Brandon Zylstra, Min WR",0/0,0,0,0,0,0,0,9.6,123.9,0.8,26.6,WR
"Josh Malone, Cin WR",0/0,0,0,0,1.9,11.5,0,9.2,114.9,0.7,26.2,WR
"Kevin White, Chi WR",0/0,0,0,0,1.8,11.2,0.1,8.1,101.4,0.6,23.2,WR
"Justin Hunter*, Pit WR IR",0/0,0,0,0,0,0,0,6.7,101,0.8,22,WR
"Dwayne Harris, Oak WR",0/0,0,0,0,0,0,0,7.5,87.5,0.5,21.8,WR
