Player,Team,GP,Pass Yds,Pass TD,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Josh Doctson,WAS,1.0,0.0,0.0,0.25,0.0,45.11,542.14,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Phillip Dorsett,NE,1.0,0.0,0.0,15.88,0.02,27.42,265.13,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julian Edelman,NE,1.0,43.0,0.0,86.52,0.03,74.88,851.19,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bruce Ellington,DET,0.0,0.0,0.0,2.0,0.0,31.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Quincy Enunwa,NYJ,0.0,0.0,0.0,0.0,0.0,38.0,449.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Alex Erickson,CIN,1.0,0.0,0.0,23.12,0.01,15.57,123.17,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Evans,TB,1.0,0.0,0.0,0.07,0.0,84.8,1498.02,6.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Larry Fitzgerald,ARI,1.0,32.0,1.0,0.13,0.0,69.38,752.39,5.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Floyd,WAS,1.0,0.0,0.0,0.07,0.0,9.72,110.36,1.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Foster,BUF,1.0,0.0,0.0,0.56,0.0,25.88,574.73,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Daurice Fountain,IND,1.0,0.0,0.0,0.44,0.0,0.79,8.66,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bennie Fowler,NYG,1.0,0.0,0.0,0.07,0.0,14.92,204.35,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Will Fuller,HOU,0.0,0.0,0.0,0.0,0.0,32.0,503.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Devin Funchess,CAR,1.0,0.0,0.0,0.03,0.0,45.2,565.91,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taylor Gabriel,CHI,1.0,0.0,0.0,62.01,0.0,65.82,662.06,2.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Gage,ATL,1.0,0.0,0.0,0.03,0.0,5.04,59.92,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Gallup,DAL,1.0,0.0,0.0,0.05,0.0,32.08,489.39,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Pierre Garcon,SF,0.0,0.0,0.0,0.0,0.0,24.0,286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Shelton Gibson,PHI,1.0,0.0,0.0,0.07,0.0,1.0,48.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ted Ginn,NO,1.0,0.0,0.0,30.06,0.04,20.96,271.2,2.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.0,0.0,0.19,0.0,56.43,777.46,5.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.0,0.0,8.72,0.0,74.87,1134.17,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
C.J. Goodwin,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,0.0,0.0,0.0,9.0,0.0,23.0,395.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,0.0,0.0,0.0,0.0,0.0,41.0,737.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,0.0,0.0,0.0,5.0,0.0,21.0,268.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,2.0
Ryan Grant,IND,1.0,0.0,0.0,0.03,0.0,35.3,345.01,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,0.0,0.0,0.0,0.0,0.0,46.0,694.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashad Greene,JAX,1.0,0.0,0.0,0.05,0.0,6.56,67.83,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.0,0.0,0.41,0.0,10.72,156.75,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.0,0.0,0.26,0.0,28.23,236.55,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.18,2.05,1.0,0.01,0.01,2.03,WR,0.0
Justin Hardy,ATL,1.0,0.0,0.0,0.04,0.0,14.87,141.21,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dwayne Harris,OAK,1.0,0.0,0.0,12.34,0.0,6.62,48.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,1.0
Maurice Harris,WAS,0.0,0.0,0.0,10.0,0.0,28.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
