Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
Mike Davis,SEA,1.0,12.75,0.07,1.01,10.47,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.0,0.96,6.14,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.09,0.0,0.35,3.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,60.05,0.42,2.48,17.85,0.1,0.14,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,15.04,0.09,1.49,11.6,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,28.51,0.21,2.31,22.25,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,85.57,0.56,2.43,21.1,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tyler Ervin,BAL,1.0,2.44,0.02,0.44,3.51,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,51.7,0.32,0.96,7.69,0.04,0.06,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,10.8,0.06,0.83,6.82,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Gillislee,FA,1.0,28.29,0.27,0.16,1.15,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Melvin Gordon,LAC,1.0,69.43,0.44,4.2,36.69,0.22,0.05,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Frank Gore,MIA,1.0,31.55,0.18,1.1,8.25,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Grant,JAX,1.0,5.02,0.03,1.31,11.36,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Todd Gurley,LAR,1.0,88.43,0.65,4.24,44.9,0.3,0.09,0.06,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Ham,MIN,1.0,2.02,0.03,0.39,3.66,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derrick Henry,TEN,1.0,42.4,0.24,1.16,10.95,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brian Hill,ATL,1.0,5.42,0.04,0.43,3.26,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nyheim Hines,IND,1.0,22.75,0.14,2.68,23.49,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Howard,CHI,1.0,62.21,0.45,2.85,18.7,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kareem Hunt,FA,1.0,69.71,0.46,2.69,20.36,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Carlos Hyde,JAX,1.0,57.5,0.4,2.24,16.25,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Ivory,BUF,1.0,12.08,0.07,0.6,3.98,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Andy Janovich,DEN,1.0,0.0,0.0,0.35,1.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Johnson,ARI,1.0,61.18,0.46,4.34,43.16,0.23,0.13,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Duke Johnson,CLE,1.0,21.65,0.16,3.54,32.4,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kerryon Johnson,DET,1.0,30.23,0.2,2.38,19.98,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Aaron Jones,GB,1.0,19.33,0.16,0.53,3.41,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Taiwan Jones,BUF,1.0,0.0,0.0,0.28,3.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kyle Juszczyk,SF,1.0,0.53,0.0,3.08,29.74,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alvin Kamara,NO,1.0,54.79,0.51,6.27,59.41,0.37,0.07,0.07,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dion Lewis,TEN,1.0,49.56,0.32,3.33,27.87,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Phillip Lindsay,DEN,1.0,46.91,0.29,1.52,12.88,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.07
Zach Line,NO,1.0,0.7,0.01,0.52,2.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marshawn Lynch,OAK,1.0,66.98,0.46,2.0,15.07,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tre Madden,SEA,1.0,0.29,0.01,0.3,2.73,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Doug Martin,OAK,1.0,21.43,0.12,0.79,6.94,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,49.42,0.23,6.54,57.97,0.37,0.12,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christine Michael,FA,1.0,14.39,0.08,0.48,2.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Sony Michel,NE,1.0,35.77,0.25,1.21,8.69,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Lamar Miller,HOU,1.0,68.3,0.36,2.06,16.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ty Montgomery,BAL,1.0,17.46,0.14,1.85,15.42,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Alfred Morris,SF,1.0,45.49,0.31,0.81,7.28,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Raheem Mostert,SF,1.0,2.63,0.02,0.48,5.14,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marcus Murphy,BUF,1.0,16.19,0.09,0.97,8.39,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Latavius Murray,MIN,1.0,71.23,0.62,1.32,11.59,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Detrez Newsome,LAC,1.0,4.17,0.03,0.34,1.96,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roosevelt Nix,PIT,1.0,0.83,0.01,0.34,1.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamize Olawale,DAL,1.0,2.82,0.02,0.71,4.21,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ricky Ortiz,ATL,1.0,2.23,0.02,0.29,1.97,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Elijhaa Penny,NYG,1.0,12.96,0.09,0.44,2.33,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rashaad Penny,SEA,1.0,28.07,0.15,1.58,16.26,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Senorise Perry,MIA,1.0,2.45,0.02,0.29,3.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Adrian Peterson,WAS,1.0,57.4,0.3,1.79,16.9,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Bilal Powell,NYJ,1.0,44.7,0.27,2.05,15.89,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jalen Richard,OAK,1.0,10.51,0.05,1.76,16.76,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Theo Riddick,DET,1.0,16.57,0.1,3.94,33.19,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Stevan Ridley,PIT,1.0,7.86,0.05,0.29,1.03,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jacquizz Rodgers,TB,1.0,11.33,0.08,1.04,9.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jaylen Samuels,PIT,1.0,7.51,0.06,0.63,4.49,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Anthony Sherman,KC,1.0,3.77,0.03,0.37,3.76,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wendell Smallwood,PHI,1.0,15.04,0.08,0.99,9.81,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ito Smith,ATL,1.0,19.91,0.15,0.94,7.15,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Keith Smith,OAK,1.0,0.0,0.0,0.51,2.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rod Smith,DAL,1.0,5.16,0.05,0.57,5.8,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jonathan Stewart,NYG,1.0,12.97,0.07,0.23,0.64,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Anthony Thomas,KC,1.0,0.16,0.0,0.53,7.3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roc Thomas,MIN,1.0,11.96,0.09,0.77,6.59,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Thompson,WAS,1.0,17.76,0.1,4.74,43.16,0.3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Lance Turner,BAL,1.0,4.66,0.03,0.36,3.53,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Walton,CIN,1.0,13.24,0.09,0.87,7.29,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Spencer Ware,KC,1.0,15.33,0.1,0.68,5.61,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derek Watt,LAC,1.0,0.11,0.0,0.15,0.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James White,NE,1.0,23.04,0.21,3.91,38.18,0.19,0.01,0.04,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilds,ARI,1.0,6.33,0.05,0.39,3.38,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Wilkins,IND,1.0,54.89,0.3,2.63,20.54,0.1,0.07,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Damien Williams,KC,1.0,8.73,0.04,1.01,10.25,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamaal Williams,GB,1.0,56.0,0.37,1.95,16.33,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jonathan Williams,IND,1.0,5.16,0.04,0.22,0.76,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.01,0.01,0.01,RB,0.0
Shaun Wilson,TB,1.0,11.3,0.09,0.59,4.54,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
T.J. Yeldon,JAX,1.0,26.8,0.16,2.73,24.29,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
