Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,Less 100 Yds Allowed,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,Team Def 2pt Ret,POS
Oakland Raiders,OAK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,409.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,3.0,1.0,1.0,1.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,391.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,1.0,0.0,0.0,0.0,0.0,75.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,360.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,374.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,6.0,0.0,2.0,1.0,0.0,0.0,63.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,198.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,0.0,0.0,2.0,0.0,0.0,88.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,196.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,1.0,1.0,1.0,0.0,0.0,56.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,138.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,436.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,332.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
