Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Rico Gathers,DAL,1.0,0.03,0.0,0.35,5.81,0.04,TE
Mike Gesicki,MIA,1.0,0.07,0.0,1.9,20.59,0.15,TE
Dallas Goedert,PHI,1.0,0.05,0.0,1.19,13.16,0.08,TE
Jimmy Graham,GB,1.0,0.11,0.0,4.33,48.69,0.3,TE
Virgil Green,LAC,1.0,0.11,0.0,1.3,15.01,0.09,TE
Jermaine Gresham,ARI,1.0,0.03,0.0,1.33,11.91,0.09,TE
Ryan Griffin,HOU,1.0,0.07,0.0,2.31,22.04,0.15,TE
Xavier Grimble,PIT,1.0,0.02,0.0,0.41,4.18,0.04,TE
Rob Gronkowski,NE,1.0,0.07,0.0,5.01,72.68,0.46,TE
Clark Harris,CIN,1.0,0.03,0.0,0.03,0.68,0.01,TE
Demetrius Harris,KC,1.0,0.03,0.0,1.27,13.34,0.08,TE
Chris Herndon,NYJ,1.0,0.1,0.0,1.57,16.63,0.1,TE
Jeff Heuerman,DEN,1.0,0.07,0.0,1.96,19.3,0.13,TE
Ryan Hewitt,IND,1.0,0.07,0.0,0.26,2.21,0.03,TE
Tyler Higbee,LA,1.0,0.05,0.0,1.58,17.12,0.11,TE
Josh Hill,NO,1.0,0.22,0.0,1.53,15.53,0.08,TE
Gabe Holmes,ARI,1.0,0.03,0.0,0.16,2.45,0.03,TE
Austin Hooper,ATL,1.0,0.08,0.0,3.36,32.64,0.24,TE
O.J. Howard,TB,1.0,0.14,0.0,2.76,45.47,0.37,TE
Jesse James,PIT,1.0,0.02,0.0,1.55,17.95,0.16,TE
Blake Jarwin,DAL,1.0,0.11,0.0,0.78,8.25,0.03,TE
Travis Kelce,KC,1.0,0.15,0.0,5.47,73.27,0.53,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.64,5.77,0.04,TE
George Kittle,SF,1.0,0.05,0.0,4.57,55.3,0.34,TE
Tyler Kroft,CIN,1.0,0.03,0.0,0.93,11.25,0.07,TE
Matt LaCosse,DEN,1.0,0.12,0.0,1.17,12.55,0.07,TE
Khari Lee,,1.0,0.03,0.0,0.01,0.0,0.01,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,0.35,3.93,0.03,TE
Marcedes Lewis,GB,1.0,0.05,0.0,0.45,5.31,0.04,TE
Vance McDonald,PIT,1.0,0.21,0.0,3.54,39.91,0.27,TE
David Morgan,MIN,1.0,0.06,0.0,0.57,5.32,0.02,TE
Johnny Mundt,LA,1.0,0.03,0.0,0.15,2.68,0.03,TE
David Njoku,CLE,1.0,0.04,0.0,2.51,26.03,0.2,TE
James O'Shaughnessy,JAX,1.0,0.07,0.0,0.91,9.17,0.05,TE
Niles Paul,,1.0,0.5,0.0,0.6,7.7,0.05,TE
Logan Paulsen,ATL,1.0,0.06,0.0,0.3,2.97,0.02,TE
Josh Perkins,PHI,1.0,0.03,0.0,0.79,10.92,0.07,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.19,3.04,0.03,TE
Kyle Rudolph,MIN,1.0,0.06,0.0,3.57,41.59,0.31,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.13,2.45,0.02,TE
Ricky Seals-Jones,ARI,1.0,0.02,0.0,2.61,25.93,0.21,TE
Austin Seferian-Jenkins,JAX,1.0,0.07,0.0,3.31,33.02,0.24,TE
Dion Sims,CHI,1.0,0.07,0.0,0.94,10.86,0.07,TE
Jonnu Smith,TEN,1.0,0.06,0.0,1.72,17.53,0.12,TE
Lee Smith,OAK,1.0,0.03,0.0,0.18,2.67,0.03,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.41,3.49,0.03,TE
Luke Stocker,TEN,1.0,0.06,0.0,0.95,10.7,0.07,TE
Geoff Swaim,DAL,1.0,0.06,0.0,1.86,18.08,0.08,TE
Jordan Thomas,HOU,1.0,0.05,0.0,0.74,9.97,0.06,TE
Levine Toilolo,DET,1.0,0.03,0.0,0.63,5.49,0.04,TE
Eric Tomlinson,NYJ,1.0,0.06,0.0,0.73,7.84,0.05,TE
C.J. Uzomah,CIN,1.0,0.07,0.0,1.89,17.35,0.12,TE
Hakeem Valles,NYG,1.0,0.03,0.0,0.15,1.8,0.02,TE
Nick Vannett,SEA,1.0,0.06,0.0,1.59,18.97,0.08,TE
Benjamin Watson,NO,1.0,0.09,0.0,3.81,38.29,0.21,TE
Cole Wick,TEN,1.0,0.03,0.0,0.16,2.11,0.02,TE
Maxx Williams,BAL,1.0,1.37,0.01,0.94,10.17,0.1,TE
Luke Willson,DET,1.0,0.07,0.0,1.46,13.24,0.09,TE
