Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
Zach Ertz,PHI,1.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,6.0,67.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,5.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Hewitt,IND,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Austin Hooper,ATL,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,8.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,4.0,51.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ben Koyack,JAX,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Vance McDonald,PIT,1.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Sean McGrath,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,10.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,9.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,4.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,3.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
