Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
David Njoku,CLE,1.0,0.04,0.0,3.05,30.74,0.16,TE
Nick O'Leary,MIA,1.0,0.03,0.0,1.35,15.25,0.09,TE
James O'Shaughnessy,JAX,1.0,0.03,0.0,1.13,11.77,0.07,TE
Brian Parker,DEN,1.0,0.03,0.0,0.28,1.95,0.02,TE
Niles Paul,FA,1.0,0.12,0.0,0.54,6.44,0.04,TE
Logan Paulsen,ATL,1.0,0.07,0.0,0.48,3.92,0.04,TE
Josh Perkins,PHI,1.0,0.03,0.0,0.59,9.03,0.07,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.09,0.99,0.01,TE
Jordan Reed,WAS,1.0,0.07,0.0,4.63,51.37,0.36,TE
Kyle Rudolph,MIN,1.0,0.05,0.0,3.88,42.69,0.29,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.11,1.3,0.02,TE
Mason Schreck,CIN,1.0,0.04,0.0,0.23,2.98,0.02,TE
Ricky Seals-Jones,ARI,1.0,0.03,0.0,2.76,32.38,0.26,TE
Austin Seferian-Jenkins,JAX,1.0,0.06,0.0,3.25,31.39,0.18,TE
Jonnu Smith,TEN,1.0,0.07,0.0,1.77,17.1,0.11,TE
Lee Smith,OAK,1.0,0.03,0.0,0.41,3.97,0.02,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.17,2.13,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.02,0.0,0.07,0.46,0.02,TE
Luke Stocker,TEN,1.0,0.07,0.0,0.79,9.06,0.05,TE
Geoff Swaim,DAL,1.0,0.05,0.0,2.24,21.68,0.18,TE
Erik Swoope,IND,1.0,0.02,0.0,0.72,8.31,0.07,TE
Ian Thomas,CAR,1.0,0.07,0.0,2.37,23.67,0.13,TE
Jordan Thomas,HOU,1.0,0.13,0.0,0.96,12.5,0.07,TE
Logan Thomas,BUF,1.0,0.03,0.0,0.47,7.31,0.04,TE
Levine Toilolo,DET,1.0,0.03,0.0,0.95,7.65,0.08,TE
Eric Tomlinson,NYJ,1.0,0.03,0.0,0.38,5.22,0.04,TE
C.J. Uzomah,CIN,1.0,0.07,0.0,2.25,22.23,0.09,TE
Nick Vannett,SEA,1.0,0.06,0.0,2.42,27.03,0.15,TE
Benjamin Watson,NO,1.0,0.1,0.0,3.35,36.16,0.22,TE
Cole Wick,TEN,1.0,0.03,0.0,0.13,2.61,0.02,TE
Maxx Williams,BAL,1.0,1.47,0.01,1.66,17.24,0.07,TE
Luke Willson,DET,1.0,0.07,0.0,1.61,15.09,0.09,TE
