Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Alex Ellis,KC,1.0,0.03,0.0,0.15,2.02,0.03,TE
Rhett Ellison,NYG,1.0,0.08,0.0,1.4,12.37,0.09,TE
Evan Engram,NYG,1.0,0.66,0.01,4.61,47.84,0.28,TE
Zach Ertz,PHI,1.0,0.09,0.0,5.48,59.26,0.38,TE
Gerald Everett,LA,1.0,0.06,0.0,0.48,5.92,0.04,TE
Darren Fells,CLE,1.0,0.07,0.0,1.05,9.74,0.07,TE
Anthony Firkser,TEN,1.0,0.05,0.0,0.38,4.51,0.04,TE
Antonio Gates,LAC,1.0,0.02,0.0,2.15,22.89,0.15,TE
Mike Gesicki,MIA,1.0,0.08,0.0,1.62,21.12,0.13,TE
Dallas Goedert,PHI,1.0,0.05,0.0,1.17,12.45,0.06,TE
Jimmy Graham,GB,1.0,0.1,0.0,4.0,43.5,0.27,TE
Virgil Green,LAC,1.0,0.12,0.0,1.33,13.72,0.08,TE
Ryan Griffin,HOU,1.0,0.05,0.0,2.7,29.98,0.17,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.43,4.77,0.04,TE
Rob Gronkowski,NE,1.0,0.07,0.0,6.14,84.62,0.62,TE
Clark Harris,CIN,1.0,0.02,0.0,0.04,0.6,0.02,TE
Demetrius Harris,KC,1.0,0.03,0.0,1.21,12.8,0.12,TE
Chris Herndon,NYJ,1.0,0.05,0.0,0.25,3.05,0.03,TE
Jeff Heuerman,DEN,1.0,0.07,0.0,1.3,15.34,0.1,TE
Tyler Higbee,LA,1.0,0.04,0.0,1.08,11.98,0.06,TE
Josh Hill,NO,1.0,0.04,0.0,1.22,12.31,0.08,TE
Jacob Hollister,NE,1.0,0.15,0.0,0.23,2.9,0.02,TE
Gabe Holmes,ARI,1.0,0.03,0.0,0.62,6.13,0.04,TE
Austin Hooper,ATL,1.0,0.08,0.0,3.02,29.53,0.19,TE
O.J. Howard,TB,1.0,0.05,0.0,2.15,31.0,0.29,TE
Jesse James,PIT,1.0,0.07,0.0,2.79,32.17,0.18,TE
Blake Jarwin,DAL,1.0,0.04,0.0,0.78,7.98,0.06,TE
Travis Kelce,KC,1.0,0.34,0.0,4.34,53.27,0.44,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.49,5.57,0.04,TE
George Kittle,SF,1.0,0.06,0.0,4.17,49.38,0.3,TE
Tyler Kroft,CIN,1.0,0.02,0.0,0.83,8.07,0.06,TE
Matt LaCosse,DEN,1.0,0.03,0.0,0.21,2.48,0.03,TE
Jordan Leggett,NYJ,1.0,0.05,0.0,0.23,2.82,0.03,TE
Marcedes Lewis,GB,1.0,0.06,0.0,0.91,7.75,0.05,TE
Chris Manhertz,CAR,1.0,0.02,0.0,0.31,2.46,0.02,TE
Vance McDonald,PIT,1.0,0.09,0.0,2.4,24.5,0.14,TE
David Morgan,MIN,1.0,0.02,0.0,0.61,5.7,0.05,TE
Johnny Mundt,LA,1.0,0.03,0.0,0.47,4.24,0.03,TE
David Njoku,CLE,1.0,0.04,0.0,2.67,30.74,0.25,TE
James O'Shaughnessy,JAX,1.0,0.02,0.0,1.08,10.9,0.07,TE
Niles Paul,,1.0,0.56,0.0,0.5,5.79,0.05,TE
Logan Paulsen,ATL,1.0,0.03,0.0,0.06,0.78,0.01,TE
Josh Perkins,PHI,1.0,0.03,0.0,0.12,1.59,0.01,TE
Jordan Reed,WAS,1.0,0.07,0.0,4.65,49.42,0.41,TE
Michael Roberts,DET,1.0,0.03,0.0,0.54,5.15,0.04,TE
Kyle Rudolph,MIN,1.0,0.05,0.0,2.96,35.64,0.33,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.47,4.12,0.03,TE
Mason Schreck,CIN,1.0,0.03,0.0,0.21,2.59,0.03,TE
Dalton Schultz,DAL,1.0,0.03,0.0,0.29,3.37,0.03,TE
Ricky Seals-Jones,ARI,1.0,0.07,0.0,2.85,30.51,0.22,TE
Austin Seferian-Jenkins,JAX,1.0,0.06,0.0,3.54,35.76,0.19,TE
Dion Sims,CHI,1.0,0.07,0.0,0.87,9.37,0.05,TE
Jonnu Smith,TEN,1.0,0.06,0.0,1.93,21.3,0.12,TE
Lee Smith,OAK,1.0,0.01,0.0,0.18,2.33,0.03,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.24,3.15,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.12,1.5,0.02,TE
Neal Sterling,NYJ,1.0,0.1,0.0,2.19,22.44,0.12,TE
Luke Stocker,TEN,1.0,0.06,0.0,0.59,6.38,0.05,TE
Geoff Swaim,DAL,1.0,0.06,0.0,1.35,13.79,0.06,TE
Ian Thomas,CAR,1.0,0.14,0.0,2.14,23.26,0.15,TE
Jordan Thomas,HOU,1.0,0.04,0.0,0.45,5.36,0.03,TE
Logan Thomas,BUF,1.0,0.03,0.0,0.52,6.52,0.05,TE
Levine Toilolo,DET,1.0,0.02,0.0,0.72,6.64,0.05,TE
Eric Tomlinson,NYJ,1.0,0.03,0.0,0.55,5.17,0.04,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,1.45,13.02,0.08,TE
Hakeem Valles,NYG,1.0,0.02,0.0,0.27,3.07,0.02,TE
Nick Vannett,SEA,1.0,0.06,0.0,1.17,11.79,0.07,TE
Benjamin Watson,NO,1.0,0.1,0.0,4.14,40.88,0.25,TE
Cole Wick,TEN,1.0,0.03,0.0,0.17,2.19,0.03,TE
Maxx Williams,BAL,1.0,1.41,0.02,1.54,14.92,0.08,TE
Luke Willson,DET,1.0,0.02,0.0,1.07,9.83,0.06,TE
