Player,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT
Matt Ryan,ATL,297.47833333333335,1.9666666666666668,0.6783333333333333,7.25,0.08000000000000002,0,0,0,0.09
Matt Schaub,ATL,1.7490791721861563,0.0011745124686332543,0.004551729914775984,0.0034960088961046923,0.0,0,0,0,0.1
Matthew Stafford,DET,260.40500000000003,1.8800000000000001,0.8716666666666666,6.713333333333334,0.06666666666666667,0,0,0,0.06
Mike Glennon,ARI,4.640126614723933,0.008221587280432777,0.006827594872164139,0.041079182719982364,0.0020089919724775554,0,0,0,0.06
Mitchell Trubisky,CHI,248.16,1.7166666666666668,0.8233333333333334,28.040000000000003,0.17999999999999997,0,0,0,0.09
Nick Foles,PHI,4.151503518361175,0.005872562343166267,0.006827594872164504,0.08390636988801699,0.0,0,0,0,0.03
Patrick Mahomes,KC,310.3516666666667,2.545,0.8500000000000001,16.246666666666666,0.12666666666666668,0,0,0,0.06
Philip Rivers,LAC,271.16833333333335,2.08,0.7766666666666667,1.6800000000000004,0.025000000000000005,0,0,0,0.06
Robert Griffin III,BAL,27.650000000000002,0.14,0.09666666666666668,3.9999999999999996,0.021666666666666667,0,0,0,0.03
Russell Wilson,SEA,237.35166666666666,1.9750000000000003,0.7083333333333334,25.895,0.09999999999999999,0,0,0,0.09
Ryan Fitzpatrick,TB,299.46666666666664,1.845,1.115,16.72,0.12166666666666666,0,0,0,0.0
Sean Mannion,LAR,3.4147908498190755,0.0035235374058997563,0.006827594872164895,0.041079182719982336,0.0020089919724775554,0,0,0,0.03
Taylor Heinicke,CAR,3.820344289944366,0.00367589365843706,0.01992942227369356,0.002187252164921698,0.002518215032740758,0,0,0,0.03
Taysom Hill,NO,12.053333333333333,0.028333333333333335,0.03166666666666667,16.265,0.09500000000000001,0,0,0,0.03
Teddy Bridgewater,NO,0.8156752443396429,0.0011745124686332543,0.0011379324786942187,0.04107918271998236,0.0020089919724775554,0,0,0,0.03
Trevor Siemian,MIN,4.849152307576528,0.0035235374058997563,0.01137932478694221,0.06450912383572054,0.0,0,0,0,0.03
