Player,Bye,Proj,Actual,Att,Att,Comp,Inc,Yds,Yds,Yds,Yds,TD,TD,TD,TD,Int,Pick Six,Sack,1st Downs,1st Downs,1st Downs,40 Yd Cmp,Att,Att,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Att,Tgt*,Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,1st Downs,1st Downs,1st Downs,40 Yd Rec,Yds,Yds,Yds,Yds,TD,TD,TD,TD,2PT,Tot,Lost,POS
No new player Notes R. Fitzpatrick TB - QB Final (L) 34-32 vs Atl,5,69,61,246.0,36.0,164.0,82.0,2366.0,152.0,0.0,0.0,17.0,2.0,0.0,0.0,12.0,2.0,14.0,113.0,9.0,0.0,8.0,246.0,36.0,2366.0,152.0,0.0,0.0,17.0,2.0,0.0,0.0,113.0,9.0,0.0,0.0,0.0,0.0,2366.0,152.0,0.0,0.0,17.0,2.0,0.0,0.0,113.0,9.0,0.0,0.0,2366.0,152.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,4.0,1.0,QB
No new player Notes S. Darnold NYJ - QB Final (L) 38-3 @ NE,11,60,66,414.0,44.0,239.0,175.0,2865.0,138.0,0.0,0.0,17.0,1.0,0.0,0.0,15.0,2.0,30.0,130.0,16.0,0.0,4.0,414.0,44.0,2865.0,138.0,0.0,0.0,17.0,1.0,0.0,0.0,130.0,16.0,0.0,0.0,0.0,0.0,2865.0,138.0,0.0,0.0,17.0,1.0,0.0,0.0,130.0,16.0,0.0,0.0,2865.0,138.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,5.0,2.0,QB
No new player Notes M. Mariota Ten - QB Q Final (L) 33-17 vs Ind,8,65,65,331.0,64.0,228.0,103.0,2528.0,357.0,21.0,0.0,11.0,2.0,0.0,0.0,8.0,1.0,42.0,121.0,26.0,1.0,5.0,331.0,64.0,2528.0,357.0,21.0,0.0,11.0,2.0,0.0,0.0,121.0,26.0,1.0,0.0,1.0,1.0,2528.0,357.0,21.0,0.0,11.0,2.0,0.0,0.0,121.0,26.0,1.0,0.0,2528.0,357.0,21.0,0.0,11.0,2.0,0.0,0.0,0.0,9.0,2.0,QB
No new player Notes L. Jackson Bal - QB Final (W) 26-24 vs Cle,10,90,83,170.0,147.0,99.0,71.0,1201.0,695.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,0.0,16.0,60.0,45.0,0.0,2.0,170.0,147.0,1201.0,695.0,0.0,0.0,6.0,5.0,0.0,0.0,60.0,45.0,0.0,0.0,2.0,0.0,1201.0,695.0,0.0,0.0,6.0,5.0,0.0,0.0,60.0,45.0,0.0,0.0,1201.0,695.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,12.0,4.0,QB
No new player Notes R. Tannehill Mia - QB Final (L) 42-17 @ Buf,11,84,94,274.0,32.0,176.0,98.0,1979.0,145.0,3.0,0.0,17.0,0.0,1.0,0.0,9.0,2.0,35.0,92.0,9.0,1.0,5.0,274.0,32.0,1979.0,145.0,3.0,0.0,17.0,0.0,1.0,0.0,92.0,9.0,1.0,0.0,1.0,1.0,1979.0,145.0,3.0,0.0,17.0,0.0,1.0,0.0,92.0,9.0,1.0,0.0,1979.0,145.0,3.0,0.0,17.0,0.0,1.0,0.0,0.0,5.0,4.0,QB
No new player Notes J. Flacco Bal - QB Final (W) 26-24 vs Cle,10,106,105,379.0,19.0,232.0,147.0,2465.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,16.0,122.0,10.0,0.0,4.0,379.0,19.0,2465.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,122.0,10.0,0.0,0.0,0.0,0.0,2465.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,122.0,10.0,0.0,0.0,2465.0,45.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,QB
No new player Notes A. Smith Was - QB IR Final (L) 24-0 vs Phi,4,108,110,328.0,41.0,205.0,123.0,2180.0,168.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,1.0,22.0,106.0,15.0,0.0,4.0,328.0,41.0,2180.0,168.0,0.0,0.0,10.0,1.0,0.0,0.0,106.0,15.0,0.0,0.0,0.0,0.0,2180.0,168.0,0.0,0.0,10.0,1.0,0.0,0.0,106.0,15.0,0.0,0.0,2180.0,168.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,6.0,1.0,QB
No new player Notes N. Mullens SF - QB Final (L) 48-32 @ LAR,11,145,119,274.0,18.0,176.0,98.0,2277.0,-16.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,2.0,17.0,106.0,1.0,0.0,7.0,274.0,18.0,2277.0,-16.0,0.0,0.0,13.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,2277.0,-16.0,0.0,0.0,13.0,0.0,0.0,0.0,106.0,1.0,0.0,0.0,2277.0,-16.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,QB
Player Note J. Rosen Ari - QB Final (L) 27-24 @ Sea,9,128,148,393.0,23.0,217.0,176.0,2278.0,138.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0,4.0,45.0,112.0,8.0,0.0,4.0,393.0,23.0,2278.0,138.0,0.0,0.0,11.0,0.0,0.0,0.0,112.0,8.0,0.0,0.0,0.0,0.0,2278.0,138.0,0.0,0.0,11.0,0.0,0.0,0.0,112.0,8.0,0.0,0.0,2278.0,138.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,10.0,5.0,QB
No new player Notes J. Driskel Cin - QB Final (L) 16-13 @ Pit,9,273,318,176.0,25.0,105.0,71.0,1003.0,130.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,16.0,50.0,7.0,0.0,0.0,176.0,25.0,1003.0,130.0,0.0,0.0,6.0,2.0,0.0,0.0,50.0,7.0,0.0,0.0,0.0,0.0,1003.0,130.0,0.0,0.0,6.0,2.0,0.0,0.0,50.0,7.0,0.0,0.0,1003.0,130.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,4.0,1.0,QB
