Player,Team,GP,Pass Att,Pass Inc,Pass Int,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Fum TD,Pass Def,Fum Yds,POS
Antonio Gates,LAC,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,316.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,520.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,7.0,1.0,1.0,0.0,5.0,14.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,191.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,14.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,322.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Griffin,NO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,13.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1084.0,8.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Clark Harris,CIN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,13.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,12.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,579.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,142.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Hewitt,IND,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,14.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cole Hikutini,MIN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,10.0,0.0,0.0,0.0,1.0,-8.0,0.0,16.0,125.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jacob Hollister,NE,13.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,TE
Gabe Holmes,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Michael Hoomanawanui,NO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
