Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Levine Toilolo, Det TE",0/0,0,0,0,0,0,0,9.1,92.4,1.2,25.5,TE
"Will Tye, NE TE",0/0,0,0,0,0,0,0,10.9,114.2,0.5,25.4,TE
"Jonnu Smith, Ten TE",0/0,0,0,0,0,0,0,9.7,99.1,1,25.3,TE
"Nick O'Leary, Buf TE",0/0,0,0,0,0,0,0,9.5,101.3,0.7,23.6,TE
"Jeff Heuerman, Den TE",0/0,0,0,0,0,0,0,9.5,98.6,0.7,23.2,TE
"Darren Fells, Cle TE",0/0,0,0,0,0,0,0,8,94.5,0.7,21.7,TE
"James Hanna, Dal TE",0/0,0,0,0,0,0,0,8.9,86.3,0.7,21.5,TE
"Lee Smith, Oak TE",0/0,0,0,0,0,0,0,8.6,76.8,0.8,20.9,TE
"Clive Walford, NYJ TE",0/0,0,0,0,0,0,0,7.5,85.4,0.7,20.6,TE
"Brent Celek, Phi TE",0/0,0,0,0,0,0,0,8,94.3,0.5,20.5,TE
"Austin Traylor, Den TE",0/0,0,0,0,0,0,0,7.8,82,0.6,19.5,TE
"David Morgan, Min TE",0/0,0,0,0,0,0,0,7.7,76.5,0.6,18.6,TE
"Stephen Anderson, Hou TE",0/0,0,0,0,0,0,0,7.3,78.8,0.5,18,TE
"Geoff Swaim, Dal TE",0/0,0,0,0,0,0,0,6.8,69.8,0.6,17.6,TE
"Ed Dickson, Sea TE",0/0,0,0,0,0,0,0,6.4,72.6,0.6,17.1,TE
"James O'Shaughnessy, Jax TE",0/0,0,0,0,0,0,0,7.1,70.5,0.4,16.9,TE
"Lance Kendricks, GB TE",0/0,0,0,0,0,0,0,5.6,57.3,0.7,15.4,TE
"Jake Butt, Den TE",0/0,0,0,0,0,0,0,5.6,57.7,0.4,13.8,TE
"Randall Telfer, Cle TE",0/0,0,0,0,0,0,0,5.2,50.5,0.3,12.1,TE
"Michael Hoomanawanui, NO TE",0/0,0,0,0,0,0,0,4.3,46.1,0.5,11.9,TE
"C.J. Uzomah, Cin TE",0/0,0,0,0,0,0,0,4.7,45.7,0.4,11.4,TE
"Ifeanyi Momah, Ari TE",0/0,0,0,0,0,0,0,4,43.2,0.3,10.4,TE
"Michael Roberts, Det TE",0/0,0,0,0,0,0,0,3.9,41.7,0.4,10.3,TE
"Richard Rodgers, Phi TE",0/0,0,0,0,0,0,0,3.7,38.2,0.5,10.3,TE
"Eric Saubert, Atl TE",0/0,0,0,0,0,0,0,3.7,38.5,0.4,10.2,TE
"Matt LaCosse, Den TE",0/0,0,0,0,0,0,0,4,40.5,0.3,10,TE
"Blake Bell, Min TE",0/0,0,0,0,0,0,0,3.8,38.3,0.3,9.3,TE
"Chris Manhertz, Car TE",0/0,0,0,0,0,0,0,3.5,37.2,0.3,9,TE
"Nick Vannett, Sea TE",0/0,0,0,0,0,0,0,3.3,34.2,0.3,8.7,TE
"MarQueis Gray, Mia TE",0/0,0,0,0,0,0,0,3.2,32.6,0.3,8.4,TE
"Anthony Fasano, Mia TE",0/0,0,0,0,0,0,0,3.2,32.6,0.3,8.4,TE
"Derek Carrier, Oak TE",0/0,0,0,0,0,0,0,3.5,35.1,0.2,8.4,TE
"Daniel Brown, Chi TE",0/0,0,0,0,0,0,0,3.3,32.9,0.3,8.2,TE
"Ross Travis, Ind TE",0/0,0,0,0,0,0,0,3.4,33.6,0.2,8.2,TE
"Logan Thomas, Buf TE",0/0,0,0,0,0,0,0,3.2,33.8,0.2,7.9,TE
"Jordan Leggett, NYJ TE",0/0,0,0,0,0,0,0,3.2,32.5,0.2,7.5,TE
"Niles Paul, Jax TE",0/0,0,0,0,0,0,0,2,22.1,0.2,5.2,TE
"Darrell Daniels, Ind TE",0/0,0,0,0,0,0,0,1.9,20.6,0.2,5.2,TE
"Jerell Adams, NYG TE",0/0,0,0,0,0,0,0,2,20.3,0.2,5,TE
"Tyler Kroft, Cin TE",0/0,0,0,0,0,0,0,2,19.3,0.2,4.8,TE
"Sean McGrath, LAC TE",0/0,0,0,0,0,0,0,1.8,19.1,0.2,4.8,TE
"Luke Stocker, Ten TE",0/0,0,0,0,0,0,0,1.9,18.5,0.2,4.8,TE
"Eric Tomlinson, NYJ TE",0/0,0,0,0,0,0,0,1.8,19.5,0.1,4.4,TE
"Phillip Supernaw, Ten TE",0/0,0,0,0,0,0,0,1.6,16.5,0.2,4.2,TE
"Neal Sterling, NYJ TE",0/0,0,0,0,0,0,0,1.3,14.6,0.1,3.3,TE
"Kellen Winslow, NYJ TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Alex Smith, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Owen Daniels, Den TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Daniel Fells, NYG TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Matt Spaeth, Pit TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Scott Chandler*, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Clark Harris, Cin TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Fred Davis, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Craig Stevens, Ten TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Gary Barnidge, Cle TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jacob Tamme, Atl TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Kellen Davis, NYJ TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Matthew Mulligan, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"David Johnson, Pit TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"James Casey, Den TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chase Coffman, Ind TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bear Pascoe, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Pettigrew, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"John Phillips, NO TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Myers, TB TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dennis Pitta*, Bal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Tony Moeaki, Chi TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jim Dray, Ari TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Garrett Graham, Den TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Clay Harbor, NO TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Anthony McCoy, Sea TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Andrew Quarless, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Richie Brockel, Car TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jeff Cumberland, LAC TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Rob Housler, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bruce Miller, SF TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"David Ausberry, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"D.J. Williams, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jordan Cameron, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Orson Charles, KC TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ladarius Green, Pit TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Greg Scruggs, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dominique Jones, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chase Ford, Bal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cooper Helfet, Oak TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Bostick, NYJ TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Larry Donnell, Bal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Gavin Escobar, Cle TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Michael Williams, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Mychal Rivera, Jax TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chris Gragg, NYJ TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Justice Cunningham, LAR TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chris Pantale, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Timothy Wright, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Zach Sudfeld, NYJ TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jake Stoneburner, LAR TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Crockett Gillmore, Bal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jace Amaro, Ten TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brian Leonhardt, Min TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Marcel Jensen, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Asante Cleveland, LAC TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Nic Jacobs, Jax TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Blake Annen, Buf TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"RaShaun Allen, Hou TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Justin Perillo, Chi TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"MyCole Pruitt, Hou TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Gerald Christian, Ari TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Darren Waller, Bal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Rory Anderson, Buf TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Kennard Backman, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Vince Mayle, Bal WR, TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"E.J. Bibbs, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Khari Lee, Buf TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jerome Cunningham, Ten TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Wes Saxton, Buf TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Temarrick Hemingway, LAR TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Rico Gathers, Dal TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Thomas Duarte, Mia TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Beau Sandland, GB TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ben Braunecker, Chi TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cole Wick, SF TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Erik Swoope, Ind TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Anthony Denham, Phi TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bryce Williams, Ari TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Devon Cajuste, Cle WR, TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Alan Cross, TB TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Braedon Bowman, LAC TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brian Parker, Den TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Joshua Perkins, Phi TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Scott Simonson, Car TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"D.J. Tialavea, Atl TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Matt Lengel, Cle TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Alex Ellis, Jax TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Mason Schreck, Cin TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jeremy Sprinkle, Wsh TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bucky Hodges, Min TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Antony Auclair, TB TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ricky Seals-Jones, Ari TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Hakeem Valles, Det TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cole Hikutini, SF TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jacob Hollister, NE TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Sean Culkin, LAC TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cethan Carter, Cin TE, RB",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Evan Baylis, Car TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Shane Smith, NYG TE, RB",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Henry Krieger-Coble, LAR TE",0/0,0,0,0,0,0,0,0,0,0,0,TE
"Beau Brinkley, Ten TE",--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kyle Nelson, SF TE",--/--,--,--,--,--,--,--,--,--,--,--,TE
