Player,Team,GP,Pass Yds,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,POS
Mason Schreck,CIN,6.0,0.0,0.18,0.0,2.82,22.35,0.21,0.0,0.0,TE
Dalton Schultz,DAL,1.0,0.0,0.05,0.0,12.19,113.03,0.09,0.0,0.0,TE
Ricky Seals-Jones,ARI,0.0,0.0,0.0,0.0,34.0,343.0,1.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,0.0,0.0,0.0,0.0,11.0,90.0,1.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,0.0,0.05,0.0,6.07,63.48,1.11,0.0,1.0,TE
Scott Simonson,NYG,1.0,0.0,0.08,0.0,7.77,79.25,1.05,0.0,0.0,TE
Dion Sims,CHI,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,0.0,0.0,0.0,0.0,20.0,258.0,3.0,0.0,0.0,TE
Lee Smith,OAK,1.0,0.0,0.02,0.0,10.44,76.26,3.04,0.0,0.0,TE
Durham Smythe,MIA,1.0,0.0,0.12,0.0,3.66,43.03,0.03,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.06,0.0,6.03,52.17,1.1,0.0,0.0,TE
Neal Sterling,NYJ,0.0,0.0,0.0,0.0,6.0,47.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.3,0.0,14.67,151.29,1.06,0.0,0.0,TE
Geoff Swaim,DAL,0.0,0.0,0.0,0.0,26.0,242.0,1.0,0.0,0.0,TE
Erik Swoope,IND,0.0,0.0,0.0,0.0,8.0,87.0,3.0,0.0,0.0,TE
Tyrone Swoopes,SEA,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,1.0,0.0,0.05,0.0,33.92,302.33,1.2,0.0,0.0,TE
Jordan Thomas,HOU,1.0,0.0,0.05,0.0,19.93,220.56,4.09,0.0,0.0,TE
Logan Thomas,BUF,1.0,15.0,0.05,0.0,12.9,86.54,0.04,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.07,0.0,18.7,242.41,0.13,0.0,0.0,TE
Eric Tomlinson,NYJ,0.0,0.0,0.0,0.0,8.0,72.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.06,0.0,45.01,466.2,3.24,0.0,0.0,TE
Hakeem Valles,NYG,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.07,0.0,28.24,267.2,3.12,0.0,0.0,TE
Delanie Walker,TEN,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,0.0,0.12,0.0,34.06,383.73,2.11,0.0,0.0,TE
Maxx Williams,BAL,1.0,0.0,8.82,0.01,16.83,150.81,1.04,0.0,0.0,TE
Luke Willson,DET,0.0,0.0,0.0,0.0,13.0,87.0,0.0,0.0,0.0,TE
Deon Yelder,KC,1.0,0.0,0.12,0.0,0.49,6.3,0.06,0.0,0.0,TE
