Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Tyler Higbee,LAR,Western Kentucky,3,2016,4,12,0,0,0,0,0,0,0,35,409,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,0,TE
A.J. Derby,MIA,Arkansas,4,2015,6,26,0,0,0,0,0,0,0,35,395,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,0,TE
Erik Swoope,NOR,Miami (FL),3,2014,0,0,0,0,0,0,0,0,0,28,418,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8,0,TE
Jordan Akins,HOU,UCF,0,2018,3,34,0,0,0,0,0,0,0,29,391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.91,0,TE
Garrett Celek,SFO,Michigan State,7,2012,0,0,0,0,0,0,0,0,0,25,319,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9,0,TE
Jake Butt,DEN,Michigan,1,2017,5,1,0,0,0,0,0,0,0,27,297,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,TE
Jermaine Gresham,ARI,Oklahoma,9,2010,1,21,0,0,0,0,0,0,0,30,311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,0,TE
Gerald Everett,LAR,South Alabama,2,2017,2,12,0,0,0,0,0,0,0,26,349,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9,0,TE
Luke Willson,DET,Rice,6,2013,5,25,0,0,0,0,0,0,0,25,291,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1,0,TE
Adam Shaheen,CHI,Ashland,2,2017,2,13,0,0,0,0,0,0,0,24,288,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8,0,TE
Tyler Kroft,CIN,Rutgers,4,2015,3,21,0,0,0,0,0,0,0,24,276,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,0,TE
Dallas Goedert,PHI,South Dakota State,0,2018,2,17,0,0,0,0,0,0,0,26,309,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9,0,TE
Demetrius Harris,KAN,Milwaukee,5,2013,0,0,0,0,0,0,0,0,0,26,291,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.1,0,TE
Jonnu Smith,TEN,Florida International,2,2017,3,36,0,0,0,0,0,0,0,26,261,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,0,TE
Ian Thomas,CAR,Indiana,0,2018,4,1,0,0,0,0,0,0,0,25,286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6,0,TE
Eric Tomlinson,NYJ,UTEP,3,2016,0,0,0,0,0,0,0,0,0,23,241,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,TE
Mark Andrews,BAL,Oklahoma,0,2018,3,22,0,0,0,0,0,0,0,23,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,TE
Troy Fumagalli,DEN,Wisconsin,0,2018,5,19,0,0,0,0,0,0,0,21,255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0,TE
Nick Vannett,SEA,Ohio State,3,2016,3,32,0,0,0,0,0,0,0,22,229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,0,TE
