Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Philadelphia Eagles,PHI,1.0,1.0,0.0,1.0,0.0,0.0,0.0,86.0,17.0,0.0,1.0,0.0,0.0,0.0,375.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,0.0,1.0,0.0,1.0,0.0,0.0,47.0,35.0,0.0,0.0,0.0,0.0,1.0,381.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,2.0,0.0,1.0,0.0,0.0,118.0,27.0,0.0,0.0,1.0,0.0,0.0,350.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,24.0,0.0,0.0,1.0,0.0,0.0,424.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,4.0,1.0,0.0,2.0,0.0,0.0,101.0,16.0,0.0,1.0,0.0,0.0,0.0,436.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,4.0,0.0,3.0,2.0,0.0,0.0,30.0,23.0,0.0,0.0,1.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,1.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,1.0,0.0,264.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,2.0,1.0,0.0,1.0,0.0,-3.0,31.0,0.0,0.0,0.0,1.0,0.0,432.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,2.0,1.0,1.0,0.0,0.0,46.0,24.0,0.0,0.0,1.0,0.0,0.0,439.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,0.0,0.0,1.0,0.0,0.0,412.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,2.0,0.0,0.0,0.0,0.0,0.0,139.0,31.0,0.0,0.0,0.0,1.0,0.0,373.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,5.0,1.0,0.0,1.0,0.0,0.0,59.0,12.0,1.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,0.0,1.0,2.0,0.0,0.0,45.0,43.0,0.0,0.0,0.0,0.0,1.0,447.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,1.0,1.0,1.0,0.0,0.0,43.0,19.0,0.0,1.0,0.0,0.0,0.0,283.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,2.0,0.0,1.0,0.0,0.0,92.0,33.0,0.0,0.0,0.0,1.0,0.0,468.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,6.0,0.0,1.0,1.0,1.0,1.0,23.0,17.0,0.0,1.0,0.0,0.0,0.0,324.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,2.0,0.0,0.0,0.0,0.0,29.0,16.0,0.0,1.0,0.0,0.0,0.0,292.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,72.0,13.0,1.0,0.0,0.0,0.0,0.0,223.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,0.0,2.0,1.0,1.0,0.0,22.0,21.0,0.0,0.0,1.0,0.0,0.0,364.0,0.0,1.0,0.0,0.0,0.0,DST
