Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Alvin Kamara, NO RB",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Joe Mixon, Cin RB",Ind,W 24-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Samaje Perine, Wsh RB",Dal,L 19-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Elijah Hood, Oak RB",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"D'Onta Foreman, Hou RB",@Sea,L 38-41,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marquez Williams, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marlon Mack, Ind RB",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Leonard Fournette, Jax RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Kareem Hunt, KC RB",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Wayne Gallman, NYG RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"James Conner, Pit RB",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dalvin Cook, Min RB",@Cle,W 33-16,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Christian McCaffrey, Car RB",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,RB
"T.J. Logan, Ari RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Elijah McGuire, NYJ RB",Atl,L 20-25,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Aaron Jones, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Sam Rogers, LAR RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Devante Mays, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Chris Carson, Sea RB",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Joe Williams, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jamaal Williams, GB RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Matthew Dayes, Cle RB",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Khalfani Muhammad, Ten RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jeremy McNichols, SF RB",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
