Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Tarik Cohen,CHI,1.0,23.58,0.14,3.69,38.45,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Derrick Coleman,ARI,1.0,1.43,0.02,0.24,1.92,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,56.59,0.33,2.14,17.51,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,59.69,0.44,1.84,17.22,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,46.89,0.3,1.49,13.49,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,3.04,0.02,0.69,6.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.0,0.57,3.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.0,0.0,0.27,1.53,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,48.43,0.33,3.14,28.81,0.15,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,12.43,0.09,0.8,6.22,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Gus Edwards,BAL,1.0,12.94,0.08,0.64,5.61,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,28.56,0.19,1.96,20.22,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,90.49,0.63,2.89,27.75,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tyler Ervin,BAL,1.0,2.06,0.01,0.32,1.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Fluellen,TEN,1.0,0.85,0.01,0.39,3.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,51.23,0.43,1.01,7.83,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,14.97,0.09,1.34,10.9,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Frank Gore,MIA,1.0,42.24,0.25,1.26,9.63,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Todd Gurley,LAR,1.0,101.1,0.84,4.7,47.08,0.28,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Ham,MIN,1.0,0.86,0.01,0.95,6.42,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derrick Henry,TEN,1.0,50.97,0.29,1.29,10.97,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dontrell Hilliard,CLE,1.0,3.27,0.03,0.36,2.39,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nyheim Hines,IND,1.0,29.02,0.18,3.15,28.47,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Howard,CHI,1.0,60.64,0.41,1.61,12.69,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Buddy Howell,HOU,1.0,2.24,0.02,0.46,3.91,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kareem Hunt,FA,1.0,82.12,0.6,2.76,26.23,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Ingram,NO,1.0,57.85,0.38,2.79,21.23,0.08,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Ivory,BUF,1.0,26.81,0.13,0.98,8.17,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Jackson,LAC,1.0,6.89,0.04,0.55,4.24,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Andy Janovich,DEN,1.0,0.0,0.0,0.25,1.3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Johnson,ARI,1.0,70.22,0.71,3.59,36.46,0.2,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Duke Johnson,CLE,1.0,21.04,0.15,3.44,32.34,0.22,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kerryon Johnson,DET,1.0,68.21,0.42,3.2,26.89,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ronald Jones,TB,1.0,23.02,0.15,1.29,11.02,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kyle Juszczyk,SF,1.0,0.0,0.01,3.11,33.94,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alvin Kamara,NO,1.0,35.55,0.3,4.6,44.13,0.22,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.19
Dion Lewis,TEN,1.0,29.73,0.18,3.12,22.32,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Phillip Lindsay,DEN,1.0,45.35,0.34,2.4,19.87,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.05
Zach Line,NO,1.0,0.0,0.0,0.45,2.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marlon Mack,IND,1.0,62.49,0.43,2.4,19.21,0.09,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,61.72,0.33,5.38,46.19,0.3,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeSean McCoy,BUF,1.0,66.89,0.35,3.46,28.08,0.15,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Sony Michel,NE,1.0,70.71,0.47,1.51,10.46,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.19
Lamar Miller,HOU,1.0,52.82,0.29,2.07,18.51,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Joe Mixon,CIN,1.0,87.86,0.66,3.63,30.04,0.15,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Morris,SF,1.0,21.77,0.17,0.71,5.24,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Raheem Mostert,SF,1.0,15.91,0.11,0.48,5.49,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marcus Murphy,BUF,1.0,12.12,0.07,0.77,5.7,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Latavius Murray,MIN,1.0,71.25,0.45,2.03,16.24,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamize Olawale,DAL,1.0,1.17,0.01,0.62,3.18,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ricky Ortiz,ATL,1.0,0.84,0.02,0.32,2.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Elijhaa Penny,NYG,1.0,2.73,0.04,0.2,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Samaje Perine,WAS,1.0,7.16,0.04,0.34,2.4,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Senorise Perry,MIA,1.0,3.06,0.02,0.3,4.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Adrian Peterson,WAS,1.0,56.84,0.29,1.43,14.19,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Bilal Powell,NYJ,1.0,61.06,0.37,1.95,17.72,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jacquizz Rodgers,TB,1.0,6.12,0.04,0.73,5.51,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Anthony Sherman,KC,1.0,1.05,0.02,0.47,4.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wendell Smallwood,PHI,1.0,47.8,0.32,2.58,22.22,0.09,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.22
Ito Smith,ATL,1.0,39.61,0.36,2.1,18.4,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rod Smith,DAL,1.0,13.7,0.13,0.51,4.54,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roc Thomas,MIN,1.0,11.03,0.08,0.77,6.46,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Walton,CIN,1.0,13.97,0.1,1.46,12.57,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Spencer Ware,KC,1.0,9.53,0.06,1.37,11.88,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dwayne Washington,NO,1.0,0.0,0.0,0.25,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derek Watt,LAC,1.0,0.09,0.01,0.16,0.77,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James White,NE,1.0,25.07,0.16,5.1,43.49,0.25,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Wilkins,IND,1.0,12.9,0.07,0.44,3.6,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Damien Williams,KC,1.0,5.88,0.03,0.57,5.26,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Williams,JAX,1.0,2.85,0.02,0.28,1.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07,0.01,0.01,0.01,0.04,RB,0.0
T.J. Yeldon,JAX,1.0,60.91,0.38,4.94,41.85,0.26,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
