Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Philadelphia Eagles,PHI,1.0,4.0,3.0,1.0,1.0,1.0,0.0,22.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,225.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,1.0,1.0,1.0,1.0,0.0,118.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,360.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,5.0,2.0,3.0,4.0,1.0,0.0,38.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,184.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,1.0,0.0,1.0,0.0,112.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,398.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,1.0,0.0,0.0,0.0,0.0,57.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,219.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,421.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Baltimore Ravens,BAL,1.0,6.0,3.0,2.0,3.0,0.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,1.0,0.0,0.0,118.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,456.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,197.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,279.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,5.0,4.0,0.0,0.0,0.0,1.0,44.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,2.0,0.0,0.0,0.0,0.0,41.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,292.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,0.0,0.0,1.0,0.0,0.0,113.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,254.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
