Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Anthony Firkser,TEN,1.0,0.03,0.0,1.41,18.73,0.16,TE
Jordan Franks,CIN,1.0,0.03,0.0,0.23,2.83,0.03,TE
Antonio Gates,LAC,1.0,0.01,0.0,1.94,24.49,0.14,TE
Rico Gathers,DAL,1.0,0.02,0.0,0.28,3.47,0.04,TE
Mike Gesicki,MIA,1.0,0.02,0.0,1.07,12.62,0.07,TE
Dallas Goedert,PHI,1.0,0.04,0.0,1.11,12.69,0.05,TE
Jimmy Graham,GB,1.0,0.11,0.0,3.26,38.25,0.25,TE
Virgil Green,LAC,1.0,0.12,0.0,1.35,16.35,0.1,TE
Jermaine Gresham,ARI,1.0,0.06,0.0,1.17,14.41,0.09,TE
Ryan Griffin,HOU,1.0,0.06,0.0,1.94,21.91,0.12,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.3,3.02,0.04,TE
Rob Gronkowski,NE,1.0,0.08,0.0,4.0,56.76,0.38,TE
Clark Harris,CIN,1.0,0.02,0.0,0.05,0.69,0.01,TE
Demetrius Harris,KC,1.0,0.05,0.0,1.33,13.69,0.1,TE
Temarrick Hemingway,DEN,1.0,0.03,0.0,0.23,2.92,0.03,TE
Chris Herndon,NYJ,1.0,0.08,0.0,2.62,32.1,0.21,TE
Ryan Hewitt,IND,1.0,0.09,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.06,0.0,1.9,24.13,0.13,TE
Josh Hill,NO,1.0,0.25,0.0,1.25,14.93,0.11,TE
Jacob Hollister,NE,1.0,0.04,0.0,0.5,4.12,0.03,TE
Austin Hooper,ATL,1.0,0.11,0.0,4.88,44.23,0.35,TE
Hayden Hurst,BAL,1.0,0.55,0.0,0.7,8.42,0.06,TE
Jesse James,PIT,1.0,0.06,0.0,1.86,20.86,0.12,TE
Blake Jarwin,DAL,1.0,0.17,0.0,0.97,10.35,0.07,TE
Travis Kelce,KC,1.0,0.11,0.0,6.89,89.18,0.63,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.99,9.56,0.07,TE
George Kittle,SF,1.0,0.57,0.0,5.86,75.03,0.45,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.28,1.73,0.02,TE
Matt LaCosse,DEN,1.0,0.1,0.0,2.47,28.15,0.19,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,0.73,7.55,0.06,TE
Matt Lengel,CIN,1.0,0.04,0.0,0.69,8.03,0.06,TE
Marcedes Lewis,GB,1.0,0.03,0.0,0.24,2.99,0.03,TE
Chris Manhertz,CAR,1.0,0.02,0.0,0.32,1.76,0.02,TE
Vance McDonald,PIT,1.0,0.1,0.0,4.23,44.94,0.28,TE
David Njoku,CLE,1.0,0.06,0.0,3.42,34.78,0.27,TE
Nick O'Leary,MIA,1.0,0.05,0.0,1.39,14.64,0.11,TE
James O'Shaughnessy,JAX,1.0,0.06,0.0,2.04,19.34,0.14,TE
Brian Parker,DEN,1.0,0.03,0.0,0.52,4.88,0.05,TE
John Phillips,ARI,1.0,0.02,0.0,0.15,2.15,0.03,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.29,4.12,0.05,TE
Jordan Reed,WAS,1.0,0.08,0.0,4.51,45.33,0.29,TE
Michael Roberts,DET,1.0,0.13,0.0,1.56,16.75,0.13,TE
Richard Rodgers,PHI,1.0,0.03,0.0,0.27,3.26,0.03,TE
Kyle Rudolph,MIN,1.0,0.03,0.0,3.67,35.17,0.23,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.55,3.87,0.04,TE
Dalton Schultz,DAL,1.0,0.09,0.0,1.34,14.12,0.1,TE
Ricky Seals-Jones,ARI,1.0,0.03,0.0,1.66,20.82,0.13,TE
Adam Shaheen,CHI,1.0,0.05,0.0,0.87,10.59,0.09,TE
Scott Simonson,NYG,1.0,0.03,0.0,0.37,3.18,0.03,TE
Jonnu Smith,TEN,1.0,0.13,0.0,2.03,24.98,0.22,TE
Lee Smith,OAK,1.0,0.05,0.0,0.67,6.18,0.05,TE
Durham Smythe,MIA,1.0,0.02,0.0,0.23,4.18,0.03,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.1,1.45,0.02,TE
Luke Stocker,TEN,1.0,0.89,0.0,0.47,6.5,0.04,TE
Erik Swoope,IND,1.0,0.04,0.0,1.32,15.19,0.12,TE
Ian Thomas,CAR,1.0,0.1,0.0,3.01,25.79,0.16,TE
Jordan Thomas,HOU,1.0,0.06,0.0,1.16,15.13,0.13,TE
Logan Thomas,BUF,1.0,0.03,0.0,1.13,12.23,0.08,TE
Levine Toilolo,DET,1.0,0.03,0.0,0.89,8.54,0.08,TE
Eric Tomlinson,NYJ,1.0,0.03,0.0,0.35,3.06,0.03,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,3.24,32.08,0.2,TE
Nick Vannett,SEA,1.0,0.06,0.0,1.86,21.86,0.15,TE
Benjamin Watson,NO,1.0,0.02,0.0,1.19,12.95,0.11,TE
Maxx Williams,BAL,1.0,1.61,0.02,0.35,3.68,0.04,TE
Luke Willson,DET,1.0,0.03,0.0,0.99,8.3,0.06,TE
