Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Rod Streater, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jermaine Kearse, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Deonte Thompson, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"LaRon Byrd, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Joshua Bellamy, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brittan Golden, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Damaris Johnson, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Josh Gordon, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Tavon Austin, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeAndre Hopkins, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cordarrelle Patterson, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Keenan Allen, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Stedman Bailey, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Aaron Dobson, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marquise Goodwin, SF WR",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Justin Hunter, Pit WR",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Markus Wheaton, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Terrance Williams, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Robert Woods, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Charles Johnson, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brice Butler, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"B.J. Daniels, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Tavarres King, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cobi Hamilton, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
