Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Frc Fum,Fum Rec,Pass Def,POS,TD
Ito Smith,ATL,1.0,11.13,0.07,0.87,6.89,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Keith Smith,OAK,1.0,0.81,0.0,0.19,1.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rod Smith,DAL,1.0,7.86,0.07,0.96,9.9,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Shane Smith,FA,1.0,0.82,0.0,0.14,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jonathan Stewart,NYG,1.0,15.33,0.1,0.26,1.65,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Anthony Thomas,KC,1.0,0.11,0.0,0.77,7.81,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Thompson,WAS,1.0,20.17,0.12,3.78,35.95,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Lance Turner,BAL,1.0,10.56,0.07,0.72,5.95,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Spencer Ware,KC,1.0,17.07,0.12,0.76,6.09,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derek Watt,LAC,1.0,3.74,0.02,0.22,1.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James White,NE,1.0,20.14,0.16,3.23,28.66,0.13,0.01,0.04,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilds,ARI,1.0,12.54,0.09,0.82,6.39,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Wilkins,IND,1.0,53.02,0.35,2.29,18.13,0.09,0.07,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Damien Williams,KC,1.0,8.93,0.04,0.86,6.48,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamaal Williams,GB,1.0,53.12,0.34,2.15,19.79,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jonathan Williams,IND,1.0,7.61,0.07,0.27,1.7,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.01,0.02,0.01,RB,0.0
Shaun Wilson,TB,1.0,7.83,0.05,0.44,3.31,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
T.J. Yeldon,JAX,1.0,61.95,0.36,4.85,42.53,0.25,0.11,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
