NFL $5K Mini Gridiron	$27.00	$5,000	6	215	215	24%	216.40	$750	161.48	$40.00
NFL Single Entry $50 Double Up	$50.00	$5,000	1	113	113	44%	200.70	$100	158.50	$100.00
NFL $530 10-Player (Winner Takes All)	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL $530 50-50 [Top 50% Win]	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL Single Entry $25 Double Up	$25.00	$5,000	1	229	229	44%	208.00	$50	156.46	$50.00
NFL Single Entry $5 Double Up	$5.00	$5,000	1	1,149	1,149	44%	236.96	$10	152.16	$10.00
NFL $530 50-50 [Top 50% Win]	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL Single Entry $50 Double Up	$50.00	$5,000	1	113	113	44%	204.60	$100	158.50	$100.00
NFL $25 Double Up	$25.00	$5,000	6	229	229	44%	200.70	$50	160.96	$50.00
NFL Single Entry $50 Double Up	$50.00	$5,000	1	113	113	44%	206.46	$100	151.78	$100.00
NFL $5K Mini Slant	$9.00	$5,000	19	653	653	22%	222.34	$500	164.36	$20.00
NFL $25 Double Up	$25.00	$5,000	6	229	229	44%	200.70	$50	155.60	$50.00
NFL $5K Mini Hail Mary	$12.00	$5,000	14	490	490	25%	214.36	$500	160.00	$18.00
NFL $5K Mini Gridiron	$27.00	$5,000	6	215	215	24%	203.00	$750	162.50	$40.00
NFL Fantasy Football Millionaire SUPERSatellite [200x]	$3.00	$4,000	20	1,585	1,585	13%	208.06	$0	167.70	$0.00
NFL Fantasy Football Millionaire SUPERSatellite [200x]	$0.25	$4,000	20	19,024	19,024	1%	222.90	$0	194.20	$0.00
NFL BIG 10x Booster [Top 15 Win $250]	$25.00	$3,750	5	176	176	9%	194.20	$250	173.40	$250.00
NFL $20 200-Player (Winner Takes All)	$20.00	$3,600	1	200	0	1%		$0		$0.00
NFL $20 50-50 #1 x3	$20.00	$3,600	1	200	0	50%		$0		$0.00
Spookyexpress.com Newsletter and 200 Percent Bonus Championship	$20.00	$3,600	1	200	0	50%		$0		$0.00
NFL BIG 10x Booster [Top 30 Win $100]	$10.00	$3,000	10	352	352	9%	225.56	$100	172.26	$100.00
NFL $10 Double Up	$10.00	$3,000	10	344	344	44%	200.70	$20	156.60	$20.00
