Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Josh McCown,NYJ,1.0,23.0,18.0,5.0,249.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,QB
Cam Newton,CAR,1.0,26.0,17.0,9.0,167.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,16.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,QB
Dak Prescott,DAL,1.0,18.0,13.0,5.0,183.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,40.0,20.0,20.0,237.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,42.0,28.0,14.0,313.0,3.0,1.0,6.0,1.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,39.0,22.0,17.0,235.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,35.0,24.0,11.0,294.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,40.0,24.0,16.0,259.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,21.0,16.0,5.0,155.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Matthew Stafford,DET,1.0,45.0,25.0,20.0,264.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,26.0,20.0,6.0,213.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,33.0,22.0,11.0,301.0,2.0,2.0,2.0,1.0,0.0,0.0,8.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,QB
Joe Webb,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,31.0,21.0,10.0,176.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,49.0,29.0,20.0,373.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,26.0,0.0,0.0,2.0,0.0,0.0,3.0,-4.0,QB
Jameis Winston,TB,1.0,40.0,28.0,12.0,328.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,QB
