Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Miami Dolphins,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,427.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,0.0,1.0,1.0,0.0,0.0,28.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,335.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,0.0,1.0,1.0,0.0,0.0,48.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,360.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,4.0,1.0,1.0,1.0,0.0,0.0,60.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,395.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,395.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,0.0,0.0,0.0,0.0,85.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,413.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,5.0,0.0,0.0,0.0,0.0,0.0,81.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,416.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,2.0,1.0,1.0,0.0,0.0,35.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,325.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,3.0,1.0,1.0,1.0,0.0,1.0,21.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,461.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,0.0,1.0,1.0,1.0,0.0,66.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,359.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,386.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,7.0,2.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,1.0,1.0,1.0,0.0,1.0,65.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,423.0,0.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,3.0,1.0,2.0,1.0,0.0,0.0,27.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,331.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,0.0,0.0,1.0,0.0,69.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,237.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,370.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,270.0,1.0,0.0,0.0,0.0,0.0,DST
