Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
Lance Kendricks,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,4.0,108.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,6.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brian Parker,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jordan Reed,WAS,1.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Michael Roberts,DET,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Eric Saubert,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Jonnu Smith,TEN,1.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Nick Vannett,SEA,1.0,6.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,3.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,2.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,TE
