Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Courtland Sutton,DEN,1.0,0.07,0.0,3.4,57.8,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,2.04,0.02,3.22,34.24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Golden Tate,PHI,1.0,2.32,0.01,5.44,55.36,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Taywan Taylor,TEN,1.0,0.16,0.0,1.75,21.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.04,0.0,0.79,8.67,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.41,0.01,7.21,91.53,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.13,0.0,3.73,50.26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.14,0.0,6.59,94.63,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.33,0.0,1.33,18.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.03,0.0,0.29,3.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.02,0.0,2.27,22.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Malik Turner,SEA,1.0,0.17,0.0,0.51,7.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.05,0.0,2.55,35.89,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.06,0.0,0.19,3.94,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,3.82,0.05,3.63,48.42,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Mike Williams,LAC,1.0,1.74,0.0,2.68,33.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,1.05,0.0,2.77,55.04,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Bobo Wilson,TB,1.0,1.34,0.01,1.0,12.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,4.82,0.0,4.97,80.81,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.15,0.0,1.2,13.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.2,0.0,0.25,3.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
