week,lp_num,proj,score,stack,mppt
17,1,135.1882,150.60000000000002,0,1
17,2,135.0689142857143,116.2857142857143,0,1
17,3,134.82462857142858,119.00000000000001,0,1
17,1,136.635,98.34000000000002,0,2
17,2,136.23662857142858,105.7,0,2
17,3,136.07742857142856,122.34000000000003,0,2
17,1,135.84762857142854,109.00000000000001,1,2
17,2,135.57262857142854,101.00000000000001,1,2
17,3,134.71005714285712,116.72857142857144,1,2
17,1,136.635,98.34000000000002,0,3
17,2,136.07742857142856,122.34000000000003,0,3
17,3,135.84762857142854,109.00000000000001,0,3
17,1,135.84762857142854,109.00000000000001,1,3
17,2,135.57262857142854,101.00000000000001,1,3
17,3,135.4604857142857,100.00000000000001,1,3
17,1,129.6938,132.55142857142857,0,1
17,2,129.5572,146.49142857142857,0,1
17,3,129.3302,134.49142857142857,0,1
17,1,129.6938,132.55142857142857,0,2
17,2,129.48319999999998,138.79142857142858,0,2
17,3,129.3302,134.49142857142857,0,2
17,1,128.56400000000002,135.7114285714286,1,2
17,2,128.339,130.3114285714286,1,2
17,3,128.0658,144.1514285714286,1,2
17,1,129.6938,132.55142857142857,0,3
17,2,129.48319999999998,138.79142857142858,0,3
17,3,129.3302,134.49142857142857,0,3
17,1,128.56400000000002,135.7114285714286,1,3
17,2,127.91280000000002,139.85142857142858,1,3
17,3,127.68620000000003,122.41142857142856,1,3
17,1,136.93745714285717,97.7,0,1
17,2,136.4160285714286,94.44285714285715,0,1
17,3,136.32460000000003,106.87142857142858,0,1
17,1,138.05145714285717,115.7,0,2
17,2,137.75745714285716,126.89999999999999,0,2
17,3,137.31274285714287,103.0,0,2
17,1,136.7835428571429,129.04000000000002,1,2
17,2,136.40825714285717,123.74000000000001,1,2
17,3,136.03345714285717,83.9,1,2
17,1,138.05145714285717,115.7,0,3
17,2,137.75745714285716,126.89999999999999,0,3
17,3,137.31274285714287,103.0,0,3
17,1,136.7835428571429,129.04000000000002,1,3
17,2,136.40825714285717,123.74000000000001,1,3
17,3,135.98525714285717,130.54,1,3
17,1,136.36757142857144,128.24615384615385,0,1
17,2,136.19757142857145,126.34615384615384,0,1
17,3,135.98057142857144,118.44615384615383,0,1
17,1,136.68428571428572,121.35714285714286,0,2
17,2,136.3832857142857,112.65714285714286,0,2
17,3,136.17460000000003,113.75142857142856,0,2
17,1,135.52960000000002,118.95142857142856,1,2
17,2,134.72060000000005,109.59142857142857,1,2
17,3,134.60388571428572,118.80857142857143,1,2
17,1,136.68428571428572,121.35714285714286,0,3
17,2,136.48428571428573,133.92857142857144,0,3
17,3,136.3832857142857,112.65714285714286,0,3
17,1,136.05188571428573,116.27714285714286,1,3
17,2,135.85188571428574,128.84857142857143,1,3
17,3,135.68760000000003,113.99142857142857,1,3
17,1,131.93231428571428,80.1,0,1
17,2,131.70517142857145,91.32857142857142,0,1
17,3,131.51202857142857,114.1,0,1
17,1,116.91802857142858,63.89999999999999,0,2
17,2,116.76602857142858,76.39999999999999,0,2
17,3,116.55511428571427,86.74,0,2
17,1,114.62262857142856,134.56,1,2
17,2,114.28542857142855,83.24,1,2
17,3,114.18742857142855,78.24,1,2
17,1,116.91802857142858,63.89999999999999,0,3
17,2,116.76602857142858,76.39999999999999,0,3
17,3,116.55511428571427,86.74,0,3
17,1,114.90442857142855,73.34,1,3
17,2,114.62262857142856,134.56,1,3
17,3,114.35902857142858,86.0,1,3
17,1,126.89725714285714,155.16000000000003,0,1
17,2,126.76065714285714,109.78,0,1
17,3,126.66097142857141,135.36,0,1
17,1,128.10502857142856,132.28285714285715,0,2
17,2,127.99545714285713,123.84,0,2
17,3,127.82945714285714,127.54,0,2
17,1,126.93945714285714,129.74,1,2
17,2,126.76265714285714,114.38,1,2
17,3,126.59402857142858,126.48285714285716,1,2
17,1,128.10502857142856,132.28285714285715,0,3
17,2,127.99545714285713,123.84,0,3
17,3,127.82945714285714,127.54,0,3
17,1,127.68145714285714,118.74,1,3
17,2,127.50202857142858,111.78285714285714,1,3
17,3,127.33602857142859,115.48285714285714,1,3
17,1,121.16437142857143,125.63142857142857,0,1
17,2,121.05537142857143,120.03142857142858,0,1
17,3,120.9568,121.31714285714287,0,1
17,1,123.89937142857143,137.3314285714286,0,2
17,2,123.8008,138.61714285714288,0,2
17,3,123.50694285714285,142.5314285714286,0,2
17,1,122.94957142857143,124.33142857142859,1,2
17,2,122.83514285714284,149.73142857142858,1,2
17,3,122.23657142857142,135.73142857142858,1,2
17,1,123.89937142857143,137.3314285714286,0,3
17,2,123.8008,138.61714285714288,0,3
17,3,123.50694285714285,142.5314285714286,0,3
17,1,122.94957142857143,124.33142857142859,1,3
17,2,122.851,125.61714285714288,1,3
17,3,122.49014285714286,153.4314285714286,1,3
