Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Pierre Garcon,SF,1.0,0.11,0.0,3.52,48.95,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Godwin,TB,1.0,0.02,0.0,3.06,41.32,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kenny Golladay,DET,1.0,0.34,0.0,4.19,67.83,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquise Goodwin,SF,1.0,3.32,0.01,3.16,53.89,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Gordon,NE,1.0,0.13,0.0,3.69,49.85,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jakeem Grant,MIA,1.0,0.53,0.0,3.37,45.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.05,0.0,0.91,10.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.09,0.02,0.02,0.01,0.08,WR,0.0
Justin Hardy,ATL,1.0,0.09,0.0,0.74,8.49,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dwayne Harris,OAK,1.0,0.69,0.0,0.39,6.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Maurice Harris,WAS,1.0,0.84,0.0,1.65,22.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.2,0.0,0.2,3.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.91,0.0,3.04,41.36,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,8.08,0.02,5.12,82.42,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.05
Chris Hogan,NE,1.0,0.95,0.0,3.19,48.55,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.06,0.0,1.25,17.46,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.55,0.01,5.81,88.1,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,1.05,0.0,3.23,39.75,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.06,0.0,1.51,24.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,1.0,4.14,0.01,3.11,52.18,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Richie James,SF,1.0,0.08,0.0,0.21,4.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,0.04,0.0,0.27,4.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,0.97,0.01,7.42,101.18,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Jones,DET,1.0,0.17,0.0,4.03,67.82,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.05,0.0,0.71,10.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.06,0.0,2.4,31.03,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,1.0,0.06,0.0,3.99,45.16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Kemp,KC,1.0,0.11,0.0,0.24,4.48,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cooper Kupp,LAR,1.0,3.44,0.02,5.15,73.19,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Brandon LaFell,OAK,1.0,0.12,0.0,2.79,32.92,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarvis Landry,CLE,1.0,0.13,0.0,6.46,66.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyler Lockett,SEA,1.0,5.36,0.04,3.34,59.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Rishard Matthews,NYJ,1.0,0.03,0.0,0.86,11.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ray-Ray McCloud,BUF,1.0,0.81,0.0,0.38,5.4,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Meredith,NO,1.0,0.02,0.0,1.31,18.52,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Anthony Miller,CHI,1.0,0.83,0.01,2.27,29.7,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Moore,BAL,1.0,1.05,0.0,1.2,14.71,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
D.J. Moore,CAR,1.0,3.86,0.01,4.26,56.95,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
David Moore,SEA,1.0,1.22,0.01,2.1,33.27,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JoJo Natson,LAR,1.0,0.2,0.0,0.15,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jordy Nelson,OAK,1.0,0.03,0.0,3.71,46.33,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
DeVante Parker,MIA,1.0,0.04,0.0,4.11,58.78,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim Patrick,DEN,1.0,1.26,0.0,1.94,22.09,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cordarrelle Patterson,NE,1.0,5.15,0.04,1.03,10.18,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Charone Peake,NYJ,1.0,0.04,0.0,0.16,3.62,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Breshad Perriman,CLE,1.0,0.06,0.0,0.33,5.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dante Pettis,SF,1.0,0.26,0.0,0.83,10.97,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Brandon Powell,DET,1.0,0.84,0.0,1.33,15.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Terrelle Pryor,FA,1.0,0.03,0.0,1.6,21.44,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Damion Ratley,CLE,1.0,0.18,0.0,1.36,18.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Reynolds,LAR,1.0,0.48,0.0,0.74,9.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Paul Richardson,WAS,1.0,1.04,0.0,3.19,51.27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Calvin Ridley,ATL,1.0,3.49,0.04,3.65,51.23,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Andre Roberts,NYJ,1.0,0.56,0.0,0.81,10.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.03
Seth Roberts,OAK,1.0,0.02,0.0,2.93,30.39,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Aldrick Robinson,MIN,1.0,0.03,0.0,0.82,10.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demarcus Robinson,KC,1.0,0.04,0.0,0.72,9.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Curtis Samuel,CAR,1.0,4.01,0.01,1.99,24.29,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Emmanuel Sanders,DEN,1.0,2.36,0.02,4.92,71.01,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,0.7,0.01,3.77,50.95,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.33,0.0,2.79,39.41,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.1,0.0,0.13,3.81,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.32,0.0,2.74,40.41,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Vyncint Smith,HOU,1.0,0.2,0.0,1.07,12.74,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,0.11,0.0,5.34,67.95,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.32,0.0,3.28,37.98,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Equanimeous St. Brown,GB,1.0,0.15,0.0,1.18,13.58,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.73,0.0,3.06,50.18,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,2.71,0.03,2.05,19.57,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Taywan Taylor,TEN,1.0,0.15,0.0,2.42,30.56,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.69,0.01,6.79,88.68,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.15,0.0,4.34,56.81,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.05,0.0,7.37,91.47,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.41,0.0,1.0,13.35,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.03,0.0,0.2,2.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.03,0.0,2.49,24.51,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.13,0.0,3.27,42.29,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,3.0,0.02,4.42,59.47,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.22,0.0,0.49,6.36,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,2.57,0.01,3.01,41.11,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,1.2,0.0,2.87,62.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Javon Wims,CHI,1.0,0.13,0.0,0.32,4.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,3.09,0.01,5.81,87.37,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.73,0.0,2.03,22.54,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.09,0.0,0.22,4.62,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
