Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,200+ Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk,Fum Yds,POS
Tre Madden,SEA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,723.0,4.0,0.0,0.0,2.0,0.0,18.0,116.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,RB
Christian McCaffrey,CAR,16.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,1.0,219.0,1098.0,7.0,0.0,0.0,4.0,0.0,107.0,867.0,6.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
LeSean McCoy,BUF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,514.0,3.0,0.0,0.0,1.0,0.0,34.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijah McGuire,NYJ,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,276.0,3.0,0.0,0.0,0.0,0.0,19.0,193.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
J.D. McKissic,SEA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Jeremy McNichols,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christine Michael,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Sony Michel,NE,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,931.0,6.0,0.0,0.0,4.0,0.0,7.0,50.0,0.0,0.0,0.0,0.0,77.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,973.0,5.0,1.0,1.0,4.0,0.0,25.0,163.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Mixon,CIN,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,1168.0,8.0,0.0,0.0,4.0,0.0,43.0,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Taquan Mizzell,CHI,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,78.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,RB
Ty Montgomery,BAL,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,188.0,1.0,0.0,0.0,0.0,0.0,25.0,235.0,0.0,0.0,0.0,0.0,210.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,RB
Alfred Morris,SF,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,428.0,2.0,0.0,0.0,1.0,0.0,8.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Raheem Mostert,SF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,261.0,1.0,1.0,1.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,RB
Marcus Murphy,BUF,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,250.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,0.0,0.0,0.0,0.0,339.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,RB
Latavius Murray,MIN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,578.0,6.0,0.0,0.0,1.0,0.0,22.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Detrez Newsome,LAC,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Roosevelt Nix,PIT,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,RB
Dare Ogunbowale,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,RB
Ricky Ortiz,ATL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
Elijhaa Penny,NYG,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RB
Rashaad Penny,SEA,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,419.0,2.0,0.0,0.0,1.0,0.0,9.0,75.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,RB
Samaje Perine,WAS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Senorise Perry,MIA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,RB
Adrian Peterson,WAS,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1042.0,7.0,2.0,2.0,3.0,0.0,20.0,208.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Bilal Powell,NYJ,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,343.0,0.0,0.0,0.0,0.0,0.0,11.0,110.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
C.J. Prosise,SEA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jalen Richard,OAK,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,259.0,1.0,0.0,0.0,0.0,0.0,68.0,607.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,RB
Theo Riddick,DET,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,171.0,0.0,0.0,0.0,0.0,0.0,61.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Stevan Ridley,PIT,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,80.0,1.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jacquizz Rodgers,TB,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,106.0,1.0,0.0,0.0,0.0,0.0,38.0,304.0,0.0,0.0,0.0,1.0,52.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,RB
Jaylen Samuels,PIT,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,256.0,0.0,0.0,0.0,1.0,0.0,26.0,199.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Boston Scott,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Anthony Sherman,KC,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,96.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,RB
Wendell Smallwood,PHI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,364.0,3.0,0.0,0.0,0.0,0.0,28.0,230.0,2.0,0.0,0.0,0.0,33.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,RB
Ito Smith,ATL,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,315.0,4.0,0.0,0.0,0.0,0.0,27.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Keith Smith,OAK,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,RB
Rod Smith,DAL,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,127.0,1.0,0.0,0.0,0.0,0.0,9.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,RB
Darren Sproles,PHI,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,120.0,1.0,0.0,0.0,0.0,0.0,15.0,160.0,2.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Jonathan Stewart,NYG,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
De'Anthony Thomas,KC,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,1.0,0.0,0.0,0.0,106.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,RB
Roc Thomas,MIN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,RB
Chris Thompson,WAS,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,178.0,0.0,0.0,0.0,0.0,0.0,41.0,268.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,RB
Robert Turbin,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
De'Lance Turner,BAL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Danny Vitale,GB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Walton,CIN,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,RB
Spencer Ware,KC,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,246.0,2.0,0.0,0.0,0.0,0.0,20.0,224.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
DeAndre Washington,OAK,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,115.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dwayne Washington,NO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,154.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,RB
Derek Watt,LAC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,RB
Charcandrick West,KC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,425.0,5.0,0.0,0.0,0.0,0.0,87.0,751.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Wilds,ARI,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Wilkins,IND,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,336.0,1.0,0.0,0.0,0.0,0.0,16.0,85.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,256.0,4.0,0.0,0.0,1.0,0.0,23.0,160.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,RB
Darrel Williams,KC,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,44.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
David Williams,JAX,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamaal Williams,GB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,464.0,3.0,0.0,0.0,0.0,0.0,27.0,210.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jonathan Williams,IND,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Wilson,CIN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,RB
Jeff Wilson,SF,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,266.0,0.0,0.0,0.0,0.0,0.0,12.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Shaun Wilson,TB,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
T.J. Yeldon,JAX,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,414.0,1.0,0.0,0.0,0.0,0.0,55.0,487.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Zenner,DET,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,265.0,3.0,0.0,0.0,0.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,RB
