Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Gary Barnidge, FA TE",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
"Kellen Davis, NYJ TE Q",@Cle,L 17-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Matthew Mulligan, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0,0,0,0,TE
"David Johnson, Pit TE",@TB,W 30-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chase Coffman, Ind TE",@Phi,L 16-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"John Phillips, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Zach Miller*, Chi TE IR",@Ari,W 16-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Myers, TB TE",Pit,L 27-30,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dennis Pitta*, Bal TE O",Den,W 27-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ed Dickson, Sea TE",Dal,W 24-13,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jim Dray, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Clay Harbor, NO TE",@Atl,W 43-37,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Michael Hoomanawanui*, NO TE IR",@Atl,W 43-37,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Andrew Quarless, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jeff Cumberland, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Rob Housler, NE TE Q",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bruce Miller, SF TE",@KC,L 27-38,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jordan Cameron, FA TE Q",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
"Julius Thomas, FA TE",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
"Coby Fleener, FA TE Q",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
"Ladarius Green, Pit TE Q",@TB,W 30-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"James Hanna, Dal TE",@Sea,L 13-24,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Greg Scruggs, NE TE Q",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Phillip Supernaw, Ten TE",@Jax,W 9-6,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dominique Jones, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Sean McGrath, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Bostick, NYJ TE",@Cle,L 17-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Larry Donnell, Bal TE",Den,W 27-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ifeanyi Momah, Ari TE Q",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Gavin Escobar, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Mychal Rivera, Jax TE Q",Ten,L 6-9,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Chris Gragg, NYJ TE Q",@Cle,L 17-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Tim Wright, KC TE",SF,W 38-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brandon Williams, Ind TE Q",@Phi,L 16-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"MarQueis Gray*, Mia TE IR",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jack Doyle*, Ind TE IR",@Phi,L 16-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"C.J. Fiedorowicz, Hou TE",NYG,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Crockett Gillmore, Bal TE Q",Den,W 27-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Richard Rodgers, Phi TE",Ind,W 20-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jace Amaro, KC TE",SF,W 38-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Troy Niklas, NE TE",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Logan Thomas, Buf TE",@Min,W 27-6,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Asante Cleveland, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Justin Perillo, Chi TE",@Ari,W 16-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Randall Telfer, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,0,0,0,0,TE
