Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jermaine Gresham,ARI,1.0,0.04,0.0,1.55,16.15,0.09,TE
Ryan Griffin,HOU,1.0,0.06,0.0,2.59,24.8,0.13,TE
Xavier Grimble,PIT,1.0,0.02,0.0,0.34,3.72,0.03,TE
Rob Gronkowski,NE,1.0,0.07,0.0,5.71,81.73,0.56,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.01,TE
Demetrius Harris,KC,1.0,0.02,0.0,1.18,14.43,0.09,TE
Chris Herndon,NYJ,1.0,0.1,0.0,1.85,20.47,0.09,TE
Jeff Heuerman,DEN,1.0,0.07,0.0,1.28,12.94,0.08,TE
Ryan Hewitt,IND,1.0,0.07,0.0,0.32,2.0,0.02,TE
Tyler Higbee,LAR,1.0,0.04,0.0,1.57,15.63,0.11,TE
Josh Hill,NO,1.0,0.29,0.0,1.6,17.4,0.1,TE
Gabe Holmes,ARI,1.0,0.02,0.0,0.23,3.54,0.03,TE
Austin Hooper,ATL,1.0,0.1,0.0,3.35,30.68,0.23,TE
O.J. Howard,TB,1.0,0.13,0.0,2.45,38.5,0.3,TE
Jesse James,PIT,1.0,0.06,0.0,2.79,36.36,0.25,TE
Blake Jarwin,DAL,1.0,0.03,0.0,0.53,5.6,0.04,TE
Travis Kelce,KC,1.0,0.3,0.0,5.06,67.83,0.51,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.67,6.39,0.05,TE
George Kittle,SF,1.0,0.07,0.0,4.19,51.77,0.27,TE
Tyler Kroft,CIN,1.0,0.03,0.0,0.94,11.53,0.04,TE
Matt LaCosse,DEN,1.0,0.03,0.0,0.14,1.81,0.02,TE
Jordan Leggett,NYJ,1.0,0.06,0.0,0.15,1.85,0.02,TE
Marcedes Lewis,GB,1.0,0.06,0.0,0.62,5.86,0.04,TE
Chris Manhertz,CAR,1.0,0.03,0.0,0.29,2.34,0.02,TE
Vance McDonald,PIT,1.0,0.05,0.0,2.24,22.55,0.14,TE
Johnny Mundt,LAR,1.0,0.03,0.0,0.17,2.76,0.02,TE
David Njoku,CLE,1.0,0.03,0.0,2.9,30.11,0.22,TE
James O'Shaughnessy,JAX,1.0,0.03,0.0,0.93,10.37,0.06,TE
Niles Paul,FA,1.0,0.42,0.0,0.44,7.16,0.04,TE
Logan Paulsen,ATL,1.0,0.06,0.0,0.18,2.05,0.03,TE
Josh Perkins,PHI,1.0,0.09,0.0,1.53,18.46,0.12,TE
MyCole Pruitt,TEN,1.0,0.02,0.0,0.22,3.02,0.02,TE
Jordan Reed,WAS,1.0,0.08,0.0,4.6,48.57,0.37,TE
Kyle Rudolph,MIN,1.0,0.06,0.0,3.52,42.16,0.33,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.14,2.68,0.02,TE
Mason Schreck,CIN,1.0,0.03,0.0,0.15,2.55,0.02,TE
Ricky Seals-Jones,ARI,1.0,0.07,0.0,2.57,23.12,0.18,TE
Austin Seferian-Jenkins,JAX,1.0,0.06,0.0,3.51,32.22,0.22,TE
Dion Sims,CHI,1.0,0.06,0.0,1.05,11.62,0.05,TE
Jonnu Smith,TEN,1.0,0.05,0.0,1.83,19.41,0.12,TE
Lee Smith,OAK,1.0,0.03,0.0,0.21,3.01,0.02,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.17,2.89,0.02,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.08,1.58,0.02,TE
Luke Stocker,TEN,1.0,0.05,0.0,0.76,8.08,0.05,TE
Geoff Swaim,DAL,1.0,0.06,0.0,0.95,8.92,0.05,TE
Erik Swoope,IND,1.0,0.03,0.0,1.28,14.67,0.13,TE
Ian Thomas,CAR,1.0,0.06,0.0,2.04,20.59,0.13,TE
Jordan Thomas,HOU,1.0,0.05,0.0,0.63,8.3,0.05,TE
Levine Toilolo,DET,1.0,0.02,0.0,0.74,7.53,0.06,TE
Eric Tomlinson,NYJ,1.0,0.07,0.0,0.67,6.75,0.02,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,1.79,15.49,0.11,TE
Nick Vannett,SEA,1.0,0.06,0.0,1.43,16.04,0.08,TE
Benjamin Watson,NO,1.0,0.1,0.0,4.14,39.42,0.23,TE
Cole Wick,TEN,1.0,0.03,0.0,0.16,2.53,0.02,TE
Maxx Williams,BAL,1.0,0.92,0.01,1.2,12.45,0.08,TE
Luke Willson,DET,1.0,0.05,0.0,1.38,13.51,0.1,TE
