Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Jared Goff,LA,1.0,256.89,1.98,0.82,5.47,0.08,0.06,0.02,QB
Taylor Heinicke,CAR,1.0,17.11,0.05,0.06,0.0,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,9.26,0.03,0.04,0.11,0.0,0.01,0.02,QB
Taysom Hill,NO,1.0,0.51,0.01,0.01,0.03,0.01,0.01,0.04,QB
Brian Hoyer,NE,1.0,7.04,0.03,0.05,0.0,0.01,0.01,0.01,QB
Brett Hundley,SEA,1.0,10.75,0.04,0.06,0.06,0.01,0.01,0.03,QB
Lamar Jackson,BAL,1.0,29.12,0.17,0.13,28.93,0.08,0.06,0.03,QB
Case Keenum,DEN,1.0,260.15,1.68,0.79,7.08,0.08,0.05,0.03,QB
Chad Kelly,,1.0,23.33,0.07,0.09,0.05,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,15.79,0.04,0.06,0.01,0.01,0.0,0.03,QB
DeShone Kizer,GB,1.0,20.18,0.08,0.25,0.07,0.02,0.01,0.03,QB
Kyle Lauletta,NYG,1.0,21.86,0.06,0.09,0.03,0.01,0.01,0.04,QB
Andrew Luck,IND,1.0,251.06,1.67,0.96,14.48,0.13,0.1,0.09,QB
Patrick Mahomes,KC,1.0,247.14,1.63,0.96,20.19,0.17,0.11,0.08,QB
Eli Manning,NYG,1.0,245.29,1.42,0.68,1.23,0.04,0.03,0.0,QB
Sean Mannion,LA,1.0,12.56,0.03,0.06,0.0,0.01,0.0,0.03,QB
Marcus Mariota,TEN,1.0,213.83,1.29,0.74,30.31,0.2,0.16,0.03,QB
Baker Mayfield,CLE,1.0,19.03,0.07,0.14,0.0,0.01,0.01,0.04,QB
AJ McCarron,OAK,1.0,5.26,0.03,0.03,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,18.49,0.05,0.1,0.16,0.01,0.01,0.02,QB
Colt McCoy,WAS,1.0,13.93,0.04,0.07,0.0,0.01,0.0,0.03,QB
Cam Newton,CAR,1.0,211.23,1.03,0.79,47.5,0.34,0.04,0.13,QB
Brock Osweiler,MIA,1.0,5.19,0.02,0.04,0.0,0.0,0.0,0.06,QB
Nathan Peterman,OAK,1.0,5.32,0.02,0.07,0.02,0.01,0.0,0.03,QB
Dak Prescott,DAL,1.0,214.6,1.22,0.8,21.83,0.17,0.04,0.07,QB
Philip Rivers,LAC,1.0,281.86,1.77,0.97,0.0,0.03,0.01,0.03,QB
Aaron Rodgers,GB,1.0,264.81,1.81,0.67,17.51,0.13,0.08,0.13,QB
Ben Roethlisberger,PIT,1.0,298.81,1.9,0.77,7.91,0.08,0.06,0.19,QB
Josh Rosen,ARI,1.0,35.63,0.14,0.22,0.21,0.01,0.01,0.04,QB
Cooper Rush,DAL,1.0,4.8,0.02,0.04,0.0,0.01,0.0,0.03,QB
Matt Ryan,ATL,1.0,264.03,1.78,0.63,9.13,0.09,0.08,0.0,QB
Matt Schaub,ATL,1.0,6.16,0.02,0.04,0.06,0.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,19.48,0.05,0.08,0.0,0.01,0.01,0.03,QB
Alex Smith,WAS,1.0,257.39,1.79,0.5,19.4,0.12,0.05,0.06,QB
Geno Smith,LAC,1.0,12.17,0.04,0.09,0.06,0.0,0.01,0.03,QB
Matthew Stafford,DET,1.0,276.03,1.84,0.76,4.24,0.06,0.03,0.06,QB
Nate Sudfeld,PHI,1.0,14.71,0.05,0.06,0.13,0.01,0.01,0.03,QB
Ryan Tannehill,MIA,1.0,252.38,1.57,0.84,13.52,0.11,0.07,0.09,QB
Tyrod Taylor,CLE,1.0,201.76,1.07,0.77,32.21,0.2,0.03,0.06,QB
Mitchell Trubisky,CHI,1.0,190.49,0.96,0.67,24.41,0.16,0.12,0.09,QB
Deshaun Watson,HOU,1.0,246.56,1.7,1.01,30.43,0.19,0.14,0.13,QB
Joe Webb,HOU,1.0,2.64,0.01,0.02,0.08,0.01,0.0,0.0,QB
Brandon Weeden,HOU,1.0,14.39,0.05,0.07,0.07,0.0,0.0,0.06,QB
Mike White,DAL,1.0,22.33,0.07,0.15,0.01,0.01,0.01,0.04,QB
Russell Wilson,SEA,1.0,236.17,1.45,0.71,31.08,0.15,0.04,0.09,QB
