Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
John Phillips,ARI,1.0,0.03,0.0,0.13,1.0,0.02,TE
MyCole Pruitt,TEN,1.0,0.02,0.0,0.43,4.51,0.04,TE
Richard Rodgers,PHI,1.0,0.03,0.0,0.26,2.63,0.04,TE
Kyle Rudolph,MIN,1.0,0.04,0.0,3.21,30.71,0.19,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.41,3.75,0.04,TE
Dalton Schultz,DAL,1.0,0.11,0.0,0.99,11.15,0.07,TE
Ricky Seals-Jones,ARI,1.0,0.03,0.0,2.28,23.88,0.14,TE
Adam Shaheen,CHI,1.0,0.05,0.0,0.67,9.22,0.08,TE
Scott Simonson,NYG,1.0,0.02,0.0,0.19,3.08,0.03,TE
Lee Smith,OAK,1.0,0.02,0.0,0.53,4.27,0.04,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.18,2.37,0.03,TE
Jeremy Sprinkle,WAS,1.0,0.05,0.0,0.0,0.46,0.01,TE
Luke Stocker,TEN,1.0,0.99,0.0,0.7,7.44,0.01,TE
Ian Thomas,CAR,1.0,0.04,0.0,3.01,30.55,0.17,TE
Jordan Thomas,HOU,1.0,0.05,0.0,1.4,16.8,0.13,TE
Levine Toilolo,DET,1.0,0.07,0.0,1.5,18.75,0.09,TE
Eric Tomlinson,NYJ,1.0,0.06,0.0,0.46,4.66,0.03,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,3.01,32.84,0.21,TE
Nick Vannett,SEA,1.0,0.06,0.0,1.59,19.15,0.13,TE
Benjamin Watson,NO,1.0,0.03,0.0,1.58,17.43,0.14,TE
Maxx Williams,BAL,1.0,1.22,0.01,0.56,4.61,0.04,TE
Luke Willson,DET,1.0,0.04,0.0,1.0,8.67,0.08,TE
