Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Dak Prescott,DAL,1.0,32.0,23.0,9.0,245.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,43.0,28.0,15.0,321.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-7.0,QB
Ben Roethlisberger,PIT,1.0,27.0,22.0,5.0,300.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,37.0,28.0,9.0,503.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,7.0,5.0,2.0,68.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,50.0,30.0,20.0,287.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,QB
Matthew Stafford,DET,1.0,36.0,23.0,13.0,213.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,QB
Drew Stanton,CLE,1.0,11.0,4.0,7.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Tannehill,MIA,1.0,25.0,15.0,10.0,189.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,39.0,27.0,12.0,246.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Webb,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,QB
Russell Wilson,SEA,1.0,32.0,23.0,9.0,309.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jameis Winston,TB,1.0,35.0,17.0,18.0,179.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-16.0,QB
