Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Indianapolis Colts,IND,1.0,5.0,1.0,1.0,1.0,0.0,0.0,37.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,379.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,0.0,0.0,0.0,0.0,0.0,101.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,295.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,2.0,0.0,0.0,0.0,0.0,105.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,434.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,209.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,534.0,0.0,0.0,0.0,0.0,1.0,DST
New York Giants,NYG,1.0,3.0,1.0,1.0,1.0,0.0,0.0,51.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,427.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,233.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,4.0,0.0,0.0,2.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,209.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,386.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,396.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,373.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,2.0,0.0,2.0,2.0,1.0,1.0,83.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,356.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,1.0,0.0,1.0,0.0,0.0,90.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,0.0,1.0,1.0,0.0,0.0,42.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,340.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,0.0,0.0,0.0,0.0,1.0,80.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,407.0,0.0,0.0,1.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,5.0,2.0,1.0,1.0,0.0,0.0,91.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,303.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,3.0,1.0,1.0,1.0,0.0,37.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,455.0,0.0,0.0,0.0,1.0,0.0,DST
Houston Texans,HOU,1.0,4.0,0.0,0.0,1.0,0.0,0.0,86.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,379.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,0.0,1.0,1.0,0.0,0.0,26.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,232.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,0.0,0.0,1.0,0.0,0.0,82.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,292.0,1.0,0.0,0.0,0.0,0.0,DST
